Authors,Conceptualization,Methodology,Software,Validation,Formal Analysis,Investigation,Resources,Data curation,Writing - original draft,Writing - review & editing,Visualization,Supervision,Project administration,Funding acquisition
Helen Killeen,1,1,0,0,1,1,0,1,1,1,1,1,1,0
William J. Sydeman,1,1,0,0,1,1,0,1,1,1,0,1,1,1
Brian Hoover,1,1,0,0,1,1,0,0,1,1,1,0,0,0
Sarah Ann Thompson,0,0,0,0,0,0,0,1,1,1,0,0,1,1
Trond Kristiansen,1,1,0,1,1,1,0,1,1,1,0,0,0,1
Marisol Garcia-ReyesX,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Gammon Koval,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Erendira Ceballos,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Molly Heal,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tycho Anker-Nilssen,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Robert Barrett,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Peter Becker,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Per-Arvid Berglund,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tim Birkhead,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Thierry Boulinier,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Sandra Bouwhuis,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Francis Daunt,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Nina Dehnhard,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Tony Diamond,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Kjell Einar Erikstad,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Kyle Elliott,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Annette L Fayet,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Elizabeth Flint,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Robert Furness,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Elena Golubova,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Erpur Snaer HansenX,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Mike Harris,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Scott Hatch,0,0,0,0,0,1,0,1,0,1,0,0,0,0
April Hedd,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Jonas Hentati-Sundberg,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Jaime Jahncke,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Alexander Kitaysky,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Svein-Hakon LorentsenX,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Don Lyons,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Heather Major,0,0,0,0,0,1,0,1,0,1,0,0,0,0
David Mazurkiewicz,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Will Miles,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Mark Newell,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Rachael Orben,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Daniel Oro,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Michael Parker,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Jonathan Plissner,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Jean-Francois RailX,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tone Kristin Reiertsen,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Heather Renner,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Jennifer C. Rock,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Hallvard StromX,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Robert M. Suryan,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Julie Thayer,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Jannelle Trowbridge,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Enriqueta Velarde,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Sarah Wanless,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Pete Warzybok,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Yutaka Watanuki,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Shannon Whelan,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Lindsay Young,0,0,0,0,0,1,0,1,0,1,0,0,0,0
