year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2010,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.0000000,1,13,7.889944,11.548378,13.99036,4.204377,164.5870,259.8776,-1.7800198, 1.0763899, 1.2326636, 0.37907629, 0.9024008,-0.58022199,-0.88586579, 0.39126477,-0.16558044,-0.12359788, 0.2490442, 0.3846606,-0.91499683, 0.7908869
2011,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.0000000,1,13,7.669106,10.337508,14.69677,6.645850,161.7605,225.6623,-1.7800198, 0.3904181,-0.5844764,-0.46177928,-1.3748946,-0.17609725, 1.48252771,-0.32562291,-0.31914638,-0.12754517,-0.3129402,-1.0990773, 1.45017344,-1.4230129
2012,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.0952381,0,13,7.690462,11.568473,15.97349,4.602189,163.1959,261.2907,-1.5100143, 0.4567558, 1.2628204,-0.03475479, 0.9964543, 0.55428422,-0.49996165,-0.66849385, 0.18344250, 0.30973927, 0.2992147, 1.0272628,-0.53190286, 0.9972510
2013,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.7500000,0,13,7.591183,10.245273,15.40334,5.423844,158.5716,234.2167, 0.3462738, 0.1483719,-0.7228929,-1.41042308,-0.8055365, 0.22811813, 0.29709882, 0.67892895, 0.21515505,-0.19454884,-0.9850637,-0.7337661, 0.26920697,-0.7703052
2014,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.5454545,0,13,8.013816,11.453527,15.10323,4.464310,167.2998,255.5211,-0.2336245, 1.4611617, 1.0903216, 1.18608778, 0.6124395, 0.05642754,-0.63371381,-0.30582338, 1.77188676,-0.42938645, 1.6090963, 1.2497739,-0.65391999, 0.6676248
2015,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.8571429,0,13,6.928065, 9.627947,19.18318,6.927137,156.7245,224.9403, 0.6500300,-1.9114176,-1.6493081,-1.95991076,-1.4229548, 2.39048034, 1.75539461, 0.27698824,-1.45290541, 1.95649433,-1.6329938,-1.3738893, 1.74651039,-1.3622959
2016,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.8437500,0,13,7.261196,10.879377,14.57183,3.750893,164.7336,257.0863, 0.6120605,-0.8766398, 0.2287001, 0.42269042, 0.7166170,-0.24757501,-1.32577657, 0.04218705,-0.36649499,-0.51475804, 0.5597751, 0.5657266,-1.31970253, 0.7682688
2017,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.9166667,0,13,7.366289,10.769959,12.41592,4.562422,164.8703,263.5871, 0.8187835,-0.5501965, 0.0644980, 0.46334654, 1.1492987,-1.48092584,-0.53853830, 0.15608957,-0.08457386,-1.46633090, 0.3168584, 0.4087734,-0.51386969, 1.1774630
2018,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.7419355,0,13,7.338744,10.045444,14.16276,5.081671,165.9188,236.8289, 0.3234104,-0.6357581,-1.0227738, 0.77525731,-0.6316730,-0.48159661,-0.03483194,-0.32809275,-0.31081224,-0.07024869, 0.2514556,-0.7256085, 0.01206754,-0.6414767
2019,Atlantic puffin,Akurey,Atlantic puffin_Akurey,Northern European Seas,South and West Iceland,0.8461538,0,13,7.685362,10.793914,14.54505,5.513083,165.4655,244.1837, 0.6188755, 0.4409146, 0.1004476, 0.64040956,-0.1421514,-0.26289351, 0.38366691, 0.08257431, 0.52902901, 0.66018238,-0.3544464, 0.2961440, 0.45643356,-0.2044036
