year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.7750000,0,34,4.772908,8.085708,13.540226,10.665326,156.2351,248.8886, 0.3194060,-0.25182974,-0.86346755,-1.83683746,-0.96470707, 1.30894765, 1.61658000,-0.72145551, 1.07967589, 1.14508008,-1.48780950, 0.5146123, 0.81969054,-0.17203547
1995,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.8809524,0,34,4.699721,7.646125,13.598683, 9.235058,168.2377,245.2205, 0.7298503,-0.44091544,-1.71076515, 0.12130524,-1.27244236, 1.34916095, 0.27188422,-0.20353819, 0.71124580, 1.16761362, 0.39219927,-0.5712738,-0.28843512,-0.64341408
1996,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.8604651,0,34,4.231716,7.628749,10.235471, 9.466731,170.1037,247.7520, 0.6504856,-1.65004461,-1.74425690, 0.42572474,-1.06006157,-0.96445774, 0.48969607,-0.17832127,-0.66830790,-1.15959761, 0.62488245,-0.8272130, 0.14375172,-0.58194782
1997,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.9250000,0,34,4.174136,7.925269, 8.487777, 9.467603,162.2969,251.9814, 0.9004845,-1.79880601,-1.17271432,-0.84789266,-0.70523520,-2.16673011, 0.49051590, 0.17336787,-0.97857397,-2.37137528,-0.71407367,-0.4619767, 0.33675141,-0.36530720
1998,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.9189189,0,34,4.314107,8.580455,10.998719, 9.087608,166.4217,272.4292, 0.8769272,-1.43718162, 0.09016086,-0.17497662, 1.01025312,-0.43940424, 0.13325631, 0.24860953,-0.76953439,-0.64946750,-0.10009876, 0.6107333, 0.14947654, 1.22472415
2000,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.8717949,0,34,4.697319,8.086108,11.979775, 9.347176,167.5980,251.3002, 0.6943754,-0.44712071,-0.86269611, 0.01692814,-0.76238135, 0.23548272, 0.37729446, 0.16196527, 0.07686156, 0.02408860, 0.03926247,-0.5161478, 0.54130430,-0.66063850
2001,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.7894737,0,34,4.393000,8.187359,11.662222, 7.928321,184.7511,265.6748, 0.3754750,-1.23335344,-0.66753447, 2.81532984, 0.44358895, 0.01703209,-0.95667094,-0.06391904,-0.84411626,-0.19160567, 2.79151825,-0.4788691,-0.66706663, 0.44533241
2002,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.8974359,0,34,4.764104,9.334763,13.199056, 7.296139,171.6908,285.0338, 0.7937051,-0.27457750, 1.54409192, 0.68463992, 2.06772633, 1.07424984,-1.55102978, 0.44443586,-0.01116555, 0.87245567, 0.62108000, 1.5910155,-1.15802613, 1.98219918
2003,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.8918919,0,34,4.863764,9.114546,14.055783, 7.136681,162.1646,266.5169, 0.7722284,-0.01709718, 1.11962174,-0.86949039, 0.51423589, 1.66360954,-1.70094806, 0.51019260, 0.12940939, 1.47274619,-0.96640103, 1.0409446,-1.22674021, 0.35416692
2004,Atlantic puffin,Hornoya,Atlantic puffin_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.8409091,0,34,5.088608,9.303160,12.524315, 6.935163,166.2306,267.9598, 0.5747284, 0.56380602, 1.48317591,-0.20615184, 0.63528447, 0.61008263,-1.89040856, 0.39703460, 0.60232707, 0.43423732,-0.33001561, 1.2950391,-1.35719163, 0.41340246
