year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.69,0,44,5.708071,10.457985,15.60613,8.336844,69.11434,115.8963,-0.52407895,-0.760945740,-0.98352904, 0.12959140, 0.04218314, 0.86464146, 1.2582937,-0.8972949,-0.0007593465, 0.5046535, 1.17632115, 0.31886658, 0.4234016, 0.72002348
1994,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.85,0,44,5.255814,10.532113,16.72198,8.084230,66.00448,114.4261, 0.84240838,-1.470482960,-0.84959785,-0.61863971,-0.20123442, 1.72148758, 0.8863324, 0.6314200,-0.8144433955, 1.4114739, 0.29145672, 0.26612357, 0.1913547, 0.40990765
1995,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.83,0,44,6.203568,10.456277,15.46131,7.757246,63.76395,118.2578, 0.67159746, 0.016428498,-0.98661564,-1.15771206, 0.43315923, 0.75343240, 0.4048669, 0.6107761, 0.5738017486, 0.4907190,-0.37751507,-0.04718962,-0.1592796, 0.97934982
1996,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.78,0,44,4.752250, 9.558862,12.74160,7.105641,67.95830,105.0046, 0.24457018,-2.260513208,-2.60801295,-0.14855085,-1.76114647,-1.33500453,-0.5545878, 0.3218553,-1.7963257569,-1.5530916, 0.50848058,-1.83450355,-0.9969860,-1.27816054
1997,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.65,0,44,6.265274,10.768331,12.09490,8.117241,64.31128,111.0023,-0.86570078, 0.113236579,-0.42281261,-1.02602366,-0.76810703,-1.83159606, 0.9349404,-0.6623697, 0.4897187436,-2.0077307,-0.48542392, 0.19515896, 0.6052074,-0.34657896
1998,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.73,0,44,6.854963,10.914985,14.38676,7.414216,62.08205,108.8596,-0.18245711, 1.038387000,-0.15784615,-1.56237788,-1.12287850,-0.07169818,-0.1002275, 0.1348594, 1.3326443939,-0.2085544,-1.13147595, 0.31496638,-0.3263781,-0.76106149
1999,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.58,0,44,6.194626,11.037857,13.80118,8.054632,69.37496,111.7893,-1.46353898, 0.002399232, 0.06415063, 0.19229831,-0.63781772,-0.52135931, 0.8427521,-1.0442976, 0.2199123688,-0.6216110, 0.52023630, 0.40218291, 0.7111006,-0.33396495
2000,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.73,0,44,6.434808,10.688045,15.03049,7.772033,65.44149,110.6280,-0.18245711, 0.379215737,-0.56786927,-0.75409553,-0.83008765, 0.42261339, 0.4266399, 0.3266486, 0.5254651300, 0.3562923,-0.52238759,-0.35423844, 0.3804046,-0.58245232
2001,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.77,0,44,5.849611,10.639751,18.25422,7.866624,63.11646,111.1372, 0.15916472,-0.538887296,-0.65512414,-1.31349689,-0.74578150, 2.89807797, 0.5659203, 0.7460743,-0.4584211312, 2.8630135,-1.17128512,-0.55551598, 0.5960182,-0.55261681
2002,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.72,0,44,6.690411,11.451697,14.12837,6.810729,65.77265,120.3551,-0.26786257, 0.780224765, 0.81185506,-0.67441943, 0.78041427,-0.27011240,-0.9888308, 0.3847902, 0.8003882155,-0.2765941,-0.61496996, 0.80781934,-0.8914827, 0.92085513
2003,Atlantic puffin,Isle of May,Atlantic puffin_Isle of May,Northern European Seas,North Sea,0.76,0,44,6.460075,11.753057,13.96982,6.938845,66.89868,113.9103, 0.07375926, 0.418856068, 1.35633460,-0.40349473,-0.28664302,-0.39186519,-0.8001866, 0.7800948, 0.3841973181,-0.3724382,-0.42007369, 1.25903380,-0.6446714,-0.19717919
