year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6538462,0,27,6.478492,12.91377, 7.533783,2.478427,231.3847,371.7053, 0.69109638,-0.203841540,-0.413651492,-0.58228760,-0.53318630,-0.6562616609, 0.74048595, 0.26425878, 0.511929966,-0.07072868,-1.15227791, 0.43522114, 1.42298606,-1.08326199
1996,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.4883721,0,27,5.574542,11.63127, 9.664100,2.203991,281.9559,409.6064,-0.21673318,-1.305766349,-1.980570126, 1.03381963, 1.06475919, 0.1096160108,-0.50605349,-0.60967956,-0.652061060, 0.69263658, 0.49752821,-1.22480474, 0.09898597, 0.60666816
1997,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6037736,0,27,5.522204,12.66445, 9.204960,2.471545,254.0912,387.2353, 0.41638651,-1.369566051,-0.718262234, 0.14334543, 0.12157139,-0.0554509233, 0.70922805, 0.05646387,-0.777611511, 0.51902045,-0.35744708,-0.05268654, 1.23949194,-0.25055390
1998,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6111111,0,27,6.099299,12.71980, 5.416194,1.911834,335.9239,448.1790, 0.45664190,-0.666081981,-0.650633326, 2.75847887, 2.69101829,-1.4175639610,-1.83308528, 0.12887554,-0.135562721,-0.85767857, 2.29498532,-0.07232978,-1.37491186, 2.39883984
1999,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6049383,0,27,7.272647,14.70467, 8.086140,2.043987,237.1249,393.6643, 0.42277625, 0.764240708, 1.774421978,-0.39884749, 0.39262481,-0.4576819708,-1.23281943, 0.12629870, 1.233640157, 0.08158066,-0.82324204, 2.26837092,-0.84405141, 0.17437427
2000,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.5230769,0,27,7.677676,13.25383, 8.989432,2.055683,232.1330,352.5188,-0.02633433, 1.257974819, 0.001822503,-0.55837721,-1.34210909,-0.1329363288,-1.17969640,-0.29239053, 1.666569925, 0.37966676,-0.94187272, 0.41433440,-0.85764869,-1.49245063
2001,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.5172414,0,27,6.083633,13.02845, 6.763485,1.959629,300.4255,395.2664,-0.05834949,-0.685179112,-0.273536726, 1.62405461, 0.46017281,-0.9331945653,-1.61598847,-0.29485181,-0.337072881,-0.45328780, 1.28325818, 0.06045566,-1.35797600, 0.37172136
2002,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6056338,0,27,7.031696,13.24139, 6.438150,2.243292,284.3770,390.5996, 0.42659210, 0.470519739,-0.013366749, 1.11119014, 0.26341718,-1.0501566030,-0.32753825, 0.21877620, 0.758452563,-0.60898295, 0.81489284, 0.24502367,-0.13087593, 0.23083690
2003,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.7179487,0,27,5.980551,12.91505, 8.751096,2.257747,227.8750,351.7802, 1.04277810,-0.810837145,-0.412085640,-0.69445029,-1.37324637,-0.2186213669,-0.26188190, 0.86278115,-0.582762259, 0.17778239,-0.94444843,-0.22637964,-0.12388464,-1.35597439
2004,Atlantic puffin,Machias Seal,Atlantic puffin_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6825397,0,27,5.111717,11.75833, 7.079805,2.072303,224.6426,363.8392, 0.84851582,-1.869954045,-1.825328892,-0.79774838,-0.86483047,-0.8194729687,-1.10420167, 0.69547036,-1.701421628,-0.47387588,-0.99964731,-1.70938976,-1.02218439,-0.80372516
