year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2005,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.77,0,15,6.342082,12.45307, 6.922054,2.453244,245.6224,382.5566, 0.73665497,-0.7295674,-1.44853204, 0.1469824,-0.01972857,-1.1525664, 0.22498281,-0.3934938, 0.7360631,-0.2602683,-0.4993805, 0.27164956,-0.26215784,-0.2634751
2006,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.68,0,15,6.593316,13.34287, 6.076435,2.357063,264.3615,399.3982, 0.22666307,-0.3934205,-0.21562894, 0.9102635, 0.80396365,-1.4325153,-0.30535453,-0.5308487, 0.6140971,-0.7476653, 0.3693074, 0.93301867,-0.69125306, 0.6256495
2007,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.76,0,15,5.254367,12.23995,13.530654,2.509006,233.4768,352.5038, 0.67998921,-2.1849142,-1.74383610,-0.3477331,-1.48955158, 1.0352609, 0.53245395, 0.2463789,-1.5781087, 1.5311188,-0.7862984,-1.09153932, 0.24049357,-1.6094975
2008,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.83,0,15,6.484609,12.89549, 9.920305,2.798374,246.8273,379.8776, 1.07664958,-0.5388681,-0.83552200, 0.1960626,-0.15075452,-0.1599725, 2.12801595, 0.9182052,-0.2753738, 0.1653497,-0.1431279,-0.60439286, 1.92268973,-0.2193965
2009,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.71,0,15,6.523998,13.46657,11.196737,2.431369,257.0357,393.0204, 0.39666037,-0.4861663,-0.04422712, 0.6118714, 0.49203690, 0.2626000, 0.10436129, 0.4646465,-0.5085823, 0.4358426, 0.3690397,-0.15908245,-0.02163476, 0.4676348
2010,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.70,0,15,7.725784,14.14466, 9.361358,2.392532,260.8552,407.6493, 0.33999460, 1.1218063, 0.89532758, 0.7674457, 1.20750758,-0.3450163,-0.10977989, 0.5856757, 0.8708809,-0.3053969, 0.6179569, 0.50967097,-0.16374977, 1.2202811
2011,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.64,0,15,6.597484,13.16974, 8.709111,2.283689,273.2008,400.7041, 0.00000000,-0.3878436,-0.45552053, 1.2703090, 0.86783379,-0.5609477,-0.70994066, 0.3746406,-0.8098776,-0.6364952, 1.2111471,-1.03679525,-0.69918834, 0.9107188
2012,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.43,0,15,8.050263,14.86268, 6.466900,2.052872,274.0862,412.0363,-1.18998111, 1.5559543, 1.89021421, 1.3063725, 1.42206759,-1.3032486,-1.98265399,-0.7351165, 1.0202127,-1.4755069, 1.3345215, 1.18850455,-1.91448346, 1.4879999
2013,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.13,0,15,6.980536,14.09426,12.004322,2.553454,221.8275,374.9419,-2.88995413, 0.1246743, 0.82549339,-0.8222338,-0.39214577, 0.5299570, 0.77753509,-2.4036010,-0.4673741, 0.2794442,-0.7097898, 0.07853198, 0.89581986,-0.3102303
2014,Atlantic puffin,Matinicus Rock,Atlantic puffin_Matinicus Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.65,0,15,7.539439,13.93951,12.478849,2.600082,226.7112,344.8025, 0.05666577, 0.8724790, 0.61107401,-0.6233072,-1.86620764, 0.6870529, 1.03463874, 0.5257719, 0.2815248, 0.3767419,-0.4295842,-0.10595598, 1.19573374,-1.7753732
