year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2010,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.0000000,1,13,1.233063,5.793826,11.60108,4.243899,198.6271,299.8880,-2.0925609,-1.0112954,-0.1845581,-0.6086316, 0.1736583,-1.34404172,-0.95295851,-0.2414239, 0.15660439, 0.31103353,-0.28058197, 0.8463209,-0.3554292, 0.55975524
2011,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.0000000,1,13,1.387792,5.295010,11.35047,4.990988,204.7578,284.2703,-2.0925609,-0.6460129,-1.0420953, 0.3176221,-0.8929680,-1.45419098, 0.19705156,-0.9083181, 0.28363355,-0.46085733, 0.82466762,-0.5057628, 0.7917760,-0.71363831
2012,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.8333333,0,13,1.131764,5.358602,12.83899,3.976743,194.5676,299.6150, 0.7405851,-1.2504416,-0.9327714,-1.2219579, 0.1550164,-0.79994458,-1.36419709, 1.3659449,-0.56702849,-0.35812236,-0.63037740,-0.7914372,-0.8210198, 0.17294178
2013,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.7931034,0,13,1.305820,5.549097,15.32800,4.918688,194.8262,289.8531, 0.6038125,-0.8395309,-0.6052838,-1.1828882,-0.5116821, 0.29405158, 0.08575999, 0.7783004,-0.41033111, 0.29459252,-0.60123366,-0.7593993, 0.5286478,-0.60979802
2014,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.5142857,0,13,1.943370,7.020630,15.48652,4.357802,208.5832,319.9440,-0.3441051, 0.6655927, 1.9244990, 0.8955861, 1.5433997, 0.36372983,-0.77762498,-0.5124781, 0.83259924, 0.03321966, 1.37285374, 1.5744820,-0.4837688, 1.37460549
2015,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.8214286,0,13,1.365185,5.505196,17.41015,5.507866,198.0977,273.7081, 0.7001116,-0.6993836,-0.6807562,-0.6886096,-1.6143201, 1.20922315, 0.99269326, 0.2968889,-0.80255027, 0.65789202,-0.41018976,-1.1271263, 1.0887754,-1.80842964
2016,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.5172414,0,13,1.949101,6.630846,17.46253,4.501372,198.1420,311.6753,-0.3340565, 0.6791229, 1.2544018,-0.6819209, 0.9786824, 1.23224617,-0.55662415,-0.8641178, 0.29780295, 0.57032426,-0.69680987, 0.8112270,-0.7070583, 0.80462047
2017,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.6888889,0,13,1.977608,6.267446,13.47645,5.388744,205.9144,299.4712, 0.2495065, 0.7464211, 0.6296649, 0.4923772, 0.1451897,-0.51975927, 0.80932723,-0.2993823, 0.07896789,-1.18204181, 0.08971862, 0.2892339, 0.3636345, 0.03653835
2018,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.6842105,0,13,2.385812,6.068563,14.73797,4.659801,212.7181,311.8577, 0.2336011, 1.7101048, 0.2877559, 1.5203125, 0.9911357, 0.03471564,-0.31275100,-0.2261041, 0.74853847,-0.51769736, 0.63542323, 0.1496170,-1.1024446, 0.99325793
2019,Atlantic puffin,Papey,Atlantic puffin_Papey,Arctic,North and East Iceland,0.8723404,0,13,1.934827,5.522588,16.89767,6.083854,210.3208,283.1700, 0.8732004, 0.6454229,-0.6508567, 1.1581102,-0.9681121, 0.98397017, 1.87932370, 0.6106901,-0.61823661, 0.65165685,-0.30347056,-0.4871552, 0.6968870,-0.80985330
