year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.510869565,0,58,4.772908,8.085708,13.540226,10.665326,156.2351,248.8886, 0.55582561,-0.20037097,-0.80504708,-1.90153563,-0.97976950, 1.087507446, 1.69656739, 0.71496549, 1.08939299, 0.5132522874,-1.47469493, 0.66281460, 0.943638694,-0.11297274
1994,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.018181818,1,58,4.474649,7.886311,14.965616, 8.516066,166.4943,251.0153,-0.80071174,-0.98354025,-1.19186351,-0.20044767,-0.80045917, 1.993929891,-0.35481149,-0.68313876, 0.15883184, 1.4675357593, 0.13341303, 0.05200844,-0.894327084,-0.09883765
1995,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.000000000,1,58,4.699721,7.646125,13.598683, 9.235058,168.2377,245.2205,-0.85077249,-0.39254645,-1.65781133, 0.08862753,-1.28904383, 1.124680568, 0.33143609,-0.76929602, 0.60821528, 0.6457049564, 0.33672576,-0.62459985,-0.013325868,-0.74077772
1996,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.253731343,0,58,4.231716,7.628749,10.235471, 9.466731,170.1037,247.7520,-0.15216359,-1.62143358,-1.69151916, 0.39802504,-1.07560089,-1.014025583, 0.55255805,-0.10131327,-0.75650070,-1.4460251812, 0.56757833,-0.85563886, 0.383890268,-0.66887037
1997,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.000000000,1,58,4.174136,7.925269, 8.487777, 9.467603,162.2969,251.9814,-0.85077249,-1.77262583,-1.11628907,-0.89641915,-0.71899997,-2.125404622, 0.55339034,-0.82507795,-1.03774029,-2.5108707125,-0.79819326,-0.46441068, 0.542157280,-0.44198521
1998,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.008474576,1,58,4.314107,8.580455,10.998719, 9.087608,166.4217,272.4292,-0.82743909,-1.40509226, 0.15473400,-0.21249927, 1.00506779,-0.528666803, 0.19070142,-0.82142996,-0.79447255,-0.8680418921,-0.17838326, 0.63593975, 0.318243615, 1.16418662
1999,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.712765957,0,58,4.694672,8.290417,13.509742, 7.807940,174.1382,273.0381, 1.11171522,-0.40580542,-0.40792236, 1.06698137, 1.05640362, 1.068122305,-1.03068862, 1.10350931, 0.08632997, 0.7743957105, 1.04420504,-0.08405996,-0.783030635, 1.10944635
2000,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.020408163,1,58,4.697319,8.086108,11.979775, 9.347176,167.5980,251.3002,-0.79458186,-0.39885313,-0.80427067,-0.01745639,-0.77643193, 0.095197834, 0.43844826,-0.81153244,-0.01942053,-0.1533227721,-0.08990754,-0.62442235, 0.787562580,-0.81764547
2001,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.843750000,0,58,4.393000,8.187359,11.662222, 7.928321,184.7511,265.6748, 1.47235895,-1.19793340,-0.60784987, 2.82670609, 0.43556963,-0.106737647,-0.91578959, 1.45213406,-0.92542210,-0.3104947713, 2.71179767,-0.55868636,-0.483878396, 0.31191964
2002,Atlantic puffin,Rost,Atlantic puffin_Rost,Northern European Seas,Northern Norway and Finnmark,0.906250000,0,58,4.764104,9.334763,13.199056, 7.296139,171.6908,285.0338, 1.64444276,-0.22349044, 1.61804561, 0.66117413, 2.06782959, 0.870553086,-1.51918098, 1.62641394,-0.05211893, 0.7111169374, 0.51102596, 1.54985359,-1.023132377, 1.87356298
