year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2006,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.88,0,14,6.593316,13.34287, 6.076435,2.357063,264.3615,399.3982, 0.8489325,-0.43834661,-0.3356129, 0.8880031, 0.7733724,-1.5401231,-0.2793028583,-0.30130906, 1.06974422,-0.93025103, 0.04655948, 1.16498613,-0.83011713, 0.4396819
2007,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.86,0,14,5.254367,12.23995,13.530654,2.509006,233.4768,352.5038, 0.7621802,-2.20094601,-1.9429251,-0.3252361,-1.4367471, 0.9688385, 0.5295978674, 0.07418030,-1.23035100, 1.43890524,-0.97266768,-1.02088385, 0.11954668,-1.6639708
2008,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.79,0,14,6.484609,12.89549, 9.920305,2.798374,246.8273,379.8776, 0.4585475,-0.58144840,-0.9875937, 0.1992122,-0.1466308,-0.2463425, 2.0701065652, 0.16146876,-0.07197874, 0.09541364,-0.27034701,-0.55718617, 1.78681284,-0.2811702
2009,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.72,0,14,6.523998,13.46657,11.196737,2.431369,257.0357,393.0204, 0.1549147,-0.52959655,-0.1553388, 0.6002273, 0.4727877, 0.1832824, 0.1162761244, 0.17743689,-0.40488178, 0.40822267, 0.29240048,-0.12964089,-0.05426573, 0.4171502
2010,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.77,0,14,7.725784,14.14466, 9.361358,2.392532,260.8552,407.6493, 0.3717952, 1.05244163, 0.8328503, 0.7502665, 1.1622428,-0.4344746,-0.0904763314, 0.64259802, 0.86877197,-0.31485550, 0.58803239, 0.54076272,-0.16227192, 1.1717247
2011,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.72,0,14,6.597484,13.16974, 8.709111,2.283689,273.2008,400.7041, 0.1549147,-0.43285970,-0.5879221, 1.2352388, 0.8349201,-0.6540096,-0.6699291415, 0.60267769,-0.84854334,-0.62821701, 1.20245751,-1.11087108,-0.65698408, 0.8957390
2012,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.31,0,14,8.050263,14.86268, 6.466900,2.052872,274.0862,412.0363,-1.6235059, 1.47958740, 1.8792355, 1.2700192, 1.3690011,-1.4086991,-1.8987287492,-1.07010296, 0.90826025,-1.46523823, 1.35055099, 1.21234925,-1.81504863, 1.4673746
2013,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.09,0,14,6.980536,14.09426,12.004322,2.553454,221.8275,374.9419,-2.5777803, 0.07139199, 0.7594013,-0.7828549,-0.3792447, 0.4551015, 0.7662227222,-1.99005783,-0.57920821, 0.32772527,-0.60514983, 0.03550183, 0.90663229,-0.2570991
2014,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.74,0,14,7.539439,13.93951,12.478849,2.600082,226.7112,344.8025, 0.2416669, 0.80713566, 0.5338829,-0.5910058,-1.7997074, 0.6148192, 1.0144552573, 0.79238860, 0.15363286, 0.42810067,-0.33226726,-0.16010567, 1.19758866,-1.6675721
2015,Atlantic puffin,Seal Island NWR,Atlantic puffin_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.81,0,14,7.112820,13.91717,13.643664,2.409486,206.7175,370.1098, 0.5452997, 0.24553241, 0.5013265,-1.3764165,-0.6069812, 1.0068758,-0.0002226936, 0.98770026,-0.33450253, 0.77230959,-1.05278436,-0.07582700, 0.21162895,-0.4786387
