year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2007,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.36363636,0,16,7.773117,11.047110,18.04355,5.216463,163.9234,231.9006, 0.009750151, 0.58358238, 0.35590588, 0.17527141,-0.98646790, 1.52508936, 0.141510060, 0.14456799,-0.44431013, 0.89841281,-0.3347541,-0.39307108, 0.169062848,-0.61466606
2008,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.21782178,0,16,7.932339,11.154932,15.54870,5.251885,165.9177,248.8386,-0.501271157, 1.10826595, 0.53223393, 0.82203781, 0.25486648, 0.09954909, 0.180372124,-0.07759452, 0.32240778,-0.42307326, 0.6353420,-0.07180821, 0.197407572, 0.49663813
2009,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.25000000,0,16,7.608646,11.311406,16.23010,4.493062,161.0103,245.7590,-0.388499479, 0.04160347, 0.78812695,-0.76949971, 0.02916800, 0.48889469,-0.652125144, 0.25249745,-0.52150734, 0.07043342,-0.6978637, 0.32353635,-0.643991069, 0.15947216
2010,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.00000000,1,16,7.889944,11.548378,13.99036,4.204377,164.5870,259.8776,-1.264648667, 0.96856204, 1.17566416, 0.39047624, 1.06387416,-0.79088095,-0.968838499,-0.47786993, 0.60891161,-1.10507427, 0.6554462, 0.84504183,-0.967989832, 1.10127351
2011,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.00000000,1,16,7.669106,10.337508,14.69677,6.645850,161.7605,225.6623,-1.264648667, 0.24083676,-0.80455782,-0.52619837,-1.44364900,-0.38723983, 1.709677101,-0.40362662, 0.06535974,-0.59705832,-0.1328923,-1.00669514, 1.704856326,-1.48059176
2012,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.37349398,0,16,7.690462,11.568473,15.97349,4.602189,163.1959,261.2907, 0.044297107, 0.31121229, 1.20852742,-0.06066954, 1.16743618, 0.34226759,-0.532403314, 0.90802397, 0.30062169, 0.23693082, 0.3959748, 1.12939184,-0.541277565, 1.07471402
2013,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.05063291,0,16,7.591183,10.245273,15.40334,5.423844,158.5716,234.2167,-1.087200730,-0.01594228,-0.95539669,-1.56038034,-0.81673050, 0.01649182, 0.369025821,-0.29230755, 0.11906657, 0.01574365,-1.1053955,-0.91701381, 0.357714059,-0.94666937
2014,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.04347826,0,16,8.013816,11.453527,15.10323,4.464310,167.2998,255.5211,-1.112274895, 1.37675403, 1.02054749, 1.27025507, 0.74459864,-0.15499331,-0.683669243,-0.45775390, 1.63807535,-0.05104599, 1.6585825, 1.17096558,-0.695802548, 0.59600575
2015,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.35064935,0,16,6.928065, 9.627947,19.18318,6.927137,156.7245,224.9403,-0.035764092,-2.20110636,-1.96495444,-2.15941472,-1.49656792, 2.17626632, 2.018273731, 0.40684623,-1.83275955, 2.38501599,-1.9027425,-1.70798443, 2.006934847,-1.64525213
2016,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.14736842,0,16,7.261196,10.879377,14.57183,3.750893,164.7336,257.0863,-0.748181777,-1.10334395, 0.08159845, 0.43802300, 0.85930815,-0.45863204,-1.466352066,-0.58902063,-0.64725863,-0.14497313, 0.4980422, 0.43963712,-1.475280562, 0.72909531
2017,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.72727273,0,16,7.366289,10.769959,12.41592,4.562422,164.8703,263.5871, 1.284148969,-0.75703085,-0.09734020, 0.48234504, 1.33573276,-1.69050692,-0.576031270, 1.08832245,-0.23249400,-1.27183188, 0.2807134, 0.35628386,-0.580933412, 1.24255400
2018,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.47368421,0,16,7.338744,10.045444,14.16276,5.081671,165.9188,236.8289, 0.395423477,-0.84780037,-1.28219088, 0.82238047,-0.62528994,-0.69237359,-0.006368608,-0.22692921,-0.27409896,-0.16857555, 0.2941001,-0.73846470,-0.005628431,-0.66287193
2019,Atlantic puffin,Vestmannaeyjar,Atlantic puffin_Vestmannaeyjar,Northern European Seas,South and West Iceland,0.60204082,0,16,7.685362,10.793914,14.54505,5.513083,165.4655,244.1837, 0.845261621, 0.29440689,-0.05816423, 0.67537363,-0.08627912,-0.47393222, 0.466929305,-0.27515573, 0.89798587, 0.15509571,-0.2445532, 0.57018080, 0.474927767,-0.04970164
