year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,1.9,0,27,13.56591,15.13866, 2.320260, 7.416859,566.4088,625.1902, 0.163112497, 0.785686628, 0.43681117, 0.5398495, 0.76283548,-2.0687475,-1.37245473,-0.6703386,-0.02890354,-1.43617380,-0.16563375,-0.24299108,-0.97161516,-0.15577602
1996,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,1.9,0,27,13.88724,14.76903, 5.389369,10.594521,601.8436,617.9343, 0.163112497, 1.185488255,-0.12272996, 1.3569126, 0.60120019,-0.6489601, 0.84835175,-0.5276779, 0.61371929,-0.16578309, 0.74311326,-0.61097019, 1.15592588,-0.17808959
1997,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,2.3,0,27,12.99463,15.89796,10.455032, 8.416143,601.6389,671.2819, 0.792260699, 0.074915689, 1.58625623, 1.3521926, 1.78959344, 1.6944442,-0.67407489, 0.2348610,-0.27685016, 2.04083529, 0.82578677, 1.27198083,-0.45195810, 1.14143789
1998,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,1.6,0,27,13.73647,15.44440, 3.950307, 6.251646,578.1135,650.6136,-0.308748655, 0.997900169, 0.89965640, 0.8097390, 1.32917759,-1.3146785,-2.18679989,-0.7420278, 0.84331934,-1.09246265, 0.36643613, 0.74174863,-2.04233233, 0.80396877
1999,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,2.3,0,27,11.84938,13.84489,10.827609,12.162622,492.3853,517.6951, 0.792260699,-1.349987364,-1.52171198,-1.1669993,-1.63177016, 1.8668002, 1.94426778, 0.4738321,-1.33020126, 1.97745162,-1.53148967,-1.54084932, 2.01889421,-2.04221972
2000,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,2.4,0,27,12.75827,14.82534, 5.585514, 9.849715,523.0887,608.1028, 0.949547749,-0.219155561,-0.03749448,-0.4590334, 0.38219006,-0.5582224, 0.32782144, 0.7366996,-0.04782061,-0.54652484,-0.74900174, 0.06454143, 0.34041486, 0.07831225
2001,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,2.0,0,27,12.02048,14.47469, 7.255745, 9.495008,491.1775,547.6715, 0.320399547,-1.137099786,-0.56831036,-1.1948485,-0.96400246, 0.2144357, 0.07992339, 0.2038618,-0.83703408, 0.13979029,-1.41458522,-0.36269842, 0.03829190,-1.16949601
2002,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,2.5,0,27,12.10341,14.06132, 7.569933,10.156879,529.5372,567.4734, 1.106834799,-1.033921501,-1.19407595,-0.3103447,-0.52288836, 0.3597808, 0.54249215, 1.0773374,-0.62794314, 0.21140305,-0.46414044,-0.90248516, 0.45444385,-0.63818513
2003,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,1.9,0,27,13.40286,15.05870, 6.108588, 9.305528,590.3416,623.2048, 0.163112497, 0.582833070, 0.31577097, 1.0916965, 0.71860678,-0.3162457,-0.05250046, 0.2113854, 1.07190601,-0.52574512, 0.99955134, 0.67574341,-0.17915747, 0.68531930
2004,Brandt's cormorant,Alcatraz,Brandt's cormorant_Alcatraz,Cold Temperate Northeast Pacific,Northern California,2.4,0,27,12.86481,15.35437, 7.436290, 9.671753,600.8494,669.1428, 0.949547749,-0.086604001, 0.76336304, 1.3339880, 1.74194216, 0.2979567, 0.20344689, 1.0663209, 0.46274542, 0.03994638, 1.29920301, 1.17411994, 0.04598929, 1.78247647
