year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.61,0,51,13.72840,15.36707, 1.731150, 4.740189,557.7346,610.9967,-1.1090609, 0.91724502, 0.78173530, 0.28389362, 0.46228158,-1.94193082,-2.61447966,-1.88681164,-0.17392079,-0.65612606,-0.32306340, 0.03201086,-1.39495933,-0.17417323
1994,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.65,0,51,13.55437,14.71805, 2.967514, 7.294021,560.6425,569.0540, 1.5906746, 0.69791766,-0.22752868, 0.35070259,-0.50146149,-1.50419729,-1.09398954, 0.91850996,-0.13294085,-0.45926241,-0.20035191,-0.79637222,-0.08914489,-1.06493283
1995,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.94,0,51,13.64522,15.13866, 2.592713, 7.416859,576.2459,625.1902, 0.6510608, 0.81241224, 0.42653726, 0.70919381, 0.78841592,-1.63689516,-1.02085430, 0.07748321, 0.22069645,-0.81579475, 0.21293620, 0.02378945,-0.21618136, 0.29504502
1996,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.20,0,51,13.86040,14.76903, 6.109321,10.594521,602.4157,617.9343, 0.9951447, 1.08360446,-0.14824016, 1.31045294, 0.62169252,-0.39184392, 0.87104893, 0.51315514, 0.70986682, 0.22245745, 0.86788660,-0.39967743, 1.49005414, 0.19553900
1997,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.87,0,51,12.86362,15.89796,13.094643, 8.416143,593.5559,671.2819, 0.5584228,-0.17263676, 1.60728171, 1.10689784, 1.84749512, 2.08130256,-0.42590508, 0.16102216,-0.34956082, 2.50584030, 0.71691715, 1.49236983, 0.02193636, 1.48567593
1998,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.42,0,51,13.57283,15.44440, 3.763750, 6.251646,580.6669,650.6136,-1.3605068, 0.72117508, 0.90198577, 0.81076836, 1.37258587,-1.22229091,-1.71459427,-1.68031760, 0.71990001,-0.97048138, 0.47226769, 0.90881409,-1.42341263, 1.07221797
1999,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.40,0,51,11.83586,13.84489,11.179762,12.162622,491.3351,517.6951, 1.2598246,-1.46793126,-1.58531645,-1.24165405,-1.68156934, 1.40334065, 1.80465890, 1.01060467,-1.31472192, 1.49945740,-1.52978031,-1.47153310, 1.95368472,-1.92336901
2000,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.27,0,51,12.79156,14.82534, 6.624893, 9.849715,531.3131,608.1028, 1.0877827,-0.26346206,-0.06068372,-0.32314815, 0.39578819,-0.20930590, 0.42760959, 0.90215443, 0.02306712,-0.25184653,-0.56200563, 0.14526948, 0.44898355, 0.20967370
2001,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.98,0,51,12.08870,14.47469, 8.291152, 9.495008,491.4156,547.6715, 0.7039968,-1.14927780,-0.60595371,-1.23980508,-0.99278103, 0.38063127, 0.21642544, 0.57496116,-0.75059335, 0.21646869,-1.43049940,-0.32261584, 0.12465152,-1.12609339
2002,Brandt's cormorant,SE Farallon,Brandt's cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.01,0,51,12.27482,14.06132, 8.119333,10.156879,536.4964,567.4734, 0.7436988,-0.91470871,-1.24875889,-0.20406162,-0.53778113, 0.31979884, 0.61048739, 0.66425674,-0.42503356, 0.05104973,-0.34769839,-0.90282151, 0.42006956,-0.62117441
