year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2008,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.55,0,14, 8.971978,13.33130,8.128401,8.582985,519.4392,636.3119,-0.67043729,-1.40461055,-1.7918907,-0.4527001,-2.451260723, 1.82608776, 1.91587929,-0.166961897, 0.21319381, 0.214541988, 0.45589647,-0.2658167, 0.9116279,-0.814381125
2009,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",1.00,0,14, 9.196923,14.40697,7.563366,6.933647,511.6649,683.0044,-0.06444663,-1.15363446,-0.3019438,-0.6978653,-0.360266317, 1.39776657,-0.02435019, 0.591168815,-0.04837296, 0.319618605,-0.19773534, 0.8520691,-0.7523472, 0.692850459
2010,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.25,0,14,10.252601,13.57427,4.837536,7.891504,548.3905,691.1001,-1.07443107, 0.02420734,-1.4553437, 0.4602921, 0.002276534,-0.66852948, 1.10244245,-0.329225331, 0.68244497,-1.285396481, 0.62493562,-0.6450139, 0.6226008, 0.557474993
2011,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.42,0,14, 9.449219,14.36911,5.767523,6.384032,521.8140,703.0112,-0.84550126,-0.87214266,-0.3543775,-0.3778103, 0.535681656, 0.03644009,-0.67089913,-0.073254982,-0.59540993,-0.191262793,-0.47567311, 0.1406470,-0.9306844, 0.678806304
2012,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.18,0,14, 9.394952,13.96660,6.725525,6.618405,489.1906,661.5362,-1.16869628,-0.93268911,-0.9119138,-1.4066042,-1.321662702, 0.76264729,-0.39519067,-0.431959213,-0.97194229, 0.851991681,-1.69399306,-0.7038166,-0.4630185,-1.504767362
2013,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.57,0,14, 9.941019,14.80716,6.649047,6.002110,542.2587,706.4732,-0.64350437,-0.32343134, 0.2523779, 0.2669243, 0.690714686, 0.70467357,-1.12018050,-0.004826266,-0.61315144, 1.038948383,-0.13701051, 0.2019257,-1.0241498, 0.267225224
2014,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.72,0,14,10.969389,15.15188,4.094725,7.607664,547.1231,703.9313,-0.44150748, 0.82394250, 0.7298674, 0.4203257, 0.576884579,-1.23161220, 0.76854228, 0.036561908, 0.34927445,-0.724523803,-0.02717484, 0.4492438, 1.0003326,-0.001145181
2015,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",1.70,0,14,11.793207,15.49008,4.991699,6.576879,600.2339,713.5957, 0.87820552, 1.74309412, 1.1983178, 2.0951989, 1.009675796,-0.55166754,-0.44404046, 1.133116444, 1.14899712, 0.056117590, 1.67711273, 0.7159006,-0.1045895, 0.362950243
2016,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.87,0,14,11.515342,14.84153,4.694387,7.391770,580.4429,707.3792,-0.23951060, 1.43307372, 0.2999785, 1.4710810, 0.731287502,-0.77704282, 0.51457191,-0.270307891, 0.78506674,-0.140677808, 1.15538948,-0.3558542, 0.9335845, 0.101710661
2017,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.79,0,14,10.282094,14.90727,4.015949,6.784536,507.0684,695.1570,-0.34724227, 0.05711311, 0.3910495,-0.8428186, 0.183953196,-1.29132825,-0.19975877,-0.726297536,-0.57928486,-0.698500202,-0.98313538,-0.4098209, 0.2707166,-0.342630429
2018,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",1.69,0,14,10.466318,14.98111,5.831449,7.213049,522.4726,686.2211, 0.86473906, 0.26265582, 0.4933176,-0.3570416,-0.216217683, 0.08489892, 0.30433032, 0.074876069,-0.29661414, 0.562073165,-0.24900344,-0.4242126, 0.7981695,-0.553963587
2019,Brandt's cormorant,Yaquina Head,Brandt's cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",2.11,0,14,10.537810,15.67219,5.333808,5.465572,515.4348,704.8703, 1.43033035, 0.34242151, 1.4505608,-0.5789819, 0.618933477,-0.29233391,-1.75134652, 0.167109880,-0.07420147,-0.002930326,-0.14960863, 0.4447488,-1.2622425, 0.555869800
