year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.58,0,51,13.18141,15.24699,3.430201, 4.320833,529.6692,609.7380,-0.55255364, 0.25128782, 0.61506179,-0.36695519, 0.38884583,-1.0520927,-2.67972954,-0.34660833,-0.65067064,-0.01820092,-0.7643674,-0.24930949,-1.30261023,-0.31678438
1994,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.00,0,51,13.39882,14.92974,2.669073, 6.393197,562.7065,580.5732, 0.82209200, 0.53127941, 0.11709376, 0.49259613,-0.30880249,-1.4651153,-1.37028154, 0.96387748,-0.14353276,-0.62417903, 0.1331694,-0.52761682,-0.24337870,-0.91962618
1995,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.74,0,51,13.33780,15.17108,2.559918, 6.604090,547.5888,626.1893,-0.02887911, 0.45269173, 0.49590239, 0.09927023, 0.78237516,-1.5243481,-1.23702622, 0.05318876,-0.01390592,-0.86275638,-0.2230609, 0.05247204,-0.34302574, 0.26149470
1996,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.81,0,51,13.84416,14.85146,4.580084, 9.655381,595.5092,623.3941, 0.20022850, 1.10481236,-0.00577076, 1.34604563, 0.71551013,-0.4281139, 0.69096793, 0.22702099, 0.82749743, 0.06774440, 1.0599203,-0.26630136, 1.36938016, 0.27970964
1997,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.55,0,51,13.13908,15.83941,7.424938, 8.517464,610.3900,675.6323,-0.65074262, 0.19677011, 1.54493298, 1.73320811, 1.96509464, 1.1156338,-0.02803842,-0.67478328, 0.08980613, 1.45936966, 1.4823988, 1.44892166, 0.45209966, 1.60951085
1998,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.79,0,51,14.09862,15.32243,3.901271, 5.798421,575.3162,645.2074, 0.13476918, 1.43251380, 0.73347160, 0.82066993, 1.23730324,-0.7964684,-1.74609819, 0.06433760, 1.47696898,-0.59124387, 0.6042867, 0.78359910,-1.44692015, 0.95707287
1999,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.83,0,51,12.01737,13.85662,9.029808,11.800355,501.1421,525.7614, 0.26568781,-1.24782739,-1.56730699,-1.10916526,-1.61995094, 1.9865097, 2.04629491, 0.15330753,-1.07088484, 2.06683397,-1.2920122,-1.38942115, 2.18182701,-1.82969116
2000,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.83,0,51,12.55432,14.78839,5.001560, 8.845441,505.0817,600.7499, 0.26568781,-0.55631469,-0.10477624,-1.00666631, 0.17384116,-0.1994015, 0.17919752, 0.11580106,-0.26581656,-0.23036652,-1.1568668, 0.18248746, 0.16839778, 0.02972783
2001,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.05,0,51,12.19879,14.34073,4.926167, 9.344108,501.2683,548.3881, 0.98574030,-1.01418578,-0.80742568,-1.10588150,-1.07869878,-0.2403134, 0.49428613, 0.80278930,-0.62906384,-0.36895664,-1.2243253,-0.42916458, 0.35446867,-1.16204851
2002,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.18,0,51,11.99865,14.11456,7.144416, 9.170946,523.3120,572.8232, 1.41122585,-1.27193896,-1.16243814,-0.53235498,-0.49418968, 0.9634095, 0.38487205, 1.19965284,-0.81112501, 0.75069919,-0.6199320,-0.71156012, 0.13335096,-0.52163906
2003,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.90,0,51,13.53734,15.04409,4.185420, 8.658327,586.4073,627.2267, 0.49479542, 0.70966548, 0.29657874, 1.10923408, 0.80719051,-0.6422766, 0.06096761, 0.25904262, 1.22723966,-0.92544303, 1.0516340, 0.80169321,-0.28494300, 0.83077819
2004,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.64,0,51,12.77656,15.20365,5.079459, 9.464394,588.5322,659.9214,-0.35617569,-0.27010597, 0.54702858, 1.16451944, 1.58927696,-0.1571303, 0.57029041,-0.61166606, 0.28529665,-0.49714183, 1.1360064, 1.08799903, 0.14730440, 1.65903844
2005,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.00,1,51,13.16322,15.11543,3.207038, 8.799580,557.4191,639.9150,-2.45087382, 0.22786461, 0.40855673, 0.35503097, 1.11070495,-1.1731910, 0.15021964,-2.72165953, 0.80216389,-1.55643650, 0.3547152, 0.96700269,-0.33252768, 1.22177694
2006,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.00,1,51,13.11784,14.73280,6.335915, 8.711852,592.2518,608.5016,-2.45087382, 0.16941269,-0.19202868, 1.26129572, 0.35926926, 0.5246804, 0.09478785,-2.73251264, 0.74367685, 0.11181195, 1.2882874, 0.36551231,-0.43040667, 0.50678850
2007,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.36,0,51,12.25172,14.52096,8.497148,10.275577,491.3134,556.8757,-1.27260612,-0.94602294,-0.52454354,-1.36488270,-0.87566725, 1.6974638, 1.08284629,-1.56065583,-0.39072569, 1.26858343,-1.3114734, 0.01371201, 0.53251867,-0.69656403
2008,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.64,0,51,11.60402,13.78885,8.469028,10.007756,527.4257,538.4976,-0.35617569,-1.78016429,-1.67368132,-0.42532681,-1.31528771, 1.6822046, 0.91361997,-0.64619405,-1.26276574, 1.25092340,-0.3463897,-1.17309168, 0.35547336,-1.10946378
2009,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.93,0,51,12.11525,14.43052,5.596939, 8.638730,524.3628,546.9828, 0.59298440,-1.12177130,-0.66649068,-0.50501579,-1.11231615, 0.1236780, 0.04858520, 0.30543960,-0.66120323,-0.29639306,-0.4014408,-0.22194742,-0.50006630,-0.88463478
2010,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.62,0,51,13.04155,13.90574,3.442611, 9.584853,555.4490,570.8457, 2.85133082, 0.07116699,-1.49020301, 0.30377210,-0.54149268,-1.0453586, 0.64640418, 2.57070182, 0.45597279,-1.44060845, 0.4310952,-1.12008660, 0.12456190,-0.29681716
2011,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.19,0,51,12.35746,14.18848,6.503101, 9.503110,531.6194,589.7945, 1.44395551,-0.80984035,-1.04640465,-0.31621629,-0.08822089, 0.6154033, 0.59475354, 1.17468454,-0.51972860, 0.25858574,-0.1660350,-0.76909557, 0.11703458, 0.16858553
2012,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.23,0,51,12.41329,14.13866,6.933430, 9.274435,501.5810,538.3660, 1.57487414,-0.73794394,-1.12460989,-1.09774420,-1.31843646, 0.8489191, 0.45026275, 1.32140342,-0.56145803, 0.54414490,-0.9255944,-0.95848861, 0.03398122,-1.05436242
2013,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.14,0,51,12.11918,14.52448,6.795106, 8.273943,503.2481,547.7420, 1.28030722,-1.11670373,-0.51901664,-1.05437092,-1.09415530, 0.7738584,-0.18190982, 1.04707897,-1.07277544, 0.53473862,-0.8611426,-0.48246363,-0.51943982,-0.82767692
2014,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.98,0,51,13.11275,15.62821,3.750752, 6.544802,525.4554,605.9139, 0.75663269, 0.16286432, 1.21342739,-0.47658883, 0.29736851,-0.8781473,-1.27448840, 0.54808914, 0.05530320,-1.03800174,-0.2631718, 1.10203165,-1.51595275, 0.56138797
2015,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.91,0,51,14.91743,16.33705,3.589776, 6.851728,631.9385,649.6463, 0.52752508, 2.48702250, 2.32604081, 2.29385032, 1.34348650,-0.9655003,-1.08055314, 0.34810846, 2.20904018,-1.03247826, 2.5265663, 2.04831585,-1.20863775, 1.60018377
2016,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.90,0,51,14.08741,15.29736,5.709369, 8.184200,561.9335,611.4258, 0.49479542, 1.41807954, 0.69411478, 0.47248485, 0.42921836, 0.1846880,-0.23861530, 0.34894796, 0.95074424, 0.22419763, 0.7236099, 0.23168014,-0.23600606, 0.67373016
2017,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.80,0,51,13.28452,15.30147,5.628232,10.047415,521.7322,579.7882, 0.16749884, 0.38407709, 0.70057379,-0.57345860,-0.32758161, 0.1406594, 0.93867900, 0.05966276,-0.29154297, 0.30026760,-0.3048143, 0.03504899, 1.08929619,-0.10011855
2018,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.73,0,51,13.54163,14.93618,6.603164, 9.186189,507.4200,543.1904,-0.06160877, 0.71519099, 0.12720327,-0.94582774,-1.20303147, 0.6697017, 0.39450365,-0.12699124,-0.18764563, 0.96301945,-0.6605541,-0.75979216, 0.71044290,-0.99748042
2019,Cassin's auklet,SE Farallon,Cassin's auklet_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.10,0,51,13.41966,15.53346,3.969670, 8.712507,521.8066,600.9382,-2.12357724, 0.55811988, 1.06470961,-0.57152238, 0.17834620,-0.7593522, 0.09520196,-2.14206387,-0.59086508,-0.31871371,-0.2705091,-0.06213693, 0.59377738, 0.35712197
