year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.40,0,35,6.175574,11.65488,14.80868,5.116035,71.21899,127.7323, 0.84625188,-0.7021226,-0.99310170, 0.06482916,-0.029389856, 0.914010902, 0.34247101,-0.68861692, 0.24207106, 0.28493072, 1.17725316, 0.271026259,-0.16071777, 0.550330389
1994,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.52,0,35,5.714206,11.85151,15.65033,4.902623,68.94102,127.3283, 1.20967293,-1.5171308,-0.65351024,-0.52209605,-0.085259146, 1.755174932, 0.00302332,-0.02340078,-0.70871091, 1.23002629, 0.45704845, 0.431206414,-0.40745351, 0.444352801
1995,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.33,0,35,6.401117,11.68407,14.54365,5.120020,65.89502,133.2996, 0.63425626,-0.3036994,-0.94269498,-1.30690605, 0.740522673, 0.649137102, 0.34880907,-0.31844290, 0.37652389, 0.22125510,-0.45531604,-0.027529150, 0.02456358, 1.220688053
1996,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.39,0,35,5.225227,10.74567,12.19941,5.560841,70.20912,114.2447, 0.81596679,-2.3809144,-2.56340107,-0.19536454,-1.894596335,-1.693732317, 1.04996815, 0.12222164,-1.82131048,-2.03101256, 0.53439599,-1.807925580, 0.80547337,-1.463215789
1997,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.35,0,35,6.348794,12.01517,12.86203,5.655586,65.26334,124.1753, 0.69482644,-0.3961283,-0.37085404,-1.46965925,-0.521283264,-1.031500063, 1.20066644, 0.23861477, 0.05043352,-1.28484344,-0.85600318, 0.234791590, 1.02944177,-0.138025820
1998,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.43,0,35,7.105466,12.01111,13.88710,4.876583,65.21053,120.3672, 0.93710714, 0.9405363,-0.37786203,-1.48326784,-1.047911411,-0.007026187,-0.03839542, 0.69700840, 1.28163318,-0.18309759,-0.97999123, 0.087814225,-0.14283060,-0.712115338
1999,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.10,0,35,6.637988,12.18484,14.07000,5.167801,71.15590,122.1632,-0.06230075, 0.1147345,-0.07781265, 0.04857377,-0.799543366, 0.175768356, 0.42480853,-0.10770709, 0.35794372, 0.07030403, 0.44719594, 0.257754717, 0.38068223,-0.510546931
2000,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.04,0,35,6.701518,11.84021,14.61713,4.833545,67.78123,121.1063,-0.24401128, 0.2269598,-0.67302166,-0.82091904,-0.945696848, 0.722573298,-0.10684984,-0.11614575, 0.37985851, 0.68105117,-0.52122631,-0.457702702,-0.09714788,-0.702838320
2001,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.27,0,35,6.240688,11.95336,16.73147,4.377617,65.16761,124.5413, 0.45254574,-0.5870986,-0.47760353,-1.49432530,-0.470678043, 2.835676749,-0.83203653, 0.73226259,-0.51693311, 2.85143192,-1.28783699,-0.372672499,-0.77498692,-0.273295689
2002,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.30,0,35,7.177837,12.63979,13.05664,4.639986,70.75035,131.4988, 0.54340100, 1.0683800, 0.70793380,-0.05591730, 0.491488906,-0.836996134,-0.41472037, 0.95354864, 1.06338948,-0.77062855, 0.06309159, 0.712337390,-0.31680373, 0.644056818
2003,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.00,0,35,6.724321,13.13611,14.05348,4.240693,68.35835,127.0521,-0.36515163, 0.2672423, 1.56514011,-0.67222276,-0.123457331, 0.159258512,-1.04982529, 0.15400626, 0.19467300, 0.26957362,-0.63496827, 1.478876744,-0.91752223,-0.015042129
2004,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,0.60,0,35,6.964501,12.32164,12.99609,4.319083,70.20252,126.0113,-1.57655513, 0.6915214, 0.15845867,-0.19706756,-0.267388356,-0.897519368,-0.92514052,-0.96980754, 0.55895046,-0.74992162,-0.23584246,-0.008611164,-0.76493165,-0.202464132
2005,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,0.60,0,35,6.432491,12.06514,13.51083,5.034000,77.27187,127.8498,-1.57655513,-0.2482777,-0.28454317, 1.62437337,-0.013142032,-0.383079130, 0.21198840,-0.90363836,-0.43327296,-0.20486364, 1.51529408,-0.522558995, 0.39362246, 0.008952945
2006,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.10,0,35,6.246764,12.39199,13.20453,5.193634,67.17077,126.1824,-0.06230075,-0.5763652, 0.27996647,-0.97820555,-0.243730023,-0.689195849, 0.46589739, 0.65536466,-0.80620763,-0.48702751,-1.15186420,-0.019134858, 0.66247603,-0.263802561
2007,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,1.20,0,35,7.562382,12.82145,13.19131,4.887809,75.47720,129.2605, 0.24055012, 1.7476792, 1.02167604, 1.16197002, 0.181945609,-0.702410932,-0.02053954, 0.98154363, 1.48056683,-0.48295463, 0.92945700, 0.671349680, 0.18450306, 0.120367289
2008,European shag,Shetland,European shag_Shetland,Northern European Seas,North Sea,0.50,0,35,7.059522,12.88463,13.95659,3.778194,72.54450,143.6311,-1.87940601, 0.8593762, 1.13080209, 0.40635242, 2.169268292, 0.062419080,-1.78546324,-1.13650494, 0.56257114, 0.29249845, 0.12071005, 0.739111192,-1.57843730, 2.066845922
