year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2008,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,1.90,0,15,7.420189,13.05879,12.18644,2.237759,263.2966,428.8195, 1.4176268, 0.48181503, 1.30597493, 1.6320351, 2.1459925,-1.52517665,-1.63125342, 1.20994680, 0.09720543,-0.1628704, 0.540718262, 0.7808383,-1.1142368, 0.92552074
2009,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,0.96,0,15,7.603464,12.63080,13.77595,3.079045,244.8490,405.2641,-1.2263597, 1.24391862, 0.43297803, 0.6080503, 0.8580820,-0.14189496, 0.41412774,-1.39141283, 1.05622633, 0.7158743,-0.090495014, 0.2024057, 0.6837368, 0.07648705
2010,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,1.63,0,15,7.024535,11.84396,12.88745,3.213621,236.8544,369.5680, 0.6581839,-1.16341376,-1.17198311, 0.1642939,-1.0936381,-0.91511496, 0.74131671, 0.53317237,-1.19228523,-0.4848292,-0.199785004,-1.1677166, 0.8095396,-1.50144804
2011,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,1.44,0,15,7.322113,12.21343,12.57771,2.752664,221.9430,394.8267, 0.1237611, 0.07398984,-0.41834801,-0.6634019, 0.2874081,-1.18467048,-0.37938803, 0.03620610, 0.16584270,-1.1048147,-0.751319532,-0.2389682,-0.4665299, 0.18829126
2012,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,0.79,0,15,7.279901,11.68704,14.80372,3.667933,221.7388,375.5111,-1.7045274,-0.10154094,-1.49205796,-0.6747387,-0.7686923, 0.75252676, 1.84586357,-1.75721103, 0.07293978, 0.5590060,-0.544800060,-1.1972902, 1.6493782,-0.62420791
2013,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,1.07,0,15,6.768449,12.43378,15.80163,2.681898,236.8707,371.6940,-0.9169570,-2.22828689, 0.03111487, 0.1651980,-0.9773942, 1.62096298,-0.55143804,-0.93735437,-2.00927482, 1.2311192, 0.454687895, 0.3815450,-0.8112455,-0.65440048
2014,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,2.19,0,15,7.397905,13.28813,14.12348,2.553163,243.5391,410.5798, 2.2333247, 0.38915004, 1.77375627, 0.5353413, 1.1487226, 0.16054545,-0.86442497, 2.24262844, 0.61459699,-0.3485679, 0.926077251, 2.1201234,-1.1415332, 1.58513383
2015,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,1.66,0,15,7.443375,11.73880,13.81836,3.472959,226.0555,384.2241, 0.7425664, 0.57822536,-1.38648451,-0.4351293,-0.2923014,-0.10498738, 1.37183272, 0.77898606, 0.77201070,-0.6563169,-0.001452233,-1.1039060, 1.1234450, 0.19243552
2016,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,1.35,0,15,7.450030,12.52706,15.62341,2.622638,218.2091,385.4785,-0.1293866, 0.60590044, 0.22136994,-0.8706593,-0.2237149, 1.46587281,-0.69551523,-0.06843613, 0.72992766, 0.9493807,-0.452346263, 0.3804345,-0.8691610, 0.24425582
2017,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,1.34,0,15,7.550959,12.61441,13.83135,2.621223,214.8484,375.5596,-0.1575141, 1.02558648, 0.39954005,-1.0572031,-0.7660421,-0.09368519,-0.69895385,-0.07461800, 1.04175913,-0.4982865,-0.712559197, 0.3753651,-0.7518363,-0.37992942
2018,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,1.17,0,15,7.066918,12.46255,13.09700,3.072652,266.2515,397.7909,-0.6356818,-0.98717762, 0.08979213, 1.7960537, 0.4494793,-0.73275080, 0.39858458,-0.53342526,-1.11695605,-0.9484078, 2.008723469,-0.1773478, 0.5124868, 0.68864203
2019,European shag,Sklinna,European shag_Sklinna,Northern European Seas,Southern Norway,1.34,0,15,7.324000,12.52362,14.74149,2.928967,212.2788,375.5256,-0.1575141, 0.08183338, 0.21434736,-1.1998401,-0.7679014, 0.69837241, 0.04924821,-0.03848215,-0.23199261, 0.7487132,-1.177449573,-0.3554831, 0.3759564,-0.74078040
