year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.47,0,41,20.39735,24.91175,1.8877197,0.9498964,581.1048,710.0476, 1.06161648, 0.1714233,-0.02462670, 0.03107116,-0.068132741,-0.001694479,-1.23820218, 0.91950332,-0.32459826,-0.51335005,-0.54016611,-0.03138121,-1.331813709,-0.43283553
1994,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.25,0,41,19.94046,24.76907,2.2427204,0.9807677,547.4603,689.6546, 0.65378936,-0.3728583,-0.30823640,-0.48774545,-0.475886021, 0.627109960,-0.47148927, 0.44359653,-0.71078356, 0.10521210,-0.96475430,-0.22734544,-0.574024554,-0.80473821
1995,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.00,0,41,20.86367,24.32947,1.4847865,1.0044176,638.7620,726.4746, 0.19034946, 0.7269538,-1.18207867, 0.92017796, 0.260320630,-0.715400941, 0.11587247,-0.07767636, 0.53273194,-1.24158904, 0.53136309,-1.02399736, 0.006348395,-0.03361655
1996,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.12,0,41,20.90724,25.26155,2.1721109,0.9898660,628.2005,747.7801, 0.41280061, 0.7788573, 0.67071043, 0.75731340, 0.686319651, 0.502041128,-0.24552622, 0.09718848, 0.71394596,-0.02248515, 0.45065806, 0.89552700,-0.360104130, 0.42636190
1997,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,0.86,0,41,19.84640,25.28528,2.7707872,1.0003436,598.9807,835.3805,-0.06917688,-0.4849127, 0.71788021, 0.30672819, 2.437872063, 1.562462576, 0.01469081,-0.42212864,-0.43490639, 1.04555016, 0.07619792, 0.99897692,-0.103005982, 2.21095816
1998,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,0.15,0,41,21.33275,25.06243,2.9779391,1.0519479,751.3767,791.6469,-1.38534620, 1.2857737, 0.27490711, 2.65675837, 1.563427112, 1.929386048, 1.29632259,-1.76539090, 1.43630472, 1.42603954, 2.49631872, 0.60182886, 1.177441868, 1.36862146
1999,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.29,0,41,19.40839,24.25653,2.6789900,1.1443208,530.5968,661.8811, 0.72793975,-1.0067213,-1.32707686,-0.74778992,-1.031211139, 1.399864330, 3.59047153, 0.33104879,-0.77005849, 0.91603578,-0.84417340,-0.96478517, 3.472341845,-1.19484411
2000,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.19,0,41,19.84425,25.02446,1.5104482,0.9740475,528.5126,713.1714, 0.54256379,-0.4874790, 0.19941533,-0.77992856,-0.005672909,-0.669946873,-0.63839099, 0.13907326,-0.17907729,-1.12830542,-0.81829032, 0.58662185,-0.753834688,-0.13906879
2001,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.00,0,41,19.13257,24.49976,2.0779884,1.0348062,533.8596,682.9191, 0.19034946,-1.3353034,-0.84358200,-0.69747500,-0.610561315, 0.335323949, 0.87059683,-0.20949396,-0.96955561,-0.09161254,-0.68384949,-0.44191577, 0.759774073,-0.71465569
2002,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,0.94,0,41,19.98381,24.72849,2.3289420,0.9883111,585.4546,708.5026, 0.07912389,-0.3212159,-0.38889920, 0.09814728,-0.099024524, 0.779832475,-0.28414516,-0.30682574, 0.08748506, 0.39027009, 0.15772560, 0.01677165,-0.388412013,-0.17475298
2003,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,0.00,1,41,20.82254,24.41158,1.7129478,1.0377420,630.1430,683.3148,-1.66341014, 0.6779528,-1.01886627, 0.78726817,-0.602649709,-0.311264025, 0.94350762,-2.02521930, 1.11521391,-0.65750026, 0.88676485,-0.61964592, 0.847731631,-0.65094783
2004,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.33,0,41,20.07735,25.25038,2.1900235,0.9727775,583.8544,743.8083, 0.80209013,-0.2097853, 0.64849650, 0.07347236, 0.606905175, 0.533769315,-0.66993366, 0.47466814, 0.24164322, 0.23681129, 0.20685294, 1.03081126,-0.755283842, 0.58510181
2005,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.42,0,41,20.36819,24.43549,1.4984791,0.9788416,613.8159,716.8958, 0.96892850, 0.1366875,-0.97133060, 0.53549446, 0.068794499,-0.691147430,-0.51932767, 0.68614035, 0.58789049,-0.93287521, 0.69672451,-0.61637655,-0.592317078, 0.07255030
2006,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.59,0,41,19.36563,25.38069,2.6887539,0.9939910,522.0197,718.7961, 1.28406763,-1.0576527, 0.90754395,-0.88005305, 0.106791044, 1.417159021,-0.14308097, 1.05616000,-0.62106823, 1.23661354,-0.69700800, 1.22468218,-0.201774647, 0.13517043
2007,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.71,0,41,20.04942,24.08411,1.5566226,0.9815166,586.1192,646.0780, 1.50651878,-0.2430584,-1.66981115, 0.10839708,-1.347190880,-0.588159226,-0.45289200, 1.34373837, 0.16451478,-0.70157035, 0.30722268,-1.40094384,-0.495354995,-1.29512349
2008,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.00,0,41,18.77733,24.31317,2.4178119,1.0155708,444.6324,644.8249, 0.19034946,-1.7584961,-1.21449129,-2.07340780,-1.372247014, 0.937245594, 0.39286921, 0.10294294,-1.39432722, 0.89692086,-1.86483610,-1.00435000, 0.368571858,-1.29742721
2009,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,0.16,0,41,20.48180,24.99438,1.1094515,0.9789766,547.6081,689.0452,-1.36680861, 0.2720380, 0.13963117,-0.48546587,-0.488071380,-1.380223249,-0.51597479,-1.36859456, 0.57840980,-1.34150954,-0.27318252, 0.28059132,-0.520171551,-0.39143474
2010,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,0.33,0,41,21.02540,24.74889,1.9448756,0.9854419,644.8404,714.6274,-1.05166947, 0.9196251,-0.34834751, 1.01390987, 0.023439480, 0.099544317,-0.35540277,-0.95758816, 1.15380683, 0.22324853, 1.22387041,-0.28702360,-0.337563973, 0.14095737
2011,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.40,0,41,18.80818,24.78227,2.2442510,1.0017368,469.8672,729.2700, 0.93185330,-1.7217463,-0.28200693,-1.68427266, 0.316214567, 0.629821096, 0.04929173, 1.13204856,-1.57414749, 0.84446785,-1.48266938,-0.31077436, 0.091101038, 0.45367812
2012,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.80,0,41,19.33318,24.57154,1.6102177,0.9614126,513.5878,691.0843, 1.67335715,-1.0963124,-0.70089459,-1.01007785,-0.447300810,-0.493227400,-0.95218771, 1.98991302,-1.04968943,-0.18168606,-0.82286627,-0.83020847,-0.884472936,-0.29082718
2013,Heermann's gull,Rasa,Heermann's gull_Rasa,Warm Temperate Northeast Pacific,Cortezian,1.23,0,41,19.38097,24.80594,1.8117405,0.9542031,566.1056,699.3010, 0.61671417,-1.0393826,-0.23494753,-0.20022467,-0.283009398,-0.136274708,-1.13124271, 1.05987736,-1.10812831, 0.27811328,-0.03343925,-0.47526297,-1.035687518,-0.10846128
