year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.57,0,29,6.002158,13.86253,11.30264,3.551815,246.4576,436.3927, 0.26014283, 1.36899645,-2.1832579212,-0.407902998,-1.84180193,-2.7999677, 0.81918420,-0.37042032, 1.06098611,-2.23312943,-0.1906826,-1.14198218, 0.54968598,-1.234079453
1994,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.75,0,29,5.313232,14.85086,15.82315,3.502407,236.7040,469.7081, 0.54968346,-0.38399404,-0.0423019848,-1.104864521,-0.12450077, 1.7258331, 0.70162153, 0.03023855,-0.58641561, 2.19293606,-0.9943550, 0.88277243, 0.50405157, 0.377995560
1995,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.14,0,29,5.797095,14.66376,13.49268,3.008294,256.7271,460.3432,-0.43153757, 0.84720858,-0.4475997928, 0.325923981,-0.60722879,-0.6073618,-0.47410296,-0.84609029, 0.74025727,-0.23319567, 0.3408893, 0.36538570,-0.60604071,-0.202882565
1996,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.48,0,29,4.737355,13.74467,14.41198,3.422243,246.1139,440.1924, 0.11537251,-1.84932644,-2.4385693632,-0.432461710,-1.64593686, 0.3130131, 0.51087319,-0.20051406,-1.87092597, 0.60104087,-0.5018739,-1.73356039, 0.43827160,-1.332664695
1997,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.77,0,29,5.238749,14.43949,13.23133,2.870772,256.0285,466.2126, 0.58185464,-0.57351609,-0.9334260061, 0.276004857,-0.30468094,-0.8690143,-0.80133134, 0.35840817,-0.51988233,-0.66032627, 0.1333817,-0.33228113,-0.82089282,-0.075406791
1998,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.50,0,29,5.388891,15.30578,13.57554,2.696185,275.7354,517.0796, 0.14754369,-0.19147782, 0.9431485882, 1.684210231, 2.31734267,-0.5244042,-1.21675444, 0.01031128,-0.07272927,-0.38825731, 1.4795429, 1.44454177,-1.18957187, 2.469694842
1999,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.19,0,29,5.476753,14.73536,13.82500,3.469592,268.3118,490.8740,-0.35110962, 0.03209123,-0.2925061514, 1.153734823, 0.96653149,-0.2746472, 0.62353914,-0.40835403, 0.20583608,-0.20424297, 0.8981899, 0.11324774, 0.69116972, 1.049037731
2000,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.17,0,29,5.568310,14.83306,14.62327,3.668384,254.4223,454.0356,-0.38328080, 0.26505844,-0.0808565263, 0.161229146,-0.93236591, 0.5245501, 1.09655647,-0.36676325, 0.48368111, 0.53601019,-0.1340267, 0.23337049, 1.19833901,-0.912629548
2001,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.93,0,29,5.168810,15.14523,14.98366,3.169603,242.9845,476.6993, 0.83922409,-0.75147877, 0.5953711995,-0.656080320, 0.23587140, 0.8853657,-0.09027506, 0.92327755,-0.49809678, 0.84468012,-0.9798805, 0.82218375, 0.03936339, 0.199913917
2002,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,2.61,0,29,5.759285,15.17605,13.13952,2.406507,275.1844,504.1657, 1.93304426, 0.75099975, 0.6621332921, 1.644831573, 1.65167160,-0.9609362,-1.90603188, 2.07840759, 1.02902256,-1.04696879, 1.3036538, 0.80564378,-1.75483357, 1.567096318
2003,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,2.06,0,29,5.383031,14.86996,15.99350,2.815588,255.4434,486.8695, 1.04833677,-0.20638780,-0.0009301454, 0.234194621, 0.76011447, 1.8963893,-0.93264085, 1.24878392, 0.08615735, 1.77180821,-0.1131942, 0.06339069,-0.76617873, 0.633997440
2004,Japanese cormorant,Teuri,Japanese cormorant_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,1.61,0,29,5.585993,15.26339,14.78198,3.036918,249.2258,496.2244, 0.32448519, 0.31005290, 0.8513384822,-0.210093273, 1.24232634, 0.6834521,-0.40599332, 0.57379011, 0.60700189, 0.52712104,-0.5525264, 0.84058208,-0.23056345, 1.081743593
