year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,pre_breeding_chl,pre_breeding_strat,breeding_temp,breeding_chl,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2004,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.4285714,0,19,25.96257,0.9587375,698.7571,23.88800,1.0256864,544.2603,-0.48352538,-0.01413856,-0.26895344, 0.38018814, 0.33113088,-1.28452670,-0.25721718,-0.73736969, 0.1025744, 0.3275154, 0.05567027,-0.05662781, 0.50791152,-0.02894140
2005,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.5000000,0,19,25.85589,0.9626329,676.6303,23.70822,1.0026300,517.0850, 0.23185466,-0.41371651,-0.69361117,-0.04628776,-0.13443421,-1.23050127,-0.50284357, 0.06510031,-0.0971030,-0.1804106,-0.03097994,-0.42928493,-0.07433469,-0.21544998
2006,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.5714286,0,19,25.97964,0.9635060,691.7461,24.07776,0.9339478,530.0518, 0.94723470, 0.04980722, 0.17924912, 0.24505732, 0.08771185,-1.21839211,-1.23453550, 0.85821470, 0.5201508,-0.6558931, 0.53664299, 0.48441546,-1.09322674, 0.24146798
2007,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.5476190,0,19,25.87769,1.0293832,651.6907,23.94462,1.1346722,512.3571, 0.70877469,-0.33208090,-0.13521442,-0.52697700,-0.21543198,-0.30474839, 0.90384140, 0.68813343, 0.2458223,-0.1554812,-0.02266134, 0.19963153, 0.80736975, 0.12881147
2008,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.4000000,0,19,25.69302,1.0852970,631.7499,24.07477,0.9713460,521.3496,-0.76967740,-1.02379490, 0.17218605,-0.91131938,-0.06137311, 0.47071573,-0.83612141,-0.73129553,-0.3845026, 0.2811110,-0.25782159, 0.52555111,-1.12095376, 0.42907306
2009,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.4339623,0,19,25.67510,1.1285191,628.7300,23.59019,1.2047457,458.8481,-0.42953443,-1.09094337,-0.97240903,-0.96952580,-1.13214470, 1.07015803, 1.65035496,-0.34148505,-0.4364325, 0.6160411,-0.23039372,-0.61168536, 1.22658161,-0.53978040
2010,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.4385965,0,19,25.68957,1.0474176,619.8750,23.60707,1.1628554,455.5829,-0.38312116,-1.03673849,-0.93253056,-1.14019819,-1.18808258,-0.05463098, 1.20408491,-0.25475987,-0.4131795,-0.6989003,-0.37897968,-0.57560879, 0.69079027,-0.53808475
2011,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.5714286,0,19,25.76332,1.1676059,647.0201,24.12636,0.9912648,542.4320, 0.94723470,-0.76049113, 0.29404997,-0.61699935, 0.29980793, 1.61225017,-0.62392042, 1.10655230,-0.2140545, 0.8521884, 0.10275774, 0.63600935,-1.17731665, 0.96315469
2012,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.4918033,0,19,25.64608,1.0911389,602.0658,23.94032,1.0493348,492.0332, 0.14976187,-1.19963144,-0.14538757,-1.48345702,-0.56362008, 0.55173677,-0.00528387, 0.33068016,-0.7764877,-0.2497577,-0.86870921, 0.17044891,-0.54936198, 0.06879103
2013,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.3815789,0,19,25.82637,1.2102978,624.5820,23.79235,1.0934163,437.4608,-0.95417015,-0.52430421,-0.49489104,-1.04947459,-1.49854908, 2.20433921, 0.46433002,-0.76100678,-0.2706238, 1.4357718,-0.60328390,-0.21633795,-0.02101027,-0.94135823
2014,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.4179104,0,19,26.43119,1.0362028,721.4058,23.74244,1.1905545,494.9266,-0.59029852, 1.74120393,-0.61278179, 0.81672333,-0.51405037,-0.21016811, 1.49917163,-0.39424568, 1.7792504,-0.8714485, 1.03080904,-0.38267260, 1.12198887,-0.07636437
2015,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.5567010,0,19,26.25792,1.0250268,759.1750,23.73885,1.0788585,501.3247, 0.79973366, 1.09216221,-0.62126044, 1.54469471,-0.40443856,-0.36516586, 0.30924170, 0.98932036, 0.8684044,-0.8447995, 1.46312759,-0.45075565, 0.08963617,-0.13054200
2016,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.3230000,0,19,26.18281,1.0368856,715.6566,24.07679,1.1060313,561.6342,-1.54085708, 0.81084489, 0.17697258, 0.70591242, 0.62877934,-0.20069827, 0.59872122,-1.36709214, 0.2791122,-0.4243253, 0.26514462, 0.27671247, 0.58611262, 0.69460187
2017,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.4117647,0,19,26.05614,1.0674861,689.3371,24.39724,0.8680686,567.4225,-0.65185010, 0.33633597, 0.93389721, 0.19862575, 0.72794309, 0.22369779,-1.93636605,-0.50326251,-0.5495421, 0.3304372,-0.66489059, 0.95171169,-1.69255800, 0.54140699
2018,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.5660377,0,19,26.06542,0.9933935,741.3558,23.89925,1.0772269,523.0809, 0.89324376, 0.37113257,-0.24239581, 1.20124443,-0.03171329,-0.80388572, 0.29185966, 1.00729837,-0.9150613,-0.2924201,-0.14856831,-0.31766723, 0.84150406,-0.51489261
2019,Laysan albatross,Kaena,Laysan albatross_Kaena,Hawaii,Hawaii,0.4743590,0,19,26.49877,1.0181759,764.7316,23.99157,0.9514543,568.2555,-0.02494843, 1.99435271,-0.02432238, 1.65179299, 0.74221380,-0.46018029,-1.04803322, 0.04521761, 0.2616725, 0.5303714,-0.24786399,-0.20384019,-0.14313277,-0.08189334
