year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,pre_breeding_chl,pre_breeding_strat,breeding_temp,breeding_chl,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2006,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.7000000,0,16,25.97964,0.9635060,691.7461,24.07776,0.9339478,530.0518, 1.10919614, 0.01802836, 0.10977690, 0.2516397, 0.09469951,-1.49397046,-1.2158615, 0.32742428, 0.5070051,-0.53984573, 0.525966652, 0.1548571,-0.688179033, 0.07457417
2007,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.6691176,0,16,25.87769,1.0293832,651.6907,23.94462,1.1346722,512.3571, 0.90756505,-0.33969618,-0.19020041,-0.4708191,-0.19002731,-0.51763238, 0.8071369, 0.09396015, 0.2422631,-0.06080448,-0.005656433,-0.0213217, 0.994939750, 0.01607797
2008,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.6209150,0,16,25.69302,1.0852970,631.7499,24.07477,0.9713460,521.3496, 0.59284985,-0.98764271, 0.10303920,-0.8304812,-0.04532804, 0.31104420,-0.8389443,-0.22328117,-0.3547533, 0.35820238,-0.232742872, 0.3717421,-0.927718786, 0.33880883
2009,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.5652174,0,16,25.67510,1.1285191,628.7300,23.59019,1.2047457,458.8481, 0.22919957,-1.05054243,-0.98882840,-0.8849499,-1.05104666, 0.95162032, 1.5133715,-0.56015064,-0.4087754, 0.67673587,-0.212895855,-0.6442756, 1.211321893,-0.53707721
2010,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.6688312,0,16,25.68957,1.0474176,619.8750,23.60707,1.1628554,455.5829, 0.90569463,-0.99976730,-0.95078700,-1.0446627,-1.10358613,-0.25035188, 1.0911805, 0.17243215,-0.3911750,-0.75965185,-0.356552853,-0.5543586, 0.639158001,-0.50798313
2011,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.6687117,0,16,25.76332,1.1676059,647.0201,24.12636,0.9912648,542.4320, 0.90491433,-0.74099921, 0.21928928,-0.5550607, 0.29391004, 1.53091089,-0.6381928, 0.25704652,-0.2076341, 0.87482250, 0.090845031, 0.6436190,-1.176885855, 0.92294757
2012,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.5859873,0,16,25.64608,1.0911389,602.0658,23.94032,1.0493348,492.0332, 0.36480619,-1.15235337,-0.19990492,-1.3658795,-0.51706182, 0.39762491,-0.0529355,-0.16836004,-0.7362679,-0.31762479,-0.820437844, 0.2283518,-0.614996853, 0.09721123
2013,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.4320988,0,16,25.82637,1.2102978,624.5820,23.79235,1.0934163,437.4608,-0.63993285,-0.51975676,-0.53330799,-0.9597649,-1.39519076, 2.16362917, 0.3913399,-1.02909057,-0.2630033, 1.47684525,-0.573047303,-0.1250986,-0.130787570,-0.84388121
2014,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.7083333,0,16,26.43119,1.0362028,721.4058,23.74244,1.1905545,494.9266, 1.16360453, 1.60240372,-0.64576792, 0.7865966,-0.47050364,-0.41656199, 1.3703454, 0.94776224, 1.6577727,-0.98725303, 0.956330171,-0.2815801, 0.951454205,-0.03035662
2015,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.5948276,0,16,26.25792,1.0250268,759.1750,23.73885,1.0788585,501.3247, 0.42252473, 0.99442943,-0.65385599, 1.4678219,-0.36755112,-0.58219571, 0.2446195, 0.40930480, 0.8063615,-0.94916675, 1.362311483,-0.3576640,-0.007733286,-0.08676564
2016,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.4676617,0,16,26.18281,1.0368856,715.6566,24.07679,1.1060313,561.6342,-0.40774226, 0.73091217, 0.10760523, 0.6829013, 0.60289533,-0.40644232, 0.5184798,-0.18903291, 0.2573548,-0.48206628, 0.243887043, 0.3118271, 0.495967750, 0.67612024
2017,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.4485597,0,16,26.05614,1.0674861,689.3371,24.39724,0.8680686,567.4225,-0.53245949, 0.28642731, 0.82966100, 0.2081897, 0.69603455, 0.04707586,-1.8798240,-0.05251393,-0.5146718, 0.35042609,-0.622588464, 0.9179384,-1.609193104, 0.51349987
2018,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.5215311,0,16,26.06542,0.9933935,741.3558,23.89925,1.0772269,523.0809,-0.05602852, 0.31902218,-0.29244433, 1.1464260,-0.01747015,-1.05102059, 0.2281753, 0.71446017,-0.8516712,-0.28106906,-0.134375969,-0.3440857, 0.855251439,-0.50396344
2019,Laysan albatross,Midway,Laysan albatross_Midway,Hawaii,Hawaii,0.2559055,0,16,26.49877,1.0181759,764.7316,23.99157,0.9514543,568.2555,-1.79029980, 1.83953477,-0.08441678, 1.5680429, 0.70943827,-0.68373004,-1.0394221,-0.69996105, 0.2571948, 0.64044988,-0.221042786,-0.2999511, 0.007401448,-0.12921264
