year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,pre_breeding_chl,pre_breeding_strat,breeding_temp,breeding_chl,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.700,0,30,25.11207,1.0187615,661.8446,23.19173,0.8837155,490.0799, 0.41399044,-2.535605273,-1.82980434,-0.1307404,-0.755611508, 0.007552876,-1.3543035734,-0.20002176,-1.034858506, 0.67907804,-0.97128141,-0.29281963,-0.2879243,-1.00511425
1994,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.800,0,30,25.60985,0.9268477,730.8924,23.35064,0.8930523,513.2499, 0.97980882,-0.269831266,-1.26799783, 1.7046455, 0.020542255,-1.763708547,-1.2480301751, 0.59869307, 0.922906934,-1.25739352, 1.01888772,-0.05962662,-0.3531712,-0.23581474
1995,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.770,0,30,25.75770,0.9661149,719.3642,23.57087,0.9967853,558.0260, 0.81006331, 0.403156177,-0.48937977, 1.3982102, 1.520459293,-1.006993096,-0.0673124316, 0.63628291, 1.311968856,-0.64963432, 0.85729248, 0.41767603, 0.6636709, 1.26485646
1996,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.640,0,30,25.35996,0.9953028,699.3424,23.89720,0.9480142,576.2052, 0.07449942,-1.407252655, 0.66432674, 0.8660016, 2.129428208,-0.444516599,-0.6224378194, 0.08249328,-0.758282455,-0.21986016, 0.45998080, 1.29736522,-0.0476856, 1.88218796
1997,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.740,0,30,25.66808,1.0406777,701.3071,23.28921,0.9870457,525.8972, 0.64031779,-0.004768793,-1.48518207, 0.9182254, 0.444204006, 0.429897110,-0.1781711929, 0.80452483, 0.408441973, 0.53810510, 0.63715842,-1.09886284, 0.2479945, 0.21293477
1998,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.330,0,30,25.66558,1.0530792,643.8171,23.32997,1.0303665,478.8236,-1.67953754,-0.016183579,-1.34106924,-0.6099367,-1.132674990, 0.668886606, 0.3149187941,-1.38467844, 0.185350798, 0.67690005,-0.77599293,-1.17417118, 0.6001425,-1.34036481
1999,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.090,0,30,25.39888,1.0679007,595.7324,23.86227,0.9292305,507.0328,-3.03750165,-1.230116504, 0.54080548,-1.8880928,-0.187720971, 0.954508418,-0.8362395622,-2.63755155,-1.216175473, 0.87858122,-1.94908147, 0.51558045,-0.6843133,-0.36422294
2000,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.530,0,30,25.62226,1.0340581,647.9994,23.89067,0.9224995,498.1123,-0.54790079,-0.213365041, 0.64121905,-0.4987654,-0.486538510, 0.302332432,-0.9128533020,-0.06842081,-0.362934312, 0.15871849,-0.46462956, 0.45116901,-0.8865798,-0.62424422
2001,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.540,0,30,25.72569,1.0391579,636.9544,23.99113,0.9936259,514.0878,-0.49131896, 0.257463502, 0.99639111,-0.7923573, 0.048608997, 0.400610083,-0.1032735119, 0.04212982,-0.031533027, 0.20556329,-0.67304005, 0.66881414,-0.1950083,-0.04269203
2002,Laysan albatross,Tern,Laysan albatross_Tern,Hawaii,Hawaii,0.660,0,30,25.61791,1.1239064,638.5600,23.74361,1.1733030,481.6025, 0.18766309,-0.233165439, 0.12129878,-0.7496759,-1.039586233, 2.033789506, 1.9418617269, 0.74951957,-0.637506182, 1.80356376,-0.55512034,-0.31650703, 1.7397632,-1.07687416
