year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8269231,0,22,3.532203,8.408061, 9.781056,3.952211,490.2084,599.4321,-0.4910736,-0.3582600,-0.45924668, 1.2857947, 0.25780452,-1.1389702, 0.02613170,-0.32398920, 0.15615012,-1.65684613, 0.50140294, 0.205157314,-0.47410297,-0.02654321
1999,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.7868852,0,22,3.208892,7.646895,12.745140,4.114702,460.6419,582.5185,-1.1995738,-1.1782252,-1.81165861, 0.1010148,-0.34973214, 1.8868168, 0.57264888,-0.97399881,-0.60378722, 1.41509138,-0.33964080,-1.172484105, 0.09126847,-0.40704671
2000,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.7586207,0,22,3.111482,8.317062,11.733089,4.245413,473.5040,592.5979,-1.6997369,-1.4252706,-0.62093052, 0.6164219, 0.01231862, 0.8536976, 1.01227443,-1.42818567,-0.80983410, 0.42951641, 0.47597444,-0.014436809, 0.55538195, 0.14918691
2001,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.9230769,0,22,3.353321,8.227756,11.344112,4.347917,444.0655,586.5762, 1.2104426,-0.8119329,-0.77960692,-0.5632294,-0.20398208, 0.4566238, 1.35703153, 1.51545557,-0.17452723, 0.08138066,-0.44699688,-0.213245284, 0.93026065, 0.09421876
2004,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8947368,0,22,3.796661,8.850442,11.850057,3.948125,423.6984,584.0571, 0.7089431, 0.3124432, 0.32675866,-1.3793754,-0.29446801, 0.9731012, 0.01239058, 1.03490347, 0.95278851, 0.64818992,-1.04999091, 0.845536914,-0.37862503, 0.13221508
2005,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8676471,0,22,4.010238,8.882307,10.584323,4.098911,473.6917,597.7245, 0.2295685, 0.8541052, 0.38337439, 0.6239424, 0.19646638,-0.3189824, 0.51953791, 0.56396196, 1.47836084,-0.59216799, 1.12295066, 0.847117970, 0.16991123, 0.71878141
2006,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8985507,0,22,3.591107,8.792039,11.725459,3.760783,446.7421,594.1246, 0.7764326,-0.2088715, 0.22298934,-0.4559747, 0.06715846, 0.8459085,-0.61770885, 1.10674472, 0.38026517, 0.62584234, 0.16912919, 0.624246953,-0.92031292, 0.65225514
2007,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8906250,0,22,3.486184,8.730967, 9.651678,3.756755,431.2627,572.5732, 0.6361809,-0.4749717, 0.11447999,-1.0762621,-0.70697143,-1.2710418,-0.63125599, 0.94989718, 0.06001651,-1.43659467,-0.36859068, 0.445800346,-0.88120377,-0.09194342
2008,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8571429,0,22,3.311293,8.911863,11.079422,3.524531,432.0619,559.8321, 0.0436886,-0.9185204, 0.43588873,-1.0442355,-1.16462920, 0.1864231,-1.41230611, 0.32829479,-0.45670999, 0.07677723,-0.29752462, 0.689820530,-1.60396395,-0.55252014
2009,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.7474747,0,22,3.497748,8.055825,11.024960,4.313300,444.7810,559.8248,-1.8969729,-0.4456436,-1.08508646,-0.5345612,-1.16489160, 0.1308277, 1.24060316,-1.65399122,-0.07604042, 0.07848271, 0.20766101,-0.915994515, 1.11286895,-0.58855182
2010,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8125000,0,22,3.267454,8.053094,11.533866,4.357769,428.4347,564.8289,-0.7463011,-1.0297020,-1.08993888,-1.1895847,-0.98514492, 0.6503280, 1.39016855,-0.55745832,-0.77133542, 0.65667764,-0.49537928,-1.013138083, 1.33199163,-0.47742471
2011,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8771930,0,22,3.852823,8.403091,10.479784,4.187065,451.3354,589.1055, 0.3984910, 0.4548784,-0.46807813,-0.2719128,-0.11312781,-0.4256972, 0.81603102, 0.52068042, 0.58297903,-0.35925914, 0.33074773,-0.491019774, 0.83304506, 0.29312254
2012,Leach's storm-petrel,Aiktak,Leach's storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.7974684,0,22,3.026571,7.746244,12.433108,4.217629,412.4957,529.3995,-1.0122976,-1.6406167,-1.63513933,-1.8282884,-2.25777149, 1.5682887, 0.91882668,-0.96927584,-1.66181150, 1.69620907,-1.36070089,-1.765274713, 1.01666535,-1.98584132
