year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6031746,0,35,3.688806,8.554579, 7.972107,3.670864,501.1323,614.4185,-1.09830849,-0.05868753,-0.22269288, 1.2929836, 0.62928740,-2.24810366,-0.89855302,-1.09992894,-0.60153052,-1.17407098,-0.59492116, 0.004855013,-1.08717705,-0.70155584
1994,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7868852,0,35,3.681065,8.187236, 9.535872,4.227298,496.6567,633.9002, 0.14867447,-0.07899411,-0.93602257, 1.1320690, 1.28421381,-0.94707872, 0.78826839, 0.12985822,-0.42192561,-0.09766680,-0.37016745,-0.652951511, 0.55489454, 0.26737771
1995,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7812500,0,35,3.532203,8.408061, 9.781056,3.952211,490.2084,599.4321, 0.11042379,-0.46950388,-0.50720917, 0.9002268, 0.12548245,-0.74308954,-0.04565371, 0.07421001,-0.63208438,-0.10096110,-0.24567087,-0.177830826,-0.31629742,-0.60328897
1996,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7820513,0,35,4.282414,9.005485, 9.198836,4.021710,511.3745,649.7981, 0.11586270, 1.49852709, 0.65290537, 1.6612342, 1.81866118,-1.22748614, 0.16503131, 0.06204963, 1.49673707,-0.77530392, 0.84234588, 1.019375125,-0.13540227, 1.35201199
1997,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8701299,0,35,4.180940,8.993054,10.267906,3.793287,505.4740,614.8366, 0.71371864, 1.23232885, 0.62876645, 1.4490855, 0.64334076,-0.33803897,-0.52742865, 0.64210455, 1.37176880,-0.05846570, 0.92787696, 1.023111745,-0.85017216, 0.41287132
1998,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8918919,0,35,3.654102,8.372970,12.928103,4.890549,472.8158,584.8746, 0.86143392,-0.14972627,-0.57535103, 0.2748924,-0.36390478, 1.87519758, 2.79890394, 0.77181708, 0.11138315, 1.99949916, 0.02203428,-0.162346077, 2.46133049,-0.38413691
1999,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8030303,0,35,3.208892,7.646895,12.745140,4.114702,460.6419,582.5185, 0.25826317,-1.31764867,-1.98529134,-0.1628062,-0.44310939, 1.72297563, 0.44693708, 0.15044182,-0.95443029, 1.70934280,-0.17664351,-1.562842595, 0.10201364,-0.27904669
2000,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8387097,0,35,3.111482,8.317062,11.733089,4.245413,473.5040,592.5979, 0.50044605,-1.57318421,-0.68391717, 0.2996381,-0.10426711, 0.88096683, 0.84318354, 0.37421845,-1.12741738, 0.74673685, 0.49549220,-0.261240506, 0.49839009, 0.21814798
2001,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6666667,0,35,3.353321,8.227756,11.344112,4.347917,444.0655,586.5762,-0.66733988,-0.93876800,-0.85733826,-0.7587933,-0.30670232, 0.55734528, 1.15392248,-0.81217546,-0.43001322, 0.31985542,-0.38257732,-0.443649551, 0.81673899, 0.14812268
2002,Leach's storm-petrel,Buldir,Leach's storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6746988,0,35,3.450323,8.424420,10.415453,3.792613,450.0140,553.8522,-0.61281975,-0.68430017,-0.47544255,-0.5449234,-1.40680021,-0.21528311,-0.52947282,-0.77646505,-0.13211796,-0.53869559,-0.01767505,-0.079957674,-0.85156639,-0.84550775
