year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2003,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.927,0,11,1.3375046,8.531003, 9.919339,3.081311,283.4582,470.4740, 0.9440790,-0.2591048, 0.4263074,-0.6540651, 0.72057923,-0.002843647,-0.79644862, 1.0575592,-0.7891704, 0.2304102,-0.5279745, 0.09521059,-0.3488636, 0.34042636
2006,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.867,0,11,2.8566517,8.813184, 9.312881,2.911003,329.7255,478.2233,-0.3146930, 2.3565533, 0.8042284, 1.6839297, 0.99313354,-0.622426458,-1.17467413,-0.3029318, 1.8495423,-0.6765378, 1.6437479, 0.49738317,-0.9724603, 0.65265730
2007,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.847,0,11,1.3448988,7.430342,11.602107,4.427866,281.9083,413.1794,-0.7342837,-0.2463733,-1.0477908,-0.7323843,-1.29455688, 1.716341436, 2.19401627,-0.7999242,-0.6948031, 1.4631891,-0.8869939,-1.31188743, 2.2055743,-1.57855581
2008,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.810,0,11,1.5370051,9.182429, 9.327052,3.306966,277.9015,466.4853,-1.5105264, 0.0843941, 1.2987535,-0.9348547, 0.58029175,-0.607949339,-0.29530953,-1.6292515,-0.2699278,-0.9718186,-1.1520476, 1.09590257,-0.4196918, 0.36957079
2009,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.908,0,11,1.1002423,7.315662, 9.816541,3.898880,303.7645,415.3775, 0.5454679,-0.6676215,-1.2013803, 0.3720621,-1.21724537,-0.107866893, 1.01923117, 0.3979754,-0.8923088,-0.4941289, 0.1441307,-1.32448851, 0.8136240,-1.33788769
2012,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.909,0,11,1.7417544,9.318588, 9.317164,3.072975,326.5080,498.3623, 0.5664474, 0.4369302, 1.4811089, 1.5213383, 1.70145136,-0.618050508,-0.81496308, 0.4145047, 0.3774041,-0.9383813, 1.3345129, 1.45624050,-1.0470796, 1.68768835
2013,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.957,0,11,1.8746195,7.557331,11.541029,3.256618,302.3811,446.9918, 1.5734650, 0.6656964,-0.8777167, 0.3021559,-0.10532420, 1.653941299,-0.40712363, 1.4413893, 0.8068583, 1.4878659, 0.2082811,-0.78584817,-0.6110341, 0.00459276
2014,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.927,0,11,0.9788949,8.507381,10.440967,3.379881,271.9733,451.8324, 0.9440790,-0.8765566, 0.3946713,-1.2344225, 0.06492774, 0.530073094,-0.13337819, 0.8561875,-0.4991802, 0.6065772,-1.1835021, 0.62177382,-0.2543672, 0.31532534
2016,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.816,0,11,1.2963171,7.691878, 9.009090,3.639851,299.5467,433.8923,-1.3846492,-0.3300211,-0.6975203, 0.1589255,-0.56605249,-0.932792050, 0.44397201,-1.4040394, 0.3190966,-0.5253843, 0.4064858,-0.31668673, 0.4606200,-0.15837358
2017,Leach's storm-petrel,Gull,Leach's storm-petrel_Gull,Arctic,Northern Grand Banks - Southern Labrador,0.877,0,11,0.8120108,7.779132, 8.935057,3.424033,286.8497,425.0456,-0.1048977,-1.1638966,-0.5806615,-0.4826850,-0.87720468,-1.008426934,-0.03532228,-0.0314693,-0.2075110,-0.1817915, 0.0133597,-0.02759982, 0.1736782,-0.29544381
