year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.5795455,0,25,7.915730,13.03882,6.365473,2.471725,448.0902,609.9978,-1.55927324, 0.41050586, 0.08403813,-0.03956644,-0.3232191,-1.067746832,-1.87128996,-1.14619252,-0.28708872,-0.42773384,-0.212443890,-0.1778097,-0.54575662,-0.65849126
1996,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7358491,0,25,7.702041,12.67004,5.813007,2.810276,463.0004,631.6231, 0.30793880, 0.12757563,-0.38297163, 0.54312065, 0.4250871,-1.695717252,-1.29001510, 0.63266869,-0.34966791,-1.23217935, 0.499934688,-0.4945565,-0.27649992, 0.23322520
1997,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7600000,0,25,7.786227,13.99146,6.808420,2.454305,475.0793,654.7351, 0.59644740, 0.23904004, 1.29044545, 1.01516254, 1.2248370,-0.564262012,-1.90119999, 0.83962154,-0.03962846,-0.26072351, 1.086032792, 1.3117380,-1.17287282, 1.16080493
1998,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6218487,0,25,8.691814,13.03550,6.897675,3.795213,440.0561,640.9423,-1.05391571, 1.43806048, 0.07983551,-0.35353857, 0.7475603,-0.462809134, 0.40106945,-0.88550221, 1.33619104,-0.30279433,-0.184247364, 0.2166201, 0.87103874, 0.79577768
1999,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6595745,0,25,7.117924,11.57581,9.417112,4.246693,421.7463,582.2758,-0.60324193,-0.64580839,-1.76869725,-1.06908576,-1.2824907, 2.400956708, 1.17623637,-0.50279398,-0.59265478, 2.43392351,-0.817008881,-1.5338062, 1.41467794,-1.13760421
2000,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6627907,0,25,7.220901,12.54748,7.108944,3.706334,406.5521,593.7646,-0.56482066,-0.50946545,-0.53818807,-1.66287191,-0.8849421,-0.222665787, 0.24846885,-0.52554316,-0.32306479,-0.30027128,-1.343644631,-0.2225760, 0.28221284,-0.65896693
2001,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7659574,0,25,7.036175,12.10459,7.745115,3.986778,424.3662,576.1558, 0.66761541,-0.75404696,-1.09905613,-0.96669878,-1.4942653, 0.500448987, 0.72997642, 0.65251755,-0.45617524, 0.32874689,-0.595956383,-0.7201085, 0.58585297,-1.20278183
2002,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.8222222,0,25,6.649832,12.48276,9.107033,4.169284,420.8780,590.1362, 1.33975773,-1.26557476,-0.62014263,-1.10301659,-1.0104943, 2.048499643, 1.04332954, 1.27707961,-0.87800798, 1.79917665,-0.696394339,-0.1952450, 0.74816880,-0.66908291
2003,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7386364,0,25,7.999471,13.13369,7.454864,3.600503,450.2892,624.5683, 0.34123614, 0.52138083, 0.20418725, 0.04636852, 0.1809671, 0.170530631, 0.06676289, 0.23777285, 0.97686668,-0.13993757, 0.473235351, 0.6576495,-0.35260500, 0.55672608
2004,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7608696,0,25,8.110070,14.01637,7.267984,3.498985,475.3551,649.0206, 0.60683527, 0.66781693, 1.32199991, 1.02594218, 1.0270978,-0.041890763,-0.10753857, 0.46938192, 1.16944585,-0.39702847, 1.457418319, 1.7866412,-0.62428346, 1.42162396
2005,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7256637,0,25,8.340789,13.83725,6.973700,3.259259,472.6391,653.7074, 0.18626413, 0.97329381, 1.09516587, 0.91980061, 1.1892744,-0.376394178,-0.51913517, 0.02161581, 1.49928979,-0.75972569, 1.340250781, 1.5536007,-1.10642693, 1.58698739
2006,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7058824,0,25,7.472573,12.92474,7.182506,3.951310,454.3029,614.7788,-0.05004521,-0.17624454,-0.06042483, 0.20322167,-0.1577797,-0.139050739, 0.66907884,-0.23509341, 0.35234252,-0.53410036, 0.597010604, 0.3744181, 0.03807037, 0.22753969
2007,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.8217054,0,25,6.949483,12.79091,8.039461,3.736658,420.7304,623.0859, 1.33358406,-0.86882912,-0.22990237,-1.10878761, 0.1296722, 0.835023356, 0.30053390, 1.13493108,-0.35942699, 0.44473133,-0.757295186, 0.1639631,-0.34736115, 0.48701762
2008,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6960784,0,25,6.366555,11.49685,7.977526,3.805518,452.6558,583.7178,-0.16716343,-1.64064042,-1.86869034, 0.13885388,-1.2325926, 0.764623783, 0.41876285,-0.37262609,-1.17219921, 0.39556505, 0.432414521,-1.5331878,-0.21918863,-0.91880155
2009,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.8269231,0,25,6.462039,12.46770,7.319520,4.167863,431.4776,595.3072, 1.39591442,-1.51421728,-0.63921470,-0.68878640,-0.8315621, 0.016689282, 1.04088909, 1.19043717,-1.10851298,-0.31466046,-0.468792827,-0.3794605, 0.43971133,-0.57690574
2010,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6741573,0,25,7.761472,12.22165,7.303624,5.021320,435.6257,600.8444,-0.42903452, 0.20626374,-0.95081206,-0.52668092,-0.6399585,-0.001379318, 2.50623068,-0.62773126, 0.52745512,-0.27854437,-0.395889671,-0.7841918, 1.96865677,-0.46001728
2011,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.5131579,0,25,7.069461,12.36110,7.926933,3.366926,438.3540,606.7016,-2.35234295,-0.70997500,-0.77420701,-0.42005669,-0.4372777, 0.707116889,-0.33427672,-2.53746408,-0.49507253, 0.50061222,-0.394103051,-0.7181061,-0.78141663,-0.34763197
2012,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.5882353,0,25,6.788733,12.05439,7.426689,3.535045,426.1392,584.8904,-1.45546391,-1.08166596,-1.16262851,-0.89741190,-1.1920174, 0.138504219,-0.04562486,-1.62021434,-0.99482840, 0.01913563,-0.991931144,-1.2344325,-0.37550062,-1.20824747
2013,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.8235294,0,25,7.265914,13.57380,7.166738,2.954798,456.5109,608.7141, 1.35537349,-0.44986677, 0.76152689, 0.28951160,-0.3676383,-0.156974001,-1.04187827, 1.21778886,-0.51287012,-0.17273080, 0.058884202, 0.5444326,-1.22765974,-0.50532464
2014,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7603306,0,25,7.646697,13.85286,6.047863,3.391571,435.6290,640.3272, 0.60039651, 0.05429902, 1.11492864,-0.52655112, 0.7262770,-1.428764331,-0.29196255, 0.49677277,-0.18032123,-1.32443365,-0.908921944, 0.7351585,-0.30681959, 0.45155403
2015,Leach's storm-petrel,St. Lazaria,Leach's storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6575342,0,25,9.114842,13.90728,5.885660,3.302270,523.0343,693.3669,-0.62761454, 1.99815903, 1.18385022, 2.88923888, 2.5616259,-1.613135232,-0.44528813,-0.69048229, 1.57014588,-1.37224137, 2.339489363, 0.6240187,-0.26239059, 2.13428591
