year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1997,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.400000,0,25,4.180940,7.682434,10.267906,3.959584,505.4740,572.0685,-1.1917227, 1.2367724, 0.87760831, 1.89662079, 1.108753713,-0.65298179,-0.479420632,-0.28515057, 1.09145398,-1.441413067, 0.68565566, 1.0556904,-1.177478643, 0.52436645
1998,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.545455,0,25,3.654102,7.003548,12.928103,5.133992,472.8158,537.3007,-0.2920345,-0.1252888,-0.47550825, 0.57693103,-0.178933146, 1.94815670, 2.394087715, 0.55541194,-0.10137170, 1.262239547,-0.26480530,-0.2379653, 1.817644113,-0.51535891
1999,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.300000,0,25,3.208892,6.360720,12.745140,4.397380,460.6419,537.2931,-1.8102583,-1.2763151,-1.75675758, 0.08499622,-0.179211025, 1.76925564, 0.591766679,-1.02416576,-1.10545173, 1.181447113,-0.42453146,-1.4705608, 0.128629687,-0.29550891
2000,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.551724,0,25,3.111482,6.708110,11.733089,4.526046,473.5040,546.5398,-0.2532548,-1.5281538,-1.06435987, 0.60474302, 0.163253054, 0.77967253, 0.906582991, 0.46925577,-1.23263347, 0.285567118, 0.39040383,-0.7403165, 0.548444811, 0.23924942
2001,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.514286,0,25,3.353321,6.934089,11.344112,4.260073,444.0655,540.2306,-0.4848248,-0.9029156,-0.61394990,-0.58484083,-0.070418701, 0.39933160, 0.255808225, 0.17187563,-0.50502748,-0.005476216,-0.54101167,-0.2628671,-0.005638942, 0.17003829
2002,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.742857,0,25,3.450323,7.200885,10.415453,3.764972,450.0140,517.9924, 0.9289710,-0.6521291,-0.08218733,-0.34446987,-0.894048401,-0.50871117,-0.955592512, 1.51763309,-0.17416248,-0.828626888,-0.07949252, 0.2851277,-1.128656465,-0.51696441
2003,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.250000,0,25,3.936491,7.310664, 9.755011,4.324627,445.8694,530.4479,-2.1195261, 0.6047847, 0.13661726,-0.51194875,-0.432737219,-1.15449031, 0.413757135,-1.60113045, 1.14054061,-1.393919436,-0.06284336, 0.5093574, 0.320768599, 0.05314014
2004,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.354839,0,25,3.796661,7.369355,11.850057,4.151689,423.6984,528.6025,-1.4710613, 0.2432765, 0.25359629,-1.40785861,-0.501083367, 0.89404442,-0.009384466,-1.02516026, 0.81453238, 0.730696368,-0.81164532, 0.6209543,-0.030605384, 0.06575373
2005,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.454545,0,25,4.010238,7.437267,10.584323,4.014177,473.6917,534.0975,-0.8543396, 0.7954482, 0.38895497, 0.61232689,-0.297567175,-0.34359017,-0.345844867,-0.48316125, 1.37991490,-0.435262644, 1.31862792, 0.7401237,-0.303605966, 0.32239604
2006,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.818182,0,25,3.591107,7.429326,11.725459,3.668275,446.7421,552.6269, 1.3948809,-0.2881531, 0.37312813,-0.47668302, 0.388700715, 0.77221169,-1.192188141, 1.68910838, 0.28723507, 0.747809276, 0.30268560, 0.6973004,-1.094797220, 1.03395642
2007,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.627451,0,25,3.486184,7.496841, 9.651678,3.627410,431.2627,521.1143, 0.2151427,-0.5594164, 0.50769499,-1.10219320,-0.778423988,-1.25552933,-1.292174362, 0.43019113,-0.01539598,-1.217067192,-0.28677715, 0.7940636,-1.147939218,-0.13570943
2008,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.761905,0,25,3.311293,7.251758,11.079422,3.857964,432.0619,512.0620, 1.0467873,-1.0115712, 0.01920863,-1.06989692,-1.113688237, 0.14051729,-0.728061073, 1.18042850,-0.52120773, 0.237438474,-0.25545358, 0.2569665,-0.545289506,-0.50134844
2009,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.622642,0,25,3.497748,7.005364,11.024960,4.265546,444.7810,526.5899, 0.1853944,-0.5295193,-0.47188875,-0.55593122,-0.575623694, 0.08726474, 0.269198330, 0.23540030,-0.11510204, 0.238239462, 0.22051925,-0.2935489, 0.482198523,-0.02149229
2010,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.526316,0,25,3.267454,6.567484,11.533866,4.656671,428.4347,514.7834,-0.4104145,-1.1249101,-1.34464672,-1.21646996,-1.012898998, 0.58487304, 1.226192243,-0.44627210,-0.80872830, 0.785495790,-0.51503251,-1.2365320, 1.461113261,-0.54480962
2011,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.419355,0,25,3.852823,6.885520,10.479784,4.680352,451.3354,542.3465,-1.0720061, 0.3884754,-0.71075632,-0.29107136, 0.007947195,-0.44580800, 1.284134208,-1.19595534, 0.58413242,-0.199942723, 0.29833292,-0.6836739, 1.532668255, 0.36216093
2012,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.589041,0,25,3.026571,6.296367,12.433108,4.083912,412.4957,475.3216,-0.0224361,-1.7476783,-1.88502177,-1.86055150,-2.474434103, 1.46415050,-0.175217556,-0.23670515,-1.69483520, 1.750852780,-1.42020054,-1.9497789, 0.078621721,-2.26192964
2013,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.529412,0,25,3.573360,7.254399,10.299480,4.081045,452.6767,531.9002,-0.3912648,-0.3340349, 0.02447186,-0.23687254,-0.378949605,-0.62210940,-0.182232152,-0.69808176,-0.44629511,-0.298975611, 0.01740495,-0.1429319, 0.068604556,-0.33598805
2014,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.747368,0,25,4.051020,8.194221, 8.974780,3.539156,476.2087,577.7545, 0.9568748, 0.9008843, 1.89767257, 0.71403686, 1.319346318,-1.91739951,-1.508111802, 0.55528176, 0.60123170,-1.562239724, 0.74522072, 1.6168149,-1.268585461, 1.16493135
2015,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.627660,0,25,4.122117,7.363371, 9.957392,4.337495,495.9112,588.3845, 0.2164330, 1.0846940, 0.24166987, 1.51019701, 1.713044890,-0.95660285, 0.445241756,-0.28216436, 0.57535959,-0.573822577, 1.28126709,-0.1634488, 0.665149931, 1.33341976
2016,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.683673,0,25,4.097744,8.165827,10.631121,3.913228,484.0710,586.9182, 0.5628989, 1.0216804, 1.84107931, 1.03174565, 1.658737227,-0.29783073,-0.592844297,-0.03493084, 0.28037505, 0.108164516, 0.50568180, 1.3008924,-0.400862086, 1.02606832
2017,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.740000,0,25,4.152354,7.492007,10.779388,4.063629,480.2641,570.5388, 0.9112985, 1.1628685, 0.49805894, 0.87791330, 1.052098489,-0.15285549,-0.224845919, 0.21200829, 0.16730291, 0.271949226, 0.01769537,-0.1880033,-0.069097472, 0.13855217
2018,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.730000,0,25,4.159987,7.148395,11.474097,4.698802,468.0167,555.8861, 0.8494450, 1.1826019,-0.18680899, 0.38300624, 0.509410122, 0.52643096, 1.329277135, 0.04646604,-0.08951310, 0.965639641,-0.84838592,-1.0295538, 1.440484021,-0.71284723
2019,ancient murrelet,Aiktak,ancient murrelet_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.780000,0,25,4.266741,8.010818, 9.853692,3.571028,492.3495,568.2337, 1.1587128, 1.4585995, 1.53212435, 1.36627078, 0.966725938,-1.05800036,-1.430128640, 0.24981702,-0.11235431,-0.608793233,-0.27331576, 0.5218898,-1.371771114,-0.59207608
