year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8197,0,24,-0.637907132,6.955285,6.134773,7.455234,153.3411,243.3155,-0.5608107,-0.57021053,-1.544348570,-1.83473446,-2.72502349,-1.08753029, 2.16249298,-0.79147675, 0.6383759491, 0.115321135,-2.12650914, 0.10358020, 1.53747311,-2.78975498
1999,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8889,0,24,-0.929437014,7.080465,5.574315,5.696090,178.8316,286.1454, 0.4810175,-1.80788652,-1.316434750, 1.02515792, 1.26418629,-1.68259941,-0.70073451, 0.25617450,-0.7166350368,-0.646087419, 0.71574904, 0.04008451,-1.22333602, 1.18951910
2000,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8236,0,24,-0.687946963,7.568575,6.767698,6.328871,170.2824,273.8487,-0.5020949,-0.78265221,-0.427741387, 0.06598566, 0.11886320,-0.41551896, 0.32919489,-0.72031401, 0.1896168435, 0.461274191,-0.25299953, 0.65702557,-0.09709272, 0.03705189
2001,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8984,0,24,-0.964593831,6.419921,5.421739,6.408248,185.0402,292.8700, 0.6240430,-1.95714308,-2.519079005, 1.72172469, 1.89051147,-1.84459760, 0.45839208, 0.41324863,-1.1055039071,-1.120902718, 1.40122106,-1.68640712, 0.12231391, 1.80434763
2002,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.9138,0,24,-0.553628675,8.024912,5.833587,5.554642,188.5659,292.3356, 0.8558949,-0.21241042, 0.403104824, 2.11729252, 1.84074258,-1.40731629,-0.93095868, 0.65332603, 0.5169514414,-0.830099093, 1.80332836, 1.00333886,-1.18293189, 1.75301781
2003,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8814,0,24,-0.629150047,7.378240,7.744237,5.850866,180.6371,279.6375, 0.3681026,-0.53303275,-0.774281561, 1.22772731, 0.65803580, 0.62132607,-0.44881775, 0.17455992, 0.0724043654, 1.058686160, 0.92836050,-0.38682816,-0.62279045, 0.57154168
2004,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8975,0,24,-0.510482530,7.764819,8.528411,5.683965,165.7557,267.2859, 0.6104932,-0.02923555,-0.070443065,-0.44188317,-0.49240489, 1.45392663,-0.72046970, 0.42677763, 0.4506293698, 1.758050199,-0.71859475, 0.12388693,-0.82254637,-0.57487676
2006,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8667,0,24,-0.573270238,7.560103,7.444517,7.167679,164.4357,263.4766, 0.1467894,-0.29579773,-0.443165462,-0.58997830,-0.84720835, 0.30309655, 1.69446068,-0.02629839, 0.0568475657, 0.480604180,-0.83597676,-0.42230165, 1.65817557,-0.92286638
2007,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.9000,0,24,-0.571007370,7.738862,7.196473,6.410843,176.0408,270.4956, 0.6481315,-0.28619083,-0.117701187, 0.71204967,-0.19344987, 0.03973482, 0.46261582, 0.48647240,-0.0624126057, 0.097247091, 0.50482223,-0.25064634, 0.48601781,-0.25950246
2008,ancient murrelet,Talan,ancient murrelet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8940,0,24,-0.449492030,8.619143,7.389411,6.034296,161.9774,265.4184, 0.5577996, 0.22969666, 1.485013590,-0.86578382,-0.66634218, 0.24458720,-0.15026170, 0.40836990, 0.3229603758, 0.188724697,-1.02618237, 1.21791669,-0.07327708,-0.71999775
