year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.84,0,41,8.237749,13.16366,13.26910,3.225499, 94.20509,143.2954, 1.05398448,-0.4250867,-1.83821287, 0.85391032,-1.0555026, 1.2251096, 1.40893192,-0.1718621523, 0.64394962, 0.46517395, 1.367403431,-0.75567172, 0.72986520,-0.697118557
1994,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.70,0,41,7.928241,14.07082,13.07881,2.801412, 88.48708,153.9126, 0.67961128,-0.9473521,-0.37387875,-0.18883842, 0.1775808, 1.0579010, 0.06750701,-0.3001243292,-0.04338413, 0.43565176, 0.251389465, 0.55870060,-0.50966011, 0.513502359
1995,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.77,0,41,7.873762,14.16488,12.35244,2.806211, 87.49430,165.2161, 0.86679788,-1.0392798,-0.22204864,-0.36988386, 1.4903636, 0.4196323, 0.08268807, 0.1179889081,-0.29044007,-0.07443818, 0.001130689, 0.56857162,-0.39853909, 1.803210124
1996,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.88,0,41,6.982305,13.20393,10.78276,2.888231, 82.75069,141.7355, 1.16094826,-2.5435316,-1.77320406,-1.23494016,-1.2366668,-0.9596721, 0.34212376, 0.6278815291,-1.93987993,-1.33507131,-0.929087061,-1.11654015,-0.04912309,-0.947508079
1997,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.82,0,41,8.044449,14.71179,13.27695,2.515145, 79.84288,158.8592, 1.00050260,-0.7512614, 0.66076535,-1.76521402, 0.7520759, 1.2320150,-0.83798099, 0.6679937317,-0.28285754, 0.96577938,-1.520470469, 1.19147564,-1.14520717, 1.016934110
1998,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.13,0,41,8.854955,13.50296,11.37879,3.183183, 86.74102,138.9722,-0.84462247, 0.6163931,-1.29051413,-0.50725438,-1.5575951,-0.4359366, 1.27508336,-0.9917578607, 0.95948924,-0.60251612,-0.319568491,-0.87775474, 1.04591820,-1.317649953
1999,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.64,0,41,8.641931,14.19035,12.71140,2.956533, 90.61756,143.2206, 0.51916562, 0.2569343,-0.18094274, 0.19967902,-1.0641924, 0.7350551, 0.55816714, 0.5422193148, 0.48466301, 0.65862416, 0.334359131, 0.12186848, 0.40110336,-0.849773036
2000,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.37,0,41,8.743921,13.45346,11.41000,3.403870, 91.75935,141.7736,-0.20283984, 0.4290330,-1.37041566, 0.40789868,-1.2322506,-0.4085096, 1.97313541,-0.0247814492, 0.55133436,-0.40429964, 0.493624911,-1.16954987, 1.88221337,-1.043969655
2001,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.17,0,41,8.127005,13.95072,12.56074,2.832216, 85.22636,146.4024,-0.73765869,-0.6119569,-0.56775209,-0.78347153,-0.6946583, 0.6026656, 0.16494179,-0.4197800005,-0.58514268, 0.67800892,-0.742647293,-0.46082900, 0.13420185,-0.533128522
2002,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.28,0,41,8.929299,15.02756,10.68365,2.529111, 95.29076,161.0066,-0.44350832, 0.7418409, 1.17047571, 1.05189429, 1.0014775,-1.0467649,-0.79380730,-0.0009937079, 0.68310819,-0.90979579, 1.051868432, 1.19145883,-0.77032480, 1.135643470
2003,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.09,0,41,8.787183,15.55726,11.58325,2.180234, 81.80920,158.2970,-0.95158624, 0.5020339, 2.02551945,-1.40663180, 0.6867863,-0.2562748,-1.89733685,-0.3996200924, 0.36769435,-0.06718747,-1.443455869, 1.96856532,-1.82559154, 0.792975897
2004,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.00,1,41,8.963984,14.51059,10.46869,2.487103, 89.68332,155.0383,-1.19225473, 0.8003694, 0.33598265, 0.02931031, 0.3083160,-1.2356508,-0.92668232,-0.5460214353, 0.60036326,-1.00395285,-0.040260079, 0.20909401,-0.81263385, 0.385916425
2005,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.07,0,41,8.262021,13.92647,12.64843,2.876992, 93.48615,148.0161,-1.00506812,-0.3841297,-0.60689419, 0.72280145,-0.5072372, 0.6797175, 0.30657267,-0.2797520789,-0.63986227, 0.94451850, 0.624536631,-0.79571461, 0.45696465,-0.458838554
2006,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.82,0,41,8.046040,14.87641,12.51612,2.602703, 82.23129,154.7302, 1.00050260,-0.7485771, 0.92649913,-1.32965798, 0.2725358, 0.5634537,-0.56102765, 1.7897170112,-1.05009588, 0.85185016,-1.452565335, 0.68374965,-0.38025179, 0.291120045
2007,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.00,1,41,9.439115,14.41082,10.98365,2.985270, 95.30695,146.9150,-1.19225473, 1.6021090, 0.17493575, 1.05484639,-0.6351290,-0.7831499, 0.64906668,-0.3543263325, 1.26474420,-0.48066558, 0.911348387,-0.11374005, 0.85426677,-0.646971882
2008,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.00,1,41,9.137905,14.63199,10.36695,2.660631,102.42676,162.6850,-1.19225473, 1.0938450, 0.53195280, 2.35323112, 1.1964002,-1.3250581,-0.37779675,-0.3207967411, 0.73057425,-1.01799339, 2.193194367, 0.20535341,-0.15413207, 1.153517550
2009,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.21,0,41,8.959314,14.77875,10.91817,2.574755, 91.36084,152.9552,-0.63069492, 0.7924887, 0.76885122, 0.33522616, 0.0663856,-0.8406844,-0.64943115, 0.2591082646, 0.41325226,-0.53854699, 0.162702540, 0.41233096,-0.41326153,-0.008149523
2010,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.15,0,41,8.182967,14.29219,11.14447,2.539810, 88.34461,154.4775,-0.79114058,-0.5175259,-0.01654584,-0.21481974, 0.2431891,-0.6418311,-0.75996266, 0.1018234220,-0.90278780,-0.35412852,-0.395778329,-0.39498423,-0.51724774, 0.136388820
2011,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.00,1,41,8.944131,14.18208,10.05592,2.927939, 98.21904,149.2591,-1.19225473, 0.7668685,-0.19428325, 1.58590143,-0.3628790,-1.5983573, 0.46772377,-0.3113142953, 0.38552117,-1.33459712, 1.400559756,-0.58663704, 0.71102434,-0.502556983
2012,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.05,0,41,8.421381,13.82785,13.35972,3.296508, 89.75206,150.6711,-1.05855001,-0.1152238,-0.76608165, 0.04184455,-0.1988889, 1.3047399, 1.63354080,-0.2048175414,-0.48271623, 1.53505013,-0.143828324,-1.16434811, 1.87146738,-0.372057413
2013,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.00,1,41,7.208742,14.14000,13.40872,2.546913, 85.46115,155.7360,-1.19225473,-2.1614408,-0.26221501,-0.74065373, 0.3893447, 1.3477969,-0.73749510,-0.3809146052,-2.50513827, 1.53514960,-0.922605898,-0.65839142,-0.51090214, 0.182073130
2014,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.47,0,41,9.374007,15.22070,11.45663,2.395759, 91.99289,163.7739, 0.06456959, 1.4922450, 1.48224412, 0.45048888, 1.3228699,-0.3675345,-1.21561073, 0.8183329771, 1.18228270,-0.23264690, 0.276309293, 1.09616049,-1.00631105, 1.080882493
2015,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.27,0,41,8.263815,13.53230,14.15576,3.325589, 84.73874,141.8856,-0.47024927,-0.3811023,-1.24315113,-0.87239525,-1.2192436, 2.0042384, 1.72552518, 0.2107529926,-0.64738915, 2.07715328,-1.034750354,-1.61113923, 1.91157194,-1.496559398
2016,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.32,0,41,8.684107,14.50346,12.73601,2.579850, 86.07679,153.7479,-0.33654455, 0.3281024, 0.32448691,-0.62838546, 0.1584483, 0.7566807,-0.63331515, 0.2565121942, 0.11543111, 0.75811528,-0.774864193,-0.01740294,-0.47648095,-0.154808653
2017,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.03,1,41,8.961784,14.63458,11.21576,2.565788, 86.76028,149.4425,-1.11203190, 0.7966561, 0.53613448,-0.50374274,-0.3415813,-0.5791873,-0.67779298,-0.6221050531, 0.64754054,-0.65874058,-0.630293212, 0.22834560,-0.55613099,-0.691391958
2018,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.04,1,41,8.307471,15.25241,10.56442,2.427897, 98.19552,175.3106,-1.08529095,-0.3074365, 1.53342394, 1.58161305, 2.6627385,-1.1515342,-1.11395504,-0.7136783996,-0.38305620,-1.32158292, 1.479042731, 1.26773877,-1.03342490, 2.275761336
2019,arctic skua,Fair Isle,arctic skua_Fair Isle,Northern European Seas,North Sea,0.60,0,41,8.913384,14.44794,11.53478,2.946738, 88.84945,147.0221, 0.41220185, 0.7149855, 0.23486848,-0.12275658,-0.6226873,-0.2988601, 0.52718710, 0.6503157290, 0.72280188,-0.56891175,-0.197294858, 0.01928975, 0.56062575,-1.047443592
