year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,1.10,0,50,6.287681,11.65488,16.80270,5.116035,74.75143,127.7323, 1.00289211,-0.75519882,-0.99310170, 0.27072285,-0.029389856, 1.49452897, 0.34247101,-0.14385867, 0.1890601, 0.80913343, 1.2758372, 0.271026259,-0.16071777, 0.550330389
1994,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,1.05,0,50,5.914872,11.85151,17.17551,4.902623,70.86211,127.3283, 0.89816235,-1.35585434,-0.65351024,-0.68853528,-0.085259146, 1.78038691, 0.00302332, 0.02135780,-0.5469546, 1.19861950, 0.1818839, 0.431206414,-0.40745351, 0.444352801
1995,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.90,0,50,6.488234,11.68407,15.56512,5.120020,68.44806,133.2996, 0.58397310,-0.43207521,-0.94269498,-1.28393363, 0.740522673, 0.54559881, 0.34880907,-0.03988664, 0.2489923, 0.06135089,-0.5413241,-0.027529150, 0.02456358, 1.220688053
1996,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.85,0,50,5.375339,10.74567,12.24082,5.560841,72.62123,114.2447, 0.47924335,-2.22512911,-2.56340107,-0.25466776,-1.894596335,-2.00334086, 1.04996815, 0.09132702,-1.6643670,-2.39617794, 0.3670176,-1.807925580, 0.80547337,-1.463215789
1997,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.50,0,50,6.646549,12.01517,13.79855,5.655586,67.89733,124.1753,-0.25386492,-0.17700391,-0.37085404,-1.41976523,-0.521283264,-0.80893199, 1.20066644,-0.42283922, 0.2709797,-1.11646689,-0.9121187, 0.234791590, 1.02944177,-0.138025820
1998,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.90,0,50,7.240788,12.01111,14.70694,4.876583,68.20939,120.3672, 0.58397310, 0.78041175,-0.37786203,-1.34279915,-1.047911411,-0.11241734,-0.03839542, 0.61693942, 1.1231437,-0.34075869,-0.9423060, 0.087814225,-0.14283060,-0.712115338
1999,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.60,0,50,6.895768,12.18484,15.25816,5.167801,75.02122,122.1632,-0.04440541, 0.22452790,-0.07781265, 0.33726435,-0.799543366, 0.31023235, 0.42480853, 0.17350013, 0.4695350, 0.15497589, 0.6374896, 0.257754717, 0.38068223,-0.510546931
2000,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.80,0,50,6.833178,11.84021,15.80900,4.833545,72.31722,121.1063, 0.37451359, 0.12368575,-0.67302166,-0.32964751,-0.945696848, 0.73259451,-0.10684984, 0.76035696, 0.2784949, 0.64431429,-0.1228048,-0.457702702,-0.09714788,-0.702838320
2001,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.50,0,50,6.274270,11.95336,18.29393,4.377617,67.02071,124.5413,-0.25386492,-0.77680591,-0.47760353,-1.63597518,-0.470678043, 2.63794527,-0.83203653, 0.28291487,-0.7046679, 2.61053265,-1.5156295,-0.372672499,-0.77498692,-0.273295689
2002,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.07,0,50,7.288916,12.63979,13.72567,4.639986,76.34831,131.4988,-1.15454079, 0.85795427, 0.70793380, 0.66457687, 0.491488906,-0.86481870,-0.41472037,-0.48382597, 0.8549481,-0.83747237, 0.7053109, 0.712337390,-0.31680373, 0.644056818
2003,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.00,1,50,7.031979,13.13611,14.50156,4.240693,70.69183,127.0521,-1.30116244, 0.44398691, 1.56514011,-0.73053242,-0.123457331,-0.26989411,-1.04982529,-0.51351399, 0.3733633,-0.19389748,-0.7625246, 1.478876744,-0.91752223,-0.015042129
2004,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.00,1,50,7.126972,12.32164,13.42445,4.319083,73.36910,126.0113,-1.30116244, 0.59703561, 0.15845867,-0.07021251,-0.267388356,-1.09578050,-0.92514052,-0.41358176, 0.4663215,-0.97724222,-0.1680454,-0.008611164,-0.76493165,-0.202464132
2005,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.01,1,50,6.515015,12.06514,14.96731,5.034000,80.99431,127.8498,-1.28021649,-0.38892627,-0.28454317, 1.81045945,-0.013142032, 0.08722106, 0.21198840,-0.30970498,-0.5722041, 0.24219235, 1.6536712,-0.522558995, 0.39362246, 0.008952945
2006,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.03,1,50,6.217982,12.39199,14.18689,5.193634,67.67432,126.1824,-1.23832459,-0.86749439, 0.27996647,-1.47476952,-0.243730023,-0.51116803, 0.46589739,-0.20188365,-1.0958090,-0.32587238,-1.6836277,-0.019134858, 0.66247603,-0.263802561
2007,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.00,1,50,7.801080,12.82145,14.49956,4.887809,78.78430,129.2605,-1.30116244, 1.68313206, 1.02167604, 1.26538555, 0.181945609,-0.27142476,-0.02053954,-0.21579347, 1.4173074,-0.06191340, 1.0113429, 0.671349680, 0.18450306, 0.120367289
2008,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.00,1,50,7.139385,12.88463,15.00250,3.778194,76.68167,143.6311,-1.30116244, 0.61703447, 1.13080209, 0.74679596, 2.169268292, 0.11420593,-1.78546324,-0.18386684, 0.3212267, 0.34182436, 0.4544543, 0.739111192,-1.57843730, 2.066845922
2009,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.35,0,50,7.123254,12.74444,14.44838,4.558823,76.50704,129.0631,-0.56805418, 0.59104601, 0.88868165, 0.70372387, 0.154643896,-0.31066971,-0.54381556, 0.56416667, 0.2727820,-0.07105287, 0.3799686, 0.465486698,-0.34128688, 0.012039208
2010,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.00,1,50,6.316664,12.08933,14.13661,4.732091,73.11461,130.2925,-1.30116244,-0.70850240,-0.24276034,-0.13298043, 0.324658299,-0.54972613,-0.26821942,-0.17101776,-1.0416958,-0.30421953,-0.4812638,-0.687598859,-0.07666862, 0.142533024
2011,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.00,1,50,6.706516,12.50241,13.35610,4.604544,78.25986,131.2653,-1.30116244,-0.08038781, 0.47066436, 1.13603781, 0.459197776,-1.14818544,-0.47109286,-0.19009533,-0.4209837,-0.90289771, 0.7701117, 0.014042750,-0.29700056, 0.238213647
2012,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.12,0,50,7.060850,11.68693,14.41207,6.354271,76.62658,125.2358,-1.04981104, 0.49050246,-0.93774858, 0.73320834,-0.374624577,-0.33850932, 2.31197676, 0.02517712, 0.1500309,-0.09954912, 0.3565249,-1.396292795, 2.46212995,-0.633805828
2013,arctic skua,Foula,arctic skua_Foula,Northern European Seas,North Sea,0.00,1,50,5.523508,11.67074,15.89040,5.402294,74.75739,127.9361,-1.30116244,-1.98640376,-0.96572370, 0.27219249,-0.001197487, 0.79501376, 0.79778723,-0.27925465,-2.3192242, 1.02153778,-0.1083628,-1.416330035, 0.91752070,-0.297914128
