year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.41,0,24,7.010416,14.08212,10.221717,1.576079,240.5656,404.4483, 2.05406277,-0.40257065,-1.50471493,-0.54384151,-0.85860260, 0.021150054,-0.9555142, 0.57145970,-0.390994768, 0.8455990,-0.48018619,-1.091367978,-0.28698427,-0.640842711
1994,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.46,0,24,7.600019,15.94582, 8.678271,1.684019,263.2906,437.6275, 2.19778728, 0.36702988, 0.79569417, 0.43747820, 0.76712879,-0.638416098, 0.7156608, 0.98279636, 0.452558059, 0.1226821, 0.41335231, 1.192818359, 1.28287672, 0.980124975
1995,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.31,0,24,7.095984,14.82091, 7.150649,1.594918,245.4538,419.1977, 1.76661376,-0.29087965,-0.59280770,-0.33275807,-0.13590443,-1.291220332,-0.6638422, 0.80032270,-0.141620833,-0.5946102,-0.43344980,-0.214595439,-0.19205193, 0.070395520
1999,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.20,0,24,7.981829,16.66242, 9.021659,1.536332,252.2195,441.4256,-1.42407034, 0.86540140, 1.68020464,-0.04059691, 0.95323156,-0.491674991,-1.5708800,-2.16057384, 1.068169182, 0.1393097,-0.20663912, 2.036815832,-1.18862717, 1.150902730
2000,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.76,0,24,8.114362,14.93392, 9.289500,1.502793,239.0440,390.4586, 0.18564416, 1.03839573,-0.45331364,-0.60954781,-1.54407742,-0.377217501,-2.0901506,-0.33998406, 1.284450811, 0.1870044,-0.82972514,-0.120992677,-1.79154677,-1.356967565
2001,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.28,0,24,6.899811,14.98228, 7.841023,1.618488,304.1014,422.4969,-1.19411113,-0.54694223,-0.39362720, 2.19979117, 0.02575366,-0.996200534,-0.2989151,-1.52777637,-0.267821525,-0.4998787, 1.93669407,-0.088285605,-0.07807206, 0.200369660
2002,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.19,0,24,7.284132,15.23741, 8.069766,1.709675,287.0049,427.2091, 1.42167493,-0.04529263,-0.07871267, 1.46152408, 0.25664101,-0.898450619, 1.1128751, 1.26106038, 0.256672038,-0.4711662, 1.16672257, 0.196960391, 1.26184569, 0.416830625
2003,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.64,0,24,6.507307,14.70350, 9.967725,1.712588,240.6604,387.4123,-0.15929466,-1.05927164,-0.73773344,-0.53974929,-1.69334058,-0.087389304, 1.1579776,-0.16577082,-0.744684680, 0.2697204,-0.85503985,-0.494418050, 1.24096413,-1.549509899
2004,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.58,0,24,5.692171,13.73124, 8.076677,1.629872,241.6388,399.8332,-0.33176407,-2.12325807,-1.93781002,-0.49749598,-1.08473637,-0.895497358,-0.1226661,-0.20301412,-1.806270482,-0.6096998,-0.82206024,-1.729541467,-0.09977536,-0.959197145
2005,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.58,0,24,6.559267,14.22002, 7.999765,1.712318,252.0658,426.6697,-0.33176407,-0.99144960,-1.33449887,-0.04723589, 0.23021401,-0.928364744, 1.1537960,-0.08670031,-0.682283063,-0.7150166,-0.36985850,-1.163966297, 1.12247918, 0.335529225
2006,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.62,0,24,6.985619,15.50908, 8.202014,1.626663,270.8152,444.3229,-0.21678447,-0.43493787, 0.25661048, 0.76241299, 1.09519535,-0.841936616,-0.1723459, 0.12568081,-0.143814047,-0.7021753, 0.45294740, 0.386717925,-0.25198191, 1.178354034
2007,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.62,0,24,6.002214,14.05066,12.769679,1.656194,247.5972,394.7174,-0.21678447,-1.71856289,-1.54354799,-0.24020022,-1.33540067, 1.109979562, 0.2848620, 0.20417004,-1.455703443, 1.1750168,-0.52529343,-1.456554834, 0.16279514,-1.276331060
2008,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.71,0,24,6.695195,15.08752,11.238202,1.707321,260.3081,424.4977, 0.04191965,-0.81402383,-0.26372956, 0.30868779, 0.12378857, 0.455527963, 1.0764259, 0.52245109,-0.589650432, 0.4447038, 0.05918231,-0.222539837, 0.91781645, 0.156836567
2009,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.37,0,24,7.185699,15.46684,11.743560,1.589702,271.0802,421.7356,-0.93540701,-0.17377551, 0.20447414, 0.77385385,-0.01155199, 0.671484410,-0.7445915,-0.41421093, 0.001890171, 0.5836614, 0.57115146, 0.197171278,-0.93385511,-0.006458143
2010,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.64,0,24,7.940039,16.32511,10.325856,1.669052,269.1486,450.1198,-0.15929466, 0.81085410, 1.26385188, 0.69044255, 1.37923598, 0.065652128, 0.4839355, 0.38365376, 0.927590400,-0.1003070, 0.54575861, 1.205367283, 0.26990596, 1.354443135
2011,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.41,0,24,7.185270,15.05609,10.155502,1.541799,275.2444,448.4713,-0.82042741,-0.17433562,-0.30252736, 0.95367444, 1.29846073,-0.007145743,-1.4862406,-0.27463892,-0.126750375,-0.2523783, 0.87822430,-0.414882854,-1.71914782, 1.241848668
2012,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.26,0,24,8.603332,16.84704, 8.010881,1.579598,283.1779,450.1324,-1.25160093, 1.67664127, 1.90807821, 1.29626379, 1.37985215,-0.923614449,-0.9010262,-0.72188468, 1.644853794,-1.2492578, 1.30126280, 1.739162674,-1.14692271, 1.289488320
2013,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.53,0,24,8.049997,15.90381,13.990462,1.687818,227.9867,425.8042,-0.47548858, 0.95438059, 0.74383907,-1.08703003, 0.18780608, 1.631661017, 0.7744798, 0.01924313, 0.832998732, 1.2244695,-0.99036649, 0.515674348, 0.52148230, 0.061757958
2014,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.92,0,24,7.883171,15.83335,11.630489,1.673011,222.0249,388.5823, 0.64556259, 0.73662482, 0.65686046,-1.34447292,-1.63601435, 0.623165406, 0.5452268, 1.08639748, 0.515426904, 0.1332885,-1.14492951, 0.366757396, 0.29101664,-1.799679309
2015,arctic tern,Eastern Egg Rock,arctic tern_Eastern Egg Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.80,0,24,8.008930,15.85832,14.378958,1.667864,219.1717,414.6071, 0.30062376, 0.90077608, 0.68769145,-1.46768242,-0.36083359, 1.797678595, 0.4655447, 0.66864955, 0.569540438, 1.2239788,-1.15404378, 0.332960886, 0.21601012,-0.564047923
