year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.33,0,30,7.010416,14.08212,10.221717,1.576079,240.5656,404.4483, 1.82952225,-0.23909417,-1.27483621,-0.62976901,-0.91338797, 0.12714157,-0.89261655, 0.46617209, 0.07449814, 0.86641999,-0.92886538,-0.6050149010,-0.43988553,-1.17335098
1994,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.04,0,30,7.600019,15.94582, 8.678271,1.684019,263.2906,437.6275, 0.58114236, 0.49976681, 0.88222396, 0.14834275, 0.54005222,-0.52432607, 0.70508055,-0.54214652, 0.83818508, 0.18642295,-0.17684861, 1.5043528848, 1.11076550, 0.33238708
1995,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.31,0,30,7.095984,14.82091, 7.150649,1.594918,245.4538,419.1977, 1.74342709,-0.13186436,-0.41975406,-0.46239593,-0.26727965,-1.16911481,-0.61376871, 0.84498502, 0.22550604,-0.49029578,-0.80778998, 0.1542226067,-0.25366338,-0.42652299
1996,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.69,0,30,6.189171,13.32231, 8.903028,1.593507,294.3211,443.1671,-0.92552302,-1.26823841,-2.15423509, 1.21084229, 0.78272129,-0.42945947,-0.63464210,-1.61433273,-0.89778970, 0.21402900, 0.85113784,-1.6288705639,-0.31864991, 0.66802366
1997,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.11,0,30,6.120979,14.86803, 8.959858,1.742857,276.2363,429.2607, 0.88247544,-1.35369336,-0.36521473, 0.59161068, 0.17354089,-0.40547192, 1.57598272, 0.38808362,-0.97604013, 0.19928539, 0.22348811, 0.1110777774, 1.84932825, 0.09951288
1998,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.87,0,30,6.470577,14.53794, 5.857116,1.538922,345.4819,483.3374,-0.15066654,-0.91559424,-0.74726458, 2.96260618, 2.54241112,-1.71509750,-1.44259986,-0.46585492,-0.53661032,-1.15247191, 2.59195777,-0.3205039743,-1.21043451, 2.50517663
1999,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.90,0,30,7.981829,16.66242, 9.021659,1.536332,252.2195,441.4256,-0.02152379, 0.97823228, 1.71161656,-0.23073439, 0.70643226,-0.37938673,-1.48092612,-0.17272319, 1.35267310, 0.13770656,-0.59801634, 2.0883853807,-1.28847449, 0.70211522
2000,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.92,0,30,8.114362,14.93392, 9.289500,1.502793,239.0440,390.4586, 0.06457137, 1.14431684,-0.28895251,-0.68186910,-1.52621777,-0.26633461,-1.97736548, 0.06214649, 1.50834073, 0.20182579,-1.03989231, 0.0373646494,-1.82316109,-1.50149344
2001,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.95,0,30,6.899811,14.98228, 7.841023,1.618488,304.1014,422.4969, 0.19371412,-0.37769924,-0.23298540, 1.54572266,-0.12275371,-0.87771743,-0.26488669, 0.32484930,-0.02996608,-0.46189049, 1.20285048, 0.0424202212,-0.14746306,-0.07286411
2002,arctic tern,Seal Island NWR,arctic tern_Seal Island NWR,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.15,0,30,7.284132,15.23741, 8.069766,1.709675,287.0049,427.2091, 1.05466577, 0.10391338, 0.06230537, 0.96033311, 0.08366475,-0.78116774, 1.08483019, 1.30414654, 0.42948198,-0.42107485, 0.63850425, 0.2863395671, 1.16693953, 0.15484352
