year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.42,0,41,7.394523,12.67822,14.04811,3.404592,85.84151,137.5876, 0.74393476,-0.5646412,-1.2848694255, 0.735017165,-0.47403897, 1.35892434, 7.153668e-01, 0.181154190, 0.43553631, 0.59571024, 1.47585746,-0.04398526, 0.1038588, 0.13624111
1994,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.19,0,41,7.037432,13.13599,14.29320,3.089651,80.99288,140.3652,-0.09925091,-1.1763407,-0.5820040794,-0.344535257,-0.15850616, 1.61418115,-5.998157e-05,-0.535530398,-0.32578307, 0.98235343, 0.29452379, 0.49179776,-0.5358030, 0.40588783
1995,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.52,0,41,7.317031,13.03879,13.38873,3.162049,79.58419,149.0212, 1.11053722,-0.6973853,-0.7312403014,-0.658183519, 0.82480205, 0.67219743, 1.644022e-01, 0.792855353, 0.01227433, 0.16303478,-0.11553049, 0.18407478,-0.2990230, 1.34318292
1996,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.25,0,41,6.238953,12.13542,11.43571,3.428519,77.81989,127.2585, 0.12071057,-2.5441404,-2.1183031638,-1.051005756,-1.64740991,-1.36183775, 7.697213e-01,-0.086277145,-1.96665681,-1.75705666,-0.59938353,-1.35287928, 0.3751669,-1.17516918
1997,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.14,0,41,7.451391,13.49221,12.88294,2.957528,74.66568,142.1618,-0.28255214,-0.4672261,-0.0350415443,-1.753294664, 0.04558439, 0.14542140,-3.001919e-01,-0.386749162,-0.01319647,-0.14457506,-1.38732801, 0.58908671,-0.6293227, 0.47155797
1998,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.01,1,41,8.188291,12.97502,12.38145,3.449646,78.52136,130.9782,-0.75913535, 0.7950901,-0.8291628008,-0.894822530,-1.22485837,-0.37687079, 8.177125e-01,-0.768445133, 1.13438770,-0.57036612,-0.60913623,-0.33773461, 0.5505584,-0.84527898
1999,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.29,0,41,7.826163,13.43378,13.07466,3.397862,83.53669,132.9610, 0.26735155, 0.1747614,-0.1247587288, 0.221846878,-0.99961416, 0.34510079, 7.000801e-01, 0.345025538, 0.40804900, 0.23938527, 0.43262805, 0.24256495, 0.4914553,-0.66655598
2000,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.50,0,41,7.974217,12.63217,12.61683,4.134068,82.98673,129.4966, 1.03721673, 0.4283791,-1.3555796016, 0.099396857,-1.39315717,-0.13172277, 2.372459e+00, 1.193971022, 0.56437863,-0.15837979, 0.24064812,-1.10376486, 2.2189170,-1.10674723
2001,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.00,1,41,7.367873,13.15250,14.45857,3.172509,77.85639,137.0480,-0.79579559,-0.6102919,-0.5566513686,-1.042878715,-0.53533375, 1.78640814, 1.881629e-01,-0.567864455,-0.56285839, 1.83008831,-0.96578213,-0.41175001, 0.0862558,-0.29569906
2002,arctic tern,Shetland,arctic tern_Shetland,Northern European Seas,North Sea,0.11,0,41,8.183003,13.97410,11.83189,2.937809,85.45139,145.4195,-0.39253288, 0.7860311, 0.7048556012, 0.648156188, 0.41564992,-0.94922044,-3.449875e-01,-0.101328359, 0.75362052,-0.84392438, 0.66647332, 0.75143915,-0.3987065, 0.60838234
