year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.75,0,50,13.50487,15.64641, 2.334423, 4.441915,547.9956,624.1827, 0.67202497, 0.67634480, 0.46336681, 0.1002026, 0.37919877,-1.76651935,-2.6552059, 0.59455618,-0.36216522,-0.500286765,-0.47526383,-0.258098580,-1.590822226,-0.3043533
1994,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.71,0,50,13.42719,15.37902, 3.024335, 6.603001,559.8822,591.9928, 0.35277320, 0.57742407, 0.04494069, 0.3845602,-0.41435360,-1.47306756,-1.1086616, 0.37441951,-0.21033271,-0.439080797,-0.13565407,-0.481874391,-0.239646422,-0.9942025
1995,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.60,0,50,13.56591,15.61260, 2.320260, 7.424220,566.4088,638.0798,-0.52516916, 0.75407959, 0.41045762, 0.5406917, 0.72179381,-1.77254352,-0.5209701,-0.41251237, 0.19657192,-0.954621371, 0.07441132, 0.061594499, 0.166295792, 0.2395135
1996,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.63,0,50,13.88724,15.11743, 5.389369, 9.853592,601.8436,629.4766,-0.28573033, 1.16331731,-0.36440080, 1.3883769, 0.50970527,-0.46710827, 1.2175683,-0.09016769, 0.81555459, 0.150930453, 0.97471221,-0.552010331, 1.736703960, 0.1188588
1997,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.56,0,50,12.99463,16.54415,10.455032, 7.404597,601.6389,698.6988,-0.84442093, 0.02653309, 1.86819648, 1.3834801, 2.21618702, 1.68755422,-0.5350130,-0.57405705,-0.13198881, 2.121890717, 1.02111274, 1.825142192,-0.170388446, 1.9106397
1998,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.59,0,50,13.73647,15.75339, 3.950307, 6.186594,578.1135,658.0535,-0.60498210, 0.97130178, 0.63077448, 0.8206962, 1.21418801,-1.07920857,-1.4066558,-0.26792161, 0.98151655,-0.812393099, 0.50830794, 0.715577081,-1.182923154, 0.9878052
1999,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.48,0,50,11.84938,14.51213,10.827609,10.350134,492.3853,543.9786,-1.48292447,-1.43200042,-1.31160049,-1.2301271,-1.59801219, 1.84602840, 1.5729104,-1.08727198,-1.27355312, 1.961504048,-1.49385445,-1.115639362, 1.669370280,-1.7513652
2000,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.67,0,50,12.75827,15.20974, 5.585514, 8.508013,523.0887,611.2149, 0.03352144,-0.27447881,-0.21995622,-0.4956278, 0.05951416,-0.38367876, 0.2546277, 0.47966130, 0.01169687,-0.403361751,-0.71201256, 0.070465078, 0.237433949,-0.0269437
2001,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.71,0,50,12.02048,14.93168, 7.255745, 8.484895,491.1775,570.0299, 0.35277320,-1.21408829,-0.65507610,-1.2590199,-0.95578917, 0.32674820, 0.2380840, 0.84129582,-0.82068836, 0.188087775,-1.42938041,-0.286892985, 0.120855672,-0.9814865
2002,ashy storm-petrel,SE Farallon,ashy storm-petrel_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.59,0,50,12.10341,14.53378, 7.569933, 8.580735,529.5372,581.8224,-0.60498210,-1.10847480,-1.27771988,-0.3413665,-0.66507740, 0.46038695, 0.3066699,-0.08218135,-0.62835477, 0.218930288,-0.46702087,-0.848473308, 0.103026201,-0.6361490
