year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,pre_breeding_chl,pre_breeding_strat,breeding_temp,breeding_chl,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.720,0,30,26.80834,0.9197040,763.8249,22.92384,0.9193652,475.8804, 0.1888497518,-0.17170418,-2.87237474, 0.6693752,-1.706794313,-0.65751034,-1.47110204,-0.03477887,-0.3453376, 0.2361715,-0.43216346,-1.10971337,-0.35516688,-1.64673998
1994,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.780,0,30,26.87649,0.8763243,778.1131,23.50410,0.9523679,531.7020, 0.7544563296, 0.07064831,-1.17492172, 0.9780819,-0.001700893,-1.77117554,-1.08822055, 0.56034354,-0.0613722,-0.9192126, 0.09372095, 0.18634218,-0.16560161,-0.02628057
1995,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.780,0,30,27.00451,0.9365031,785.4025,23.88804,1.0305536,589.1899, 0.7544563296, 0.52593690,-0.05173276, 1.1355761, 1.754290854,-0.22623510,-0.18114694, 0.58511679, 0.4315476, 0.5700107, 0.45249583, 0.94434663, 0.55892065, 1.66050262
1996,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.700,0,30,27.29608,0.9121556,810.5385,24.07785,0.9955427,595.6581, 0.0003142259, 1.56283430, 0.50351463, 1.6786579, 1.951863626,-0.85129570,-0.58732675,-0.14899463, 1.5020944,-0.1247653, 1.18096118, 1.17062248,-0.01904565, 1.80429227
1997,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.730,0,30,27.24387,0.8998752,800.5274,23.56048,1.0242589,549.5919, 0.2831175148, 1.37715465,-1.00996609, 1.4623596, 0.544752088,-1.16656461,-0.25417575, 0.14909677, 1.3460824,-0.5237478, 1.13414933,-0.63561683, 0.15308372, 0.35882306
1998,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.680,0,30,26.29593,0.9341552,681.6939,23.68192,1.0596093,515.7422,-0.1882213001,-1.99400083,-0.65471226,-1.1051256,-0.489199342,-0.28651083, 0.15594296,-0.31169650,-1.9993871, 0.2585940,-1.27974641,-0.53690862, 0.41294568,-0.69806060
1999,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.380,0,30,26.35506,0.9565223,655.3318,24.07592,0.9921975,524.6451,-3.0162541891,-1.78370059, 0.49788092,-1.6746986,-0.217258951, 0.28770874,-0.62613617,-3.13392643,-1.7673827, 0.7211033,-1.71162711, 0.39535189,-0.50862535,-0.43362700
2000,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.770,0,30,26.69851,0.9408854,702.9255,24.02180,0.9798036,510.3709, 0.6601885667,-0.56228070, 0.33956923,-0.6464024,-0.653267823,-0.11372927,-0.76992486, 0.54357672,-0.5282404, 0.1939568,-0.56153563, 0.05292048,-0.78114107,-0.86171722
2001,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.710,0,30,26.66347,0.9799395,694.5297,24.15894,1.0310072,531.2367, 0.0945819888,-0.68692234, 0.74073336,-0.8277985,-0.015913448, 0.88888790,-0.17588542,-0.02571204,-0.6391413, 1.0568672,-0.63703353, 0.30617786,-0.30506379,-0.20101876
2002,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.780,0,30,26.90163,0.9554098,710.2755,23.99634,1.2251486,504.5403, 0.7544563296, 0.16007429, 0.26508717,-0.4875986,-0.831367510, 0.25914776, 2.07645105, 0.62573754, 0.2176142, 0.2734220,-0.20683255,-0.28116212, 1.84007538,-0.97770328
2003,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.730,0,30,26.93986,0.9201000,737.6423,23.84413,1.1112453,504.6496, 0.2831175148, 0.29601400,-0.18020042, 0.1036806,-0.828028568,-0.64734392, 0.75499877, 0.14123140, 0.3593311,-0.8007730, 0.45855062,-0.80193056, 0.42219066,-0.92016936
2004,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.860,0,30,27.23251,0.9076709,762.2878,24.11600,1.0763176,563.1553, 1.5085984334, 1.33677424, 0.61513830, 0.6361642, 0.959053184,-0.96643118, 0.34978447, 1.34880241, 1.4018868,-1.3015619, 1.04924121,-0.04585972,-0.06869122, 0.93653281
2005,black-footed albatross,Tern,black-footed albatross_Tern,Hawaii,Hawaii,0.750,0,30,27.06927,0.9426143,744.3398,23.90172,1.0488233,540.1457, 0.4716530407, 0.75624993,-0.01172830, 0.2483859, 0.256213554,-0.06934525, 0.03080852, 0.28920455, 0.8191762,-0.6001758, 0.70377275,-0.67578124,-0.46256987, 0.31873904
