year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,0.700,0,35,-1.2998474,2.622106,2.2555229,10.906078,173.8908,248.9582, 0.23815466, 0.04535367,-0.07325975,-0.23790161, 0.005079748, 0.66180616, 1.2792378036,-0.3361414, 0.1192968, 4.925815e-01,-0.24558837, 0.38592768, 1.10474257,-0.1204144
1995,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,0.880,0,35,-1.4372063,1.811635,1.5412779, 7.875689,197.0310,269.5076, 0.61418833,-0.58143118,-0.75993669, 1.22994294, 1.274878395,-0.34913833,-1.0065243373, 0.2319254,-0.3875071,-3.614763e-01, 1.34067380,-0.29791803,-1.11673190, 1.2526052
1996,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,0.010,1,35,-1.3356619,2.281521,2.1635228, 9.403131,166.9002,230.8292,-1.20330774,-0.11807188,-0.36182257,-0.68133463,-1.115150598, 0.53158895, 0.1455951332,-1.4108017, 0.1777327, 6.559231e-01,-0.46900311, 0.09665938, 0.09275745,-1.0473189
1997,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,0.560,0,35,-1.2387806,2.947040,1.6643012, 9.859404,152.9508,216.1900,-0.05431597, 0.32400876, 0.20204296,-1.56617600,-2.019743043,-0.17501083, 0.4897528988,-0.1043052, 0.7035934, 6.578078e-02,-1.26906080, 0.65062027, 0.48736732,-1.8749225
1998,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,1.200,0,35,-1.5528630,1.707605,0.7836518, 7.707826,175.4408,261.7660, 1.28269263,-1.10918613,-0.84807740,-0.13957879, 0.796508831,-1.42148469,-1.1331395504, 1.3729440,-0.6639218,-1.084450e+00, 0.22550311,-0.41577267,-1.09199080, 1.0052022
1999,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,0.890,0,35,-1.5964527,2.199491,1.0330886,10.041432,157.2638,233.0384, 0.63507909,-1.30809135,-0.43132284,-1.29259442,-0.978639865,-1.06843102, 0.6270529696, 0.8483069,-0.8152478,-6.553686e-01,-0.87636279,-0.02165862, 0.70481826,-0.7191898
2000,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,0.860,0,35,-1.5992630,1.064336,0.7795450, 8.784063,163.7798,239.6422, 0.57240681,-1.32091505,-1.39309160,-0.87926483,-0.570574554,-1.42729739,-0.3213561084, 0.8913468,-0.7985928,-9.584215e-01,-0.42870045,-1.01243583,-0.21389205,-0.2734838
2001,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,0.000,1,35,-1.4771638,1.499129,1.5981982, 9.069334,171.1184,261.0780,-1.22419850,-0.76376178,-1.02470986,-0.41376411, 0.753995898,-0.26857320,-0.1061816835,-0.8168105,-0.2300612, 2.359014e-01, 0.05431604,-0.67943046, 0.02406336, 1.0756113
2002,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,0.004,1,35,-1.2488635,2.337358,1.3711118, 7.678669,201.2665,267.5604,-1.21584220, 0.27799946,-0.31451396, 1.49860960, 1.154555197,-0.58999200,-1.1551326589,-0.7372704, 0.8049780,-7.013334e-02, 1.96738854,-0.01097887,-1.00902442, 1.4875791
2003,black-legged kittiwake,Cape Lisburne,black-legged kittiwake_Cape Lisburne,Arctic,Chukchi Sea,0.750,0,35,-1.1270202,2.060942,2.0738804, 9.028898,176.4149,251.6851, 0.34260845, 0.83398488,-0.54870963,-0.07779020, 0.173582588, 0.40470889,-0.1366817448, 0.8750999, 1.3361408, 9.197369e-01, 0.37487057,-0.29328679, 0.01837192, 0.5048990
