year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.18,0,27, 0.45959708,7.811767, 9.388979,5.571326,82.14826,135.2037,-0.38720787, 0.54187586, 0.35603570, 0.91931449, 0.498172721,-0.14293539,-0.18656432, 0.66323380, 0.05844442, 0.12703002,-0.21163077, 0.27302280, 0.97250094,-0.04252668
1994,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.21,0,27,-0.11791625,6.970865, 7.844167,5.580927,84.25581,145.5337,-0.23642019,-0.45479633,-0.62073571, 1.28984421, 2.185874110,-0.83236965,-0.17210882, 0.61438666,-0.81532812,-0.62959373, 0.35937263,-0.65254041, 0.73343629, 1.77856645
1995,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.09,0,27,-0.18665232,7.333225, 7.811703,4.699172,84.68673,137.9868,-0.83957090,-0.57342101,-0.19982692, 1.36560363, 0.952881192,-0.84685807,-1.49963736,-0.17286469,-0.82207979,-0.70531062, 0.62167883,-0.18642202,-0.82678533, 0.66718694
1996,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.03,0,27, 0.71487193,7.447839,10.225622,4.997936,77.03571,128.4560,-1.14114626, 0.98242907,-0.06669447, 0.02047342,-0.604267333, 0.23045019,-1.04983316,-0.64300652, 0.83461663, 0.31673021,-0.55083152,-0.01407857,-0.58884713,-0.78012650
1997,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.13,0,27, 0.13186869,8.284006, 8.058931,4.625524,83.37508,127.7320,-0.63852066,-0.02371762, 0.90457604, 1.13500145,-0.722550898,-0.73652256,-1.61051842,-0.29341323,-0.08171037,-0.69954893, 0.72238949, 0.99040436,-1.34057133,-0.80035331
1998,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.17,0,27, 0.16685912,6.897685, 9.899870,5.729010,83.35860,128.8322,-0.43747042, 0.03666884,-0.70573932, 1.13210498,-0.542803801, 0.08507055, 0.05083848,-0.22986112, 0.05746913, 0.07869881, 0.86425909,-0.59269718, 0.15057372,-0.53432778
1999,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.00,1,27,-0.45069171,6.009112, 8.359048,6.218940,77.58140,126.2771,-1.29193394,-1.02910005,-1.73788378, 0.11641140,-0.960253716,-0.60258336, 0.78845392,-1.20628859,-0.94053338,-0.64633943,-0.02059533,-1.60362641, 0.73880437,-0.87727759
2000,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.32,0,27, 0.09203733,7.203956,10.540979,5.905807,77.60702,132.1907, 0.31646797,-0.09245855,-0.34998305, 0.12091579, 0.005904089, 0.37119094, 0.31701548, 0.29568353, 0.05284784, 0.29601158, 0.10082133,-0.20050904, 0.13880821, 0.15160199
2001,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.00,1,27, 0.63012906,7.283729,14.984493,6.773712,65.49873,124.2551,-1.29193394, 0.83617987,-0.25731974,-2.00784969,-1.290596506, 2.35428740, 1.62369273,-1.40361399, 1.02719933, 2.25364577,-1.92495879,-0.09862769, 1.33775482,-1.09395516
2002,black-legged kittiwake,Cape Peirce,black-legged kittiwake_Cape Peirce,Arctic,Eastern Bering Sea,0.66,0,27, 0.34239785,8.122048,11.574189,5.708736,71.34272,125.3177, 2.02539499, 0.33961349, 0.71645017,-0.98041446,-1.116999254, 0.83230239, 0.02031421, 1.83835349, 0.56531936, 0.71215952,-0.80846509, 0.87836167,-0.35252727,-0.88119278
