year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.00,1,27,5.129382,11.454455, 6.621136,2.746881,362.3042,502.5841,-1.11037509, 0.07605570, 0.47261293, 1.0849685885, 0.74474214,-2.37540839,-1.56121249,-1.824543447,-0.22558144,-1.253454377,-0.101749498, 0.27006682,-0.48056305,-0.08596068
1995,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,1.04,0,27,4.504692,10.138601, 8.602569,3.309260,353.2400,480.5712, 2.20657517,-0.92655584,-1.14745326, 0.6537979306,-0.04658790,-0.30476594,-0.03534563, 1.566346987,-1.08761074, 0.532069945,-0.224115560,-1.23737605, 0.77454141,-0.62487464
1996,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.77,0,27,5.218306,10.781371, 8.271244,2.873404,350.0520,485.9167, 1.34544386, 0.21877639,-0.35608097, 0.5021468580, 0.14557390,-0.65100811,-1.21792403, 0.777786610, 0.18271015,-0.073714405,-0.094999998,-0.34633645,-0.65469126,-0.20486691
1997,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.40,0,27,5.171395,12.282109, 8.559314,2.714733,348.1978,504.7959, 0.16537501, 0.14348543, 1.49161265, 0.4139475339, 0.82425289,-0.34996863,-1.64843789,-0.331080521, 0.21681426,-0.006641174, 0.069529350, 1.58806850,-1.30775129, 0.67708787
1998,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.07,0,27,5.760583,10.877082, 9.999686,3.781303,362.7363,512.7077,-0.88711882, 1.08911858,-0.23824274, 1.1055220826, 1.10867161, 1.15525371, 1.24541843,-1.313741873, 1.25624891, 1.290190866, 0.985794610,-0.06803156, 1.38766700, 1.14021223
1999,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.46,0,27,4.424341, 9.960881, 9.425961,3.846044,327.8002,456.8139, 0.35673753,-1.05551759,-1.36626013,-0.5563393658,-0.90062514, 0.55569750, 1.42107361,-0.001422273,-0.81017935, 0.507820300,-0.479414089,-1.13524961, 1.38899226,-0.71494901
2000,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.37,0,27,4.814827,10.762054, 8.723099,3.513683,318.3031,462.7136, 0.06969376,-0.42879672,-0.37986419,-1.0081044341,-0.68854106,-0.17880884, 0.51930122,-0.221372025,-0.12084414,-0.383924454,-0.762564369,-0.10101032, 0.33699807,-0.37329958
2001,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.73,0,27,5.096142,11.200491, 9.170982,3.393891,331.3030,462.1360, 1.21786885, 0.02270726, 0.15993548,-0.3897168289,-0.70930587, 0.28923878, 0.19427661, 0.992527857, 0.37768060,-0.047539304,-0.003599938, 0.47367671,-0.11414021,-0.28906917
2002,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,1.02,0,27,4.689467,10.726319, 9.709534,3.055792,310.5317,447.1435, 2.14278767,-0.62999652,-0.42386125,-1.3777788760,-1.24826299, 0.85203759,-0.72306333, 1.981802241,-0.24359601, 0.409172969,-0.879123121,-0.08818864,-1.13348571,-0.74760122
2003,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.60,0,27,5.776912,11.197977, 9.177787,3.495467,346.1926,478.5943, 0.80325006, 1.11532546, 0.15684014, 0.3185597944,-0.11765254, 0.29635009, 0.46987769, 0.705250966, 1.51755956,-0.227025124, 0.901716452, 0.50148812,-0.01844213, 0.43886417
2004,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.06,0,27,5.171828,11.808369, 9.626328,3.482541,338.8441,504.0628,-0.91901257, 0.14418113, 0.90834902,-0.0309974941, 0.79789760, 0.76508562, 0.43480661,-0.955394569, 0.54665525, 0.186775764, 0.608622105, 1.24901639,-0.10730253, 1.38569910
2005,black-legged kittiwake,East Amatuli,black-legged kittiwake_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.04,0,27,5.786934,12.324531, 7.738764,2.992001,360.5263,501.2810,-0.98280008, 1.13141127, 1.54384290, 1.0003983243, 0.69789917,-1.20746199,-0.89614475,-0.958934203, 1.51853183,-1.815130552, 1.668442902, 1.86757366,-1.46793508, 1.29241532
