year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.670,0,34,4.745501,7.096489,19.85171,13.232143,156.8039,220.7177, 0.18397771,-0.32873228,-1.299823808,-2.1308404,-1.5982614109, 1.02809525, 1.65558230,-0.41844425, 0.90426461, 0.4967897,-1.54743390, 0.374691695, 0.98090002,-0.69101830
1994,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.730,0,34,4.612566,7.093337,23.26813,10.445994,173.1911,230.0592, 0.33267601,-0.66879795,-1.305961693, 0.4334914,-0.7647831968, 2.25637962,-0.41846895,-0.20178377, 0.41893811, 1.7699397, 0.88710117, 0.104175393,-0.89331147,-0.03398322
1995,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.530,0,34,4.758761,7.171865,19.51310,11.091843,168.9178,231.1235,-0.16298501,-0.29480955,-1.153061614,-0.2352082,-0.6698156531, 0.90635762, 0.06231027,-0.63147598, 0.65371547, 0.4643038, 0.09879513, 0.008965399,-0.23044542,-0.10266020
1996,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.610,0,34,4.219248,6.766544,13.84321,11.845002,171.7056,227.8848, 0.03527940,-1.67495784,-1.942255859, 0.2010314,-0.9587893562,-1.13209979, 0.62297347,-0.36923613,-0.85959407,-1.5302470, 0.42561858,-1.012070575, 0.49455167,-0.54247979
1997,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,1.140,0,34,4.054992,7.122105,11.69889,11.787410,163.7278,230.7142, 1.34878110,-2.09514841,-1.249947433,-1.0473576,-0.7063403734,-1.90303674, 0.58010130, 1.00624763,-1.40689610,-2.2577569,-0.92199622,-0.535335534, 0.59826046,-0.42807808
1998,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.990,0,34,4.420473,7.603442,16.22885,11.477071,169.4311,244.9753, 0.97703534,-1.16019854,-0.312743566,-0.1548818, 0.5660988703,-0.27440577, 0.34908030, 0.69449056,-0.59300790,-0.5861784,-0.11855595, 0.202563292, 0.49606749, 0.71911253
1999,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,1.280,0,34,4.729252,7.735011,19.04104, 9.427347,177.1578,254.2930, 1.69574381,-0.37029905,-0.056567521, 1.0542093, 1.3974600794, 0.73664211,-1.17676533, 1.47119436, 0.08187971, 0.4673375, 1.01168999, 0.275702639,-0.91870307, 1.43802372
2000,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.920,0,34,4.635499,7.352550,16.75835,11.648433,167.4430,229.3263, 0.80355398,-0.61013182,-0.801252586,-0.4660011,-0.8301756713,-0.08403793, 0.47664478, 0.63500648,-0.26691515,-0.3113540,-0.57717517,-0.635750779, 0.82802920,-0.88926342
2001,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.066,0,34,4.376417,7.620076,15.25911, 9.704115,184.1378,249.4738,-1.31291857,-1.27289869,-0.280355622, 2.1464696, 0.9674726170,-0.62305129,-0.97073486,-1.42745749,-1.03259433,-0.8088583, 1.97683101,-0.265353826,-0.54378123, 0.82153210
2002,black-legged kittiwake,Hornoya,black-legged kittiwake_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.600,0,34,4.989841,8.685098,18.57601, 8.900207,176.3714,262.1869, 0.01049635, 0.29632483, 1.793330799, 0.9311470, 2.1017837530, 0.56945123,-1.56917626,-0.05202736, 0.43976668, 0.4246737, 0.71323416, 1.674100929,-1.08440634, 1.88178910
