year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1996,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.60,0,27,5.218306,10.781371, 8.271244,2.873404,350.0520,485.9167, 0.2541807, 0.16652941,-0.33943539, 0.486185683, 0.13341910,-0.84109781,-1.3166080, 0.42050881,-0.36589788,-0.589524891,-0.18579351,-0.75053359,-0.6258204044,-0.42204782
1997,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.32,0,27,5.171395,12.282109, 8.559314,2.714733,348.1978,504.7959,-0.7212539, 0.09784462, 1.42147808, 0.407351556, 0.72662907,-0.50327347,-1.7540408,-0.64378221,-0.23359819,-0.396447397,-0.02790105, 1.17534476,-1.2819187463, 0.38824078
1998,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.36,0,27,5.760583,10.877082, 9.999686,3.781303,362.7363,512.7077,-0.5819061, 0.96050613,-0.22713164, 1.025493207, 0.97522970, 1.18587625, 1.1863234,-0.58258018, 0.80895420, 1.164710606, 0.80265443,-0.32592060, 1.4614067078, 0.83090496
1999,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.21,0,27,4.424341, 9.960881, 9.425961,3.846044,327.8002,456.8139,-1.1044604,-0.99595561,-1.30216972,-0.459908161,-0.78102753, 0.51305857, 1.3648016,-1.17256964,-0.98871029, 0.380656337,-0.49464587,-1.27123486, 1.4644730472,-0.75430378
2000,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.99,0,27,4.814827,10.762054, 8.723099,3.513683,318.3031,462.7136, 1.6128218,-0.42422441,-0.36210159,-0.863703827,-0.59565212,-0.31119918, 0.4485366, 1.48798800,-0.27927543,-0.538082872,-0.73465324,-0.21906343, 0.3944231042,-0.42089495
2001,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.03,0,27,5.096142,11.200491, 9.170982,3.393891,331.3030,462.1360, 1.7521697,-0.01233624, 0.15234545,-0.310977969,-0.61380193, 0.21404051, 0.1182884, 1.58132180, 0.24922279,-0.090569515,-0.04245186, 0.38986638,-0.0679831290,-0.31402640
2002,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.97,0,27,4.689467,10.726319, 9.709534,3.055792,310.5317,447.1435, 1.5431479,-0.60777056,-0.40403225,-1.194125429,-1.08488583, 0.84560930,-0.8137943, 1.33699667,-0.25069509, 0.480028065,-0.81043656,-0.08964907,-1.1105970550,-0.68310701
2003,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.50,0,27,5.776912,11.197977, 9.177787,3.495467,346.1926,478.5943,-0.0941888, 0.98441357, 0.14939549, 0.322092295,-0.09665809, 0.22202077, 0.3983187,-0.32493290, 1.41591188,-0.187776545, 0.79663116, 0.52302037, 0.0126116645, 0.38410896
2004,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.18,0,27,5.171828,11.808369, 9.626328,3.482541,338.8441,504.0628,-1.2089713, 0.09847928, 0.86560844, 0.009651763, 0.70359282, 0.74803243, 0.3626840,-1.45359761, 0.58330681, 0.310774166, 0.55072786, 1.28085450,-0.0903004995, 1.24033302
2005,black-legged kittiwake,Middleton,black-legged kittiwake_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.37,0,27,5.786934,12.324531, 7.738764,2.992001,360.5263,501.2810,-0.5470692, 0.99908799, 1.47125524, 0.931531720, 0.61618763,-1.46554636,-0.9896574,-0.79486718, 1.51615114,-1.913510445, 1.51483228, 1.91050195,-1.4882924587, 1.18588593
