year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,0.99,0,37,4.800316,5.584882,7.228747,18.38788,155.6663,180.4903, 1.51264755,-0.06114439,-1.2344931,-1.39965358,-2.14069713, 0.610618400, 2.44959171, 0.18488703, 1.20773137, 0.25311533,-1.186337539, 0.53571928, 1.42468195,-1.33203803
1994,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,0.95,0,37,4.336732,5.635476,6.663106,17.04581,159.7976,197.3161, 1.36858588,-1.23669238,-1.1125322,-0.77918335,-0.18481928,-0.005374603, 1.26707909, 0.23289697,-0.10850329,-0.33485135,-0.609732089, 0.38881479, 0.46937195, 0.45873443
1995,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,0.82,0,37,4.640681,5.916497,7.684268,16.22014,167.5577,198.2615, 0.90038545,-0.46594541,-0.4351058, 0.38630387,-0.07492167, 1.106688892, 0.53957762,-0.05242350, 0.52672670, 0.80517533, 0.515185053, 0.81329921,-0.04873052, 0.41587475
1996,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,0.76,0,37,4.244183,5.249851,6.627727,15.25948,168.5018,194.5389, 0.68429294,-1.47137602,-2.0421151, 0.52810957,-0.50764414,-0.043902866,-0.30685953,-0.09482771,-0.60905119,-0.31751637, 0.619715368,-1.03072850,-0.70357227,-0.15725689
1997,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,0.36,0,37,4.293281,5.311649,5.276669,14.71722,160.8661,191.8289,-0.75632378,-1.34687584,-1.8931458,-0.61870580,-0.82266267,-1.515230232,-0.78464748,-1.37094779,-0.60972858,-1.76100681,-0.561080671,-1.10285432,-1.00756842,-0.60033651
1998,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,0.55,0,37,4.207740,5.604531,5.768585,15.82825,163.4122,198.1398,-0.07203084,-1.56378721,-1.1871271,-0.23630769,-0.08907072,-0.979524609, 0.19428086,-0.53134986,-0.94664783,-1.19752739,-0.209368532,-0.60200730, 0.12734809, 0.01754247
1999,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,0.62,0,37,4.660091,6.031964,7.978443,14.80638,171.1186,211.1914, 0.18007709,-0.41672449,-0.1567616, 0.92111726, 1.42808313, 1.427051520,-0.70608952,-0.13312861, 0.08557673, 1.23675941, 0.920665147, 0.23910997,-0.63483771, 1.43133143
2000,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,0.60,0,37,4.759139,5.809924,7.201195,16.02080,167.7530,192.8821, 0.10804625,-0.16555976,-0.6920092, 0.41563419,-0.70024530, 0.580614046, 0.36394044,-0.06823778, 0.22707299, 0.41796947, 0.391085508,-0.46946247, 0.55557321,-0.78801378
2001,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,0.45,0,37,4.409583,5.852047,8.065333,13.94399,185.3643,212.8584,-0.43218501,-1.05195778,-0.5904670, 3.06067564, 1.62186136, 1.521675490,-1.46594531,-0.48073903,-0.76382380, 1.38661533, 3.015325092,-0.52532170,-1.17173518, 1.45542420
2002,black-legged kittiwake,Rost,black-legged kittiwake_Rost,Northern European Seas,Northern Norway and Finnmark,1.08,0,37,4.538366,6.689255,7.822105,14.35620,167.0102,213.0938, 1.83678631,-0.72539278, 1.4276953, 0.30407647, 1.64922089, 1.256795934,-1.10274630, 1.90677065,-0.53658786, 1.14925705, 0.241218765, 1.35136265,-0.72376241, 1.41646315
