year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.70,0,35,6.867290,11.65488,17.99927,5.116035,80.38852,127.7323, 1.04958008,-0.7022390,-0.99310170, 0.342378462,-0.029389856, 1.6880800, 0.34247101,-0.005856018, 0.365019246, 0.88494699, 1.12770600, 0.271026259,-0.16071777, 0.550330389
1994,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.75,0,35,6.573930,11.85151,17.62905,4.902623,75.71974,127.3283, 1.21886719,-1.1575746,-0.65351024,-0.622498910,-0.085259146, 1.4626489, 0.00302332, 0.393268403,-0.248081390, 0.78447716, 0.05446164, 0.431206414,-0.40745351, 0.444352801
1995,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.54,0,35,6.772899,11.68407,15.66893,5.120020,73.13217,133.2996, 0.50786133,-0.8487462,-0.94269498,-1.157258961, 0.740522673, 0.2691104, 0.34880907,-0.104951023,-0.087937888,-0.29168187,-0.58291053,-0.027529150, 0.02456358, 1.220688053
1996,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.61,0,35,5.998428,10.74567,11.74004,5.560841,77.28416,114.2447, 0.74486328,-2.0508332,-2.56340107,-0.299187072,-1.894596335,-2.1232272, 1.04996815, 0.327786487,-1.429629599,-2.57422183, 0.17830410,-1.807925580, 0.80547337,-1.463215789
1997,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.28,0,35,7.027824,12.01517,15.50221,5.655586,71.48338,124.1753,-0.37243164,-0.4530674,-0.37085404,-1.498007954,-0.521283264, 0.1675934, 1.20066644,-0.610823757, 0.037611709,-0.18118542,-1.11161919, 0.234791590, 1.02944177,-0.138025820
1998,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.08,0,35,7.626614,12.01111,15.02712,4.876583,74.33673,120.3672,-1.04958008, 0.4763366,-0.37786203,-0.908317618,-1.047911411,-0.1216945,-0.03839542,-1.126338393, 0.845571412,-0.37583931,-0.60727639, 0.087814225,-0.14283060,-0.712115338
1999,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.71,0,35,7.596909,12.18484,16.71513,5.167801,80.66748,122.1632, 1.08343750, 0.4302314,-0.07781265, 0.400029693,-0.799543366, 0.9061521, 0.42480853, 1.151262109, 0.687102075, 0.73905950, 0.62147824, 0.257754717, 0.38068223,-0.510546931
2000,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.48,0,35,7.231548,11.84021,16.58750,4.833545,79.19295,121.1063, 0.30471680,-0.1368602,-0.67302166, 0.095295889,-0.945696848, 0.8284377,-0.10684984, 0.500073451, 0.016726520, 0.74081551, 0.24290662,-0.457702702,-0.09714788,-0.702838320
2001,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.01,1,35,6.698928,11.95336,18.33365,4.377617,70.92495,124.5413,-1.28658203,-0.9635592,-0.47760353,-1.613416689,-0.470678043, 1.8916844,-0.83203653,-0.980744209,-0.904176131, 1.87595077,-1.53388892,-0.372672499,-0.77498692,-0.273295689
2002,black-legged kittiwake,Shetland,black-legged kittiwake_Shetland,Northern European Seas,North Sea,0.22,0,35,7.887422,12.63979,13.32296,4.639986,86.92398,131.4988,-0.57557617, 0.8811479, 0.70793380, 1.693033068, 0.491488906,-1.1593732,-0.41472037,-0.176308059, 0.855407414,-1.11080010, 1.71023274, 0.712337390,-0.31680373, 0.644056818
