year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.178571429,0,43, 0.45959708,7.811767, 9.388979,5.571326,82.14826,135.2037,-0.14103133, 0.2997058, 0.11642800, 0.96551656, 0.39507211,-0.24841207,-0.10893801, 0.176415779,-0.13941677,-0.20014020, 0.02181319, 0.04040893, 0.90698960, 0.03020085
1994,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.036363636,0,43,-0.11791625,6.970865, 7.844167,5.580927,84.25581,145.5337,-0.83425415,-0.5842724,-0.72274846, 1.35113943, 2.01103083,-0.92139444,-0.09467532,-0.585276309,-0.85105263,-0.83429735, 0.54328561,-0.68872748, 0.68910001, 1.75391838
1995,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.000000000,1,43,-0.18665232,7.333225, 7.811703,4.699172,84.68673,137.9868,-1.01151660,-0.6894841,-0.36113187, 1.42998484, 0.83045134,-0.93553712,-1.40449626,-0.824622086,-0.80054968,-0.81471943, 0.75038973,-0.22957394,-0.83439273, 0.67153468
1996,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.033333333,0,43, 0.71487193,7.447839,10.225622,4.997936,77.03571,128.4560,-0.84902602, 0.6904456,-0.24675340, 0.03006211,-0.66050420, 0.11606346,-0.96069190,-0.717828871, 0.71846705, 0.26549715,-0.52886512,-0.03016162,-0.58577969,-0.73078807
1997,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.264150943,0,43, 0.13186869,8.284006, 8.058931,4.625524,83.37508,127.7320, 0.27614463,-0.2019358, 0.58769705, 1.18998931,-0.77375964,-0.82783453,-1.51389831, 0.358030357,-0.05145494,-0.65488946, 0.74413911, 0.87681961,-1.31569694,-0.76497374
1998,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.450000000,0,43, 0.16685912,6.897685, 9.899870,5.729010,83.35860,128.8322, 1.18210628,-0.1483773,-0.79577786, 1.18697486,-0.60165343,-0.02584701, 0.12529813, 1.221066542, 0.10793538, 0.16550483, 0.84661085,-0.44662762, 0.16526914,-0.52336078
1999,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.000000000,1,43,-0.45069171,6.009112, 8.359048,6.218940,77.58140,126.2771,-1.01151660,-1.0936394,-1.68252712, 0.12990803,-1.00135792,-0.69709151, 0.85307469,-1.009095851,-0.74812259,-0.49243751,-0.11256061,-1.28585229, 0.75329582,-0.86312154
2000,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.590000000,0,43, 0.09203733,7.203956,10.540979,5.905807,77.60702,132.1907, 1.86456673,-0.2629042,-0.49013594, 0.13459590,-0.07627062, 0.25344573, 0.38792466, 1.836833919, 0.15518908, 0.46629727,-0.01756822,-0.05843962, 0.16687638, 0.11234648
2001,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.065217391,0,43, 0.63012906,7.283729,14.984493,6.773712,65.49873,124.2551,-0.69360024, 0.5607328,-0.41052584,-2.08088266,-1.31765813, 2.18921979, 1.67717244,-0.745100663, 1.03477495, 2.40516426,-2.15033310, 0.04368889, 1.35333525,-1.08822332
2002,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.710000000,0,43, 0.34239785,8.122048,11.574189,5.708736,71.34272,125.3177, 2.44953283, 0.1203133, 0.42607192,-1.01159591,-1.15144034, 0.70355373, 0.09518102, 2.380650753, 0.63367668, 0.91748651,-1.00592350, 0.89030197,-0.31296461,-0.89075084
2003,black-legged kittiwake,St. George,black-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.360000000,0,43, 0.96285951,8.444818,12.314556,5.139648,72.36703,127.7777, 0.74338170, 1.0700309, 0.74817926,-0.82417551,-0.76660436, 1.02608759,-0.75018214, 0.663503919, 1.60608786, 1.23290408,-0.75097110, 1.20992154,-1.22415573,-0.48422318
