year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1996,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.048327138,0,38, 0.71487193,7.447839,10.225622,4.997936,77.03571,128.4560,-0.9950801, 0.62265331,-0.27373357, 0.1966589741,-0.55443569, 0.02772711,-1.00818598,-1.12283415,-0.020594612,-0.49189383,-0.0002728524,-0.37731584,-0.14368950, 0.31543586
1997,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.293333333,0,38, 0.13186869,8.284006, 8.058931,4.625524,83.37508,127.7320, 0.1104414,-0.23236796, 0.52196762, 1.4219232984,-0.67389374,-0.89573153,-1.55088995,-0.03445937,-0.631171813,-1.25736320, 1.2451638484, 0.55016965,-0.94353936, 0.08379854
1998,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.400000000,0,38, 0.16685912,6.897685, 9.899870,5.729010,83.35860,128.8322, 0.5917447,-0.18105168,-0.79726306, 1.4187390395,-0.49236186,-0.11111040, 0.05718688, 0.43487035,-0.361117300,-0.33013528, 1.2617363474,-0.65401907, 0.43220598, 0.15813364
1999,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.031802120,0,38,-0.45069171,6.009112, 8.359048,6.218940,77.58140,126.2771,-1.0696446,-1.08673976,-1.64283447, 0.3021290747,-0.91395680,-0.76781964, 0.77114684,-1.23331942,-1.073772989,-0.85962021, 0.1644675218,-1.40129087, 0.93864885,-0.36567558
2000,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.650000000,0,38, 0.09203733,7.203956,10.540979,5.905807,77.60702,132.1907, 1.7197994,-0.29078386,-0.50581419, 0.3070810101, 0.06179435, 0.16213448, 0.31482753, 1.55449718,-0.110490523, 0.18217574, 0.1883449779,-0.18271331, 0.29962686, 0.51284377
2001,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.169014085,0,38, 0.63012906,7.283729,14.984493,6.773712,65.49873,124.2551,-0.4505142, 0.49837106,-0.42990093,-2.0331924613,-1.24757968, 2.05599090, 1.57959936,-0.61227061, 0.820285110, 2.17249152,-2.1334185914,-0.04198511, 1.40651040,-0.88877957
2002,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.720000000,0,38, 0.34239785,8.122048,11.574189,5.708736,71.34272,125.3177, 2.0356547, 0.07639002, 0.36784786,-0.9036742355,-1.07225872, 0.60249575, 0.02764153, 1.88261716, 0.514218964, 0.80007324,-0.9858060822, 0.80383630,-0.27852130,-0.80072542
2003,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.580000000,0,38, 0.96285951,8.444818,12.314556,5.139648,72.36703,127.7777, 1.4039441, 0.98634709, 0.67499755,-0.7056967019,-0.66634659, 0.91804539,-0.80167269, 1.26479860, 1.514385077, 1.18131729,-0.7701498837, 1.14231626,-1.21609499,-0.47709761
2004,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.560000000,0,38, 0.61588930,9.078537,10.556966,5.217491,72.52266,136.2866, 1.3136997, 0.47748730, 1.27804837,-0.6756162950, 0.73762967, 0.16894821,-0.68823461, 1.19361938, 1.070028505, 0.48253203,-0.7228064307, 1.75995501,-1.18610199, 0.84957682
2005,black-legged kittiwake,St. Paul,black-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.050000000,0,38, 0.68294403,8.491729,12.545285,6.046062,74.51623,132.0373,-0.9875318, 0.57582847, 0.71963866,-0.2903032631, 0.03648927, 1.01638346, 0.51921635,-1.08337379, 1.207167047, 1.36489672,-0.3206459712, 1.19939089,-0.03728170, 0.07611707
