year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.00,1,28,-0.637907132, 8.347273,6.134773,6.408856,153.3411,268.1621,-1.29146440,-0.6593665,-2.03125913,-1.81947881,-2.94539066,-1.10766581, 2.0594870,-1.17139088,-0.57981117,-0.355262608,-1.14503769,-0.912118332, 2.18247945,-2.04021071
1995,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.52,0,28,-0.583240625, 8.893345,6.092765,5.158438,159.9897,288.6481, 0.03648205,-0.4359082,-0.89620904,-1.04793712,-1.07557079,-1.15342697,-0.4163743, 0.12163085,-0.24828076,-0.448492675,-0.58644031, 0.106841207,-0.32861909,-0.35254109
1996,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.62,0,28,-0.270664439, 9.453469,7.333315,4.769613,163.3507,291.7758, 0.29185636, 0.8417982, 0.26804748,-0.65790927,-0.79009785, 0.19796228,-1.1862580, 0.34849726, 1.12102570, 0.852437477,-0.38769512, 1.157057240,-1.13030353,-0.23495252
1997,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.27,0,28,-0.035986697, 9.630799,7.879486,4.763353,170.2377,302.5386,-0.60195374, 1.8010820, 0.63664028, 0.14128805, 0.19225986, 0.79293223,-1.1986532,-0.56740395, 2.15543744, 1.393958117, 0.24188118, 1.413659625,-1.17106277, 0.59378669
1999,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.79,0,28,-0.929437014, 8.780308,5.574315,4.981131,178.8316,315.8423, 0.72599270,-1.8510427,-1.13116575, 1.13857159, 1.40652396,-1.71819926,-0.7674462, 0.74486819,-1.43803132,-1.173612870, 1.09120533,-0.464086757,-0.76478325, 1.66869819
2000,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.82,0,28,-0.687946963, 9.181713,6.767698,5.450381,170.2824,301.4221, 0.80260499,-0.8639125,-0.29681532, 0.14647836, 0.09035269,-0.41819061, 0.1616806, 0.81222299,-0.40871727, 0.066966085,-0.02718565, 0.262373397, 0.14285258, 0.22744019
2001,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.53,0,28,-0.964593831, 8.150176,5.421739,5.651586,185.0402,320.5845, 0.06201948,-1.9947520,-2.44093825, 1.85904611, 1.83935772,-1.88440737, 0.5600726, 0.06879677,-1.51384490,-1.461670567, 1.58074600,-1.987589741, 0.52319030, 1.86562437
2002,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.00,1,28,-0.553628675, 9.277970,5.833587,4.875876,188.5659,318.3012,-1.29146440,-0.3148645,-0.09673978, 2.26819073, 1.63095916,-1.43576223,-0.9758547,-1.28111099, 0.17528232,-1.078435522, 1.90691616, 0.252818583,-1.02735468, 1.56067085
2003,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.96,0,28,-0.629150047, 8.912215,7.744237,5.251143,180.6371,307.4523, 1.16012903,-0.6235705,-0.85698759, 1.34809362, 0.64074815, 0.64559937,-0.2328148, 1.18047534,-0.14065598, 0.934525790, 0.92550622,-0.609169297,-0.29549600, 0.48817076
2004,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.76,0,28,-0.510482530, 9.102194,8.528411,5.104180,165.7557,295.7425, 0.64938040,-0.1384976,-0.46210287,-0.37882169,-0.42804389, 1.49983710,-0.5238059, 0.68613642, 0.32071260, 1.717373029,-0.84106029,-0.313974585,-0.59423156,-0.64864450
2006,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.99,0,28,-0.573270238, 9.212362,7.444517,6.517052,164.4357,292.1813, 1.23674133,-0.3951526,-0.23311066,-0.53199978,-0.75308765, 0.31909988, 2.2737165, 1.29632386, 0.02388112, 0.462255121,-1.01222793,-0.182622303, 2.19898284,-1.02744558
2007,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.71,0,28,-0.571007370, 9.348659,7.196473,5.561117,176.0408,298.3252, 0.52169324,-0.3859028, 0.05019380, 0.81471675,-0.19231440, 0.04889405, 0.3809410, 0.61051909,-0.02351751, 0.114678403, 0.33816069, 0.005092288, 0.30533598,-0.50616377
2008,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.26,0,28,-0.449492030, 9.983758,7.389411,5.508039,161.9774,292.0213,-0.62749118, 0.1108111, 1.37029171,-0.81727158,-0.76768391, 0.25907002, 0.2758445,-0.50300521, 0.40007583, 0.244493294,-1.26849391, 1.231650394, 0.20280475,-1.10675884
2009,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.11,0,28,-0.329194241, 9.733153,6.995789,6.070381,163.7709,304.7755,-1.01055265, 0.6025480, 0.84939064,-0.60915043, 0.39642399,-0.16972081, 1.3892974,-0.84398976, 0.80222018,-0.267648817,-1.01337739, 0.619259601, 1.32225946, 0.04638937
2010,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.36,0,28,-0.640188010, 9.379099,6.781848,5.434036,168.6723,298.4015,-0.37211686,-0.6686900, 0.11346508,-0.04036733,-0.18535072,-0.40277719, 0.1293179,-0.15706025,-0.57508251,-0.587046679,-0.37593729,-0.206105620, 0.07171836,-0.53207914
2011,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.00,1,28,-0.431239819, 9.660661,7.489325,4.710825,174.2681,297.1941,-1.29146440, 0.1854200, 0.69871027, 0.60899973,-0.29554732, 0.36791143,-1.3026590,-1.02149726, 0.15649078, 0.094310270, 0.36374842, 0.291749976,-1.34738350,-0.62470367
2012,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.00,1,28,-0.576468487, 9.273103,7.415383,5.433179,164.1089,299.6752,-1.29146440,-0.4082260,-0.10685496,-0.56992859,-0.06909200, 0.28736313, 0.1276195,-0.96016994,-0.57616399,-0.078559913,-0.70319962,-0.599154779, 0.09920660,-0.36641039
2014,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.03,1,28,-0.251150420, 9.450379,7.740066,5.652637,174.3692,300.1280,-1.21485210, 0.9215650, 0.26162606, 0.62072796,-0.02776323, 0.64105481, 0.5621528,-0.81581351, 0.59814614, 0.179819700, 0.62109885,-0.313963204, 0.55348803,-0.27897778
2015,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.00,1,28,-0.308161010, 9.470702,6.749854,5.075197,164.4286,300.1997,-1.29146440, 0.6885248, 0.30386814,-0.53282959,-0.02122175,-0.43762895,-0.5811930,-0.81826487, 0.19315312,-0.997166333,-0.37715514,-0.352960509,-0.56667297,-0.21206657
2016,black-legged kittiwake,Talan,black-legged kittiwake_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.68,0,28,-0.537692758, 9.828386,6.751515,5.508920,165.5857,308.7980, 0.44508095,-0.2497238, 1.04733930,-0.39855376, 0.76357563,-0.43581984, 0.2775900, 0.99885821,-0.93352048,-1.096649696,-0.06591411, 0.311321326, 0.31873141, 0.64736641
