year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.23,0,32,9.013241,17.09539,6.623246,1.504194,301.8963,526.0569,-0.23920700, 0.0785900233,-2.8531914,-0.69195344,-2.13037030, 0.52561886, 2.04506530,-0.3859941, 0.2369163, 0.48850741,-0.39374121,-1.64328143, 1.4842659,-1.60436804
1994,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.23,0,32,8.467643,19.10634,6.575951,1.453378,298.2786,583.9945,-0.23920700,-0.8674261571, 0.5797708,-0.89748158, 0.36989170, 0.48067156, 1.32762317,-0.2984259,-0.7154123, 0.48110636,-0.69801221, 1.63210964, 0.8771760, 0.81884477
1995,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.28,0,32,8.968172,18.46082,5.663048,1.238458,312.4167,558.9609,-0.12529891, 0.0004440722,-0.5222104,-0.09428460,-0.71041680,-0.38691691,-1.70674301,-0.1060247, 0.1453513,-0.35325802, 0.01580264, 0.38015465,-2.0550240,-0.33414180
1996,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.00,1,32,8.112104,17.49971,6.563854,1.327836,297.5410,535.2933,-0.76318425,-1.4838966575,-2.1629562,-0.93938080,-1.73177585, 0.46917416,-0.44485497,-0.6744920,-1.3468902, 0.53173497,-0.90931494,-1.40296771,-0.6991559,-1.42380778
1997,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.00,1,32,8.647206,18.30101,5.168501,1.338953,308.2691,571.5083,-0.76318425,-0.5560796236,-0.7950290,-0.32991224,-0.16894157,-0.85691553,-0.28789659,-0.6141491,-0.4277683,-0.76977496,-0.37050703,-0.16981973,-0.4564034, 0.07509068
1998,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.37,0,32,9.897221,18.91148,4.870440,1.246682,361.0006,621.1322, 0.07973567, 1.6113294395, 0.2471187, 2.66578811, 1.97254979,-1.14018052,-1.59063832, 0.2800387, 1.7301515,-1.03278236, 2.56389341, 0.74514606,-1.6815370, 2.15701735
1999,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.87,0,32,8.834473,18.66928,6.505315,1.445778,327.4019,599.8554, 1.21881663,-0.2313768304,-0.1663430, 0.75703065, 1.05436036, 0.41354099, 1.22031296, 1.4613124,-0.1228382, 0.53687457, 0.60319676, 0.21209966, 1.1988363, 1.18363436
2000,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.00,1,32,8.596412,18.99083,7.036462,1.422999,302.1159,555.3154,-0.76318425,-0.6441527979, 0.3825813,-0.67948133,-0.86773466, 0.91832261, 0.89871138,-0.4875709,-0.5466919, 1.05326944,-0.87589366, 0.64903654, 0.9384707,-0.78928309
2001,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.58,0,32,9.143074,19.14667,5.812144,1.407908,311.1033,587.0966, 0.55814967, 0.3037080918, 0.6486187,-0.16890354, 0.50376340,-0.24522148, 0.68565450, 0.8578056, 0.3892971,-0.10298356,-0.39853359, 0.81068392, 0.7784638, 0.53576366
2002,black-tailed gull,Teuri,black-tailed gull_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.86,0,32,9.928300,18.67455,4.054666,1.307735,356.1362,602.8520, 1.19603501, 1.6652168524,-0.1573490, 2.38943862, 1.18367464,-1.91546089,-0.72865257, 1.5106584, 1.7381398,-1.77025406, 2.13595160,-0.09207664,-0.5909793, 1.17359473
