year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,0.66,0,36,17.25442,17.93701,2.525884,1.271477,597.3408,627.7554,-0.02347090, 0.38805070, 0.53562025, 0.39101208, 0.39895325,-0.76846009,-1.7348485,-0.4814397, 0.08769995, 0.02692410, 0.3841692, 0.156480004,-0.73948895, 0.5376533
1994,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,0.39,0,36,17.04168,17.51380,2.522421,2.119240,600.9942,610.9953,-0.93601942, 0.09886025,-0.06556089, 0.47423887, 0.02062551,-0.77119318,-1.0037585,-1.2090579, 0.02978161,-0.34360597, 0.5648906,-0.207735415,-0.35375312, 0.1648171
1996,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,1.02,0,36,16.82419,17.86933,3.204173,3.721592,544.9060,596.4857, 1.19326046,-0.19678389, 0.43947681,-0.80347668,-0.30690189,-0.23317730, 0.3780713, 1.0761763,-0.07333607,-0.11971230,-0.6346582, 0.496353366, 0.72690939,-0.1617846
1997,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,0.60,0,36,16.60011,17.81633,4.009610,3.776843,603.0870,653.3744,-0.22625946,-0.50138502, 0.36418171, 0.52191229, 0.97725267, 0.40244747, 0.4257187,-0.2163653,-0.22415639, 0.25546506, 0.7495697, 0.582194719, 0.51757635, 1.1187299
1998,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,0.87,0,36,18.06250,17.76717,3.084757,2.340006,587.4261,610.8678, 0.68628906, 1.48650249, 0.29435006, 0.16515114, 0.01774724,-0.32741625,-0.8133755, 0.7941854, 1.87876627,-0.68117127, 0.4323197, 0.635584877,-0.93431143, 0.1510185
1999,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,0.57,0,36,15.77695,15.98241,5.429633,5.255891,495.4296,500.0829,-0.32765374,-1.62033496,-2.24095702,-1.93057188,-2.48301030, 1.52308260, 1.7012139,-0.1507311,-1.15178168, 1.01622976,-1.6432201,-1.814415034, 1.41167120,-2.3625107
2000,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,0.90,0,36,16.24941,17.22874,4.304683,4.194725,528.5679,579.3999, 0.78768334,-0.97811165,-0.47050933,-1.17566781,-0.69257982, 0.63530938, 0.7860901, 1.0046562,-0.47201453, 0.02903352,-0.8874607, 0.003425186, 0.37212746,-0.5894178
2001,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,0.80,0,36,16.25192,16.98829,4.119407,3.143225,537.9223,566.5949, 0.44970241,-0.97469718,-0.81207075,-0.96256946,-0.98162880, 0.48909565,-0.1206986, 0.6777494,-0.46980187,-0.16292844,-0.6928348,-0.328658346,-0.61489437,-0.9003701
2002,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,0.50,0,36,16.05642,16.39379,6.046038,4.588177,533.8484,566.0500,-0.56424039,-1.24044126,-1.65657380,-1.05537529,-0.99392790, 2.00952932, 1.1253936,-0.3540952,-0.77549341, 1.36543179,-0.8234410,-1.201598139, 0.59515160,-0.9391383
2003,brown pelican,Anacapa,brown pelican_Anacapa,Warm Temperate Northeast Pacific,Southern California Bight,0.70,0,36,16.74336,17.05061,2.948164,4.509771,602.6398,642.2735, 0.11172148,-0.30665696,-0.72353720, 0.51172537, 0.72667166,-0.43521078, 1.0577781, 0.2749888, 0.07959777,-1.01770695, 0.6865314,-0.334912921, 0.53567661, 0.7504264
