year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,0.82,0,28,17.25442,17.93701,2.525884,1.271477,597.3408,627.7554, 0.44581701, 0.30967056, 0.5341696, 0.50766465, 0.5204612,-0.81285012,-1.7507534,-0.18498340, 0.2053873,-0.279262080, 0.5092094, 0.01936471,-0.98105234, 0.3931954
1996,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,1.10,0,28,16.82419,17.86933,3.204173,3.721592,544.9060,596.4857, 1.13249783,-0.22414586, 0.4443362,-0.66499273,-0.1688524,-0.24188696, 0.2954964, 0.44526454,-0.1344902,-0.089926719,-0.5381133, 0.24537188, 0.72511478,-0.2011534
1997,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,0.84,0,28,16.60011,17.81633,4.009610,3.776843,603.0870,653.3744, 0.49486564,-0.50217505, 0.3739829, 0.63617243, 1.0852084, 0.43610668, 0.3416403,-0.22643219,-0.2630542, 0.281323448, 0.8569935, 0.43169913, 0.48659282, 1.1290259
1998,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,0.87,0,28,18.06250,17.76717,3.084757,2.340006,587.4261,610.8678, 0.56843859, 1.31229867, 0.3087344, 0.28593172, 0.1481887,-0.34240760,-0.8583561,-0.16455546, 1.6564107,-0.729049968, 0.5693013, 0.56397130,-0.94265278, 0.2492782
1999,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,0.72,0,28,15.77695,15.98241,5.429633,5.255891,495.4296,500.0829, 0.20057386,-1.52351315,-2.0601759,-1.77148827,-2.2939645, 1.63144004, 1.5768893,-0.52174807,-1.1188837, 1.087822868,-1.4569633,-1.66657832, 1.31876030,-2.1544492
2000,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,1.11,0,28,16.24941,17.22874,4.304683,4.194725,528.5679,579.3999, 1.15702215,-0.93731433,-0.4059259,-1.03038140,-0.5454921, 0.68449048, 0.6906408, 0.46774067,-0.5166413, 0.058782836,-0.7160941, 0.06687245, 0.31409627,-0.3863975
2001,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,1.03,0,28,16.25192,16.98829,4.119407,3.143225,537.9223,566.5949, 0.96082763,-0.93419772,-0.7250701,-0.82117780,-0.8277673, 0.52853058,-0.1875356, 0.32695493,-0.5419549,-0.104383196,-0.5385212,-0.23223089,-0.62707892,-0.6679397
2002,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,1.03,0,28,16.05642,16.39379,6.046038,4.588177,533.8484,566.0500, 0.96082763,-1.17675956,-1.5141468,-0.91228744,-0.8397782, 2.15031186, 1.0192381, 0.40473205,-0.8574209, 1.585076289,-0.6926547,-1.06042683, 0.57211283,-0.6980640
2003,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,0.81,0,28,16.74336,17.05061,2.948164,4.509771,602.6398,642.2735, 0.42129270,-0.32443413,-0.6423471, 0.62617170, 0.8404997,-0.45738739, 0.9537561,-0.03465744,-0.1224734,-0.880060431, 0.7513876,-0.28690620, 0.55446558, 0.9452542
2015,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,0.75,0,28,18.49699,18.97586,1.950371,1.714290,647.1054,682.7423, 0.27414681, 1.85139468, 1.9130348, 1.62060455, 1.7325975,-1.29730060,-1.3809324,-0.05928955, 1.8915036,-1.502526774, 1.6200104, 2.11103670,-1.67697124, 1.7815459
2016,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,0.57,0,28,17.71090,18.11678,3.580189,2.175516,576.9031,630.4061,-0.16729086, 0.87605181, 0.7727829, 0.05059335, 0.5788922, 0.07463224,-0.9957323,-0.35584512, 0.7098351, 0.161737277,-0.1072038, 0.75418579,-1.13310279, 0.5531882
2017,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,0.41,0,28,16.95406,17.77199,2.941089,3.940045,604.9615,626.2719,-0.55967990,-0.06300287, 0.3151302, 0.67809452, 0.4877579,-0.46334273, 0.4779404,-0.58098372,-0.4800191,-0.009022161, 0.3317012, 0.02077413, 0.55465507, 0.3685550
2018,brown pelican,Santa Barbara,brown pelican_Santa Barbara,Warm Temperate Northeast Pacific,Southern California Bight,0.60,0,28,17.81387,17.67270,2.198832,4.063338,640.4744,591.3455,-0.09371792, 1.00380350, 0.1833487, 1.47230810,-0.2821616,-1.08815314, 0.5809111, 0.07459704, 0.2915140,-0.191732702, 0.9059255,-0.44592622, 0.92712766,-0.5137097
