year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2005,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.64,0,17,-0.53082683,1.966995,4.520828,4.684118,179.1443,263.8053,-0.64989370,-1.14049148,-0.94023888, 0.80622581, 1.17537879,-1.83424330,-0.65375940,-1.6937855,-0.31968234,-1.51573230, 0.35300165, 0.1738763,-0.58383687, 0.92467418
2006,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.84,0,17,-0.22482894,2.375433,7.038459,4.881206,181.0587,255.2008, 1.47475879, 0.06757436,-0.24558440, 1.10269650, 0.21534411, 1.90654701,-0.37488493, 0.7326034, 0.73194142, 2.10995599, 0.63268160, 0.5956896,-0.09513145,-0.04594951
2007,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.86,0,17,-0.21295766,2.466494,5.924900,4.491216,173.8521,252.5457, 1.68722404, 0.11444166,-0.09071165,-0.01334371,-0.08089331, 0.25197957,-0.92671141, 1.2117661, 0.63140902, 0.35634816,-0.48133309, 0.5039554,-0.48785465,-0.34206734
2008,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.84,0,17,-0.26490932,1.917080,6.050445,4.975364,167.6812,241.5623, 1.47475879,-0.09066116,-1.02513246,-0.96897631,-1.30634534, 0.43851877,-0.24165370, 1.2309594, 0.28794887, 0.45990862,-1.41612395,-0.6508380, 0.30557868,-1.55669116
2009,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.72,0,17,-0.44196861,1.838191,5.064509,5.404610,169.4071,246.2080, 0.19996729,-0.78968324,-1.15930382,-0.70170272,-0.78801132,-1.02642181, 0.36571706, 0.1527875,-0.54038816,-1.07194906,-1.10919238,-0.9791477, 0.97059740,-1.01682033
2010,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.67,0,17,-0.61815414,2.093689,5.171358,5.188296,182.6419,262.6273,-0.33119583,-1.48525578,-0.72476325, 1.34786831, 1.04394552,-0.86766141, 0.05963944,-0.2167949,-1.35623327,-0.96404411, 0.99885288,-0.7125112, 0.67144007, 0.84738191
2011,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.47,0,17,-0.57501359,2.366671,5.458167,5.030855,187.8662,272.7875,-2.45584832,-1.31493883,-0.26048654, 2.15690455, 2.17755469,-0.44151042,-0.16313627,-2.2149056,-1.29714652,-0.57268692, 1.88517959,-0.3899043, 0.40485698, 2.02394510
2012,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.70,0,17, 0.03030955,2.789199,6.766869,5.302857,177.7499,248.2985,-0.01249796, 1.07484962, 0.45813189, 0.59027821,-0.55476598, 1.50300893, 0.22173939, 0.3199477, 0.99045410, 1.35310026, 0.41465996, 0.2132786, 0.69519760,-0.65471295
2013,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.71,0,17,-0.28070369,3.500785,5.848349,4.861017,168.3865,256.4246, 0.09373467,-0.15301662, 1.66836768,-0.85975492, 0.35188765, 0.13823663,-0.40345249, 0.4826443,-0.33055758,-0.01434257,-0.92045022, 1.3343132,-0.07525699, 0.31631190
2014,common murre,Bjornoya,common murre_Bjornoya,Arctic,North and East Barents Sea,0.68,0,17,-0.16463844,2.170523,5.333632,4.524552,168.3469,245.1132,-0.22496320, 0.30520373,-0.59408768,-0.86587785,-0.91015692,-0.62654797,-0.87954108, 0.1853715, 0.04355971,-0.76573604,-0.79283395,-0.9911091,-0.74733595,-0.87065284
