year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.000,1,30,3.688806,8.157002, 7.972107,3.652708,501.1323,598.6049,-1.13899629,-0.09443416,-0.1185031, 1.4690319, 0.95827190,-2.36547907,-0.61142718,-1.03455541,-0.21055317,-1.649442794,-0.334672265, 0.422869931,-0.88666379,-0.13323540
1994,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.667,0,30,3.681065,7.660133, 9.535872,4.072642,496.6567,610.4853, 0.92674429,-0.11687659,-1.1298688, 1.2876931, 1.45334659,-0.98677188, 0.61955830, 0.91120339,-0.07452042,-0.449907672,-0.103898869,-0.587788906, 0.34937807, 0.67976887
1995,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.500,0,30,3.532203,7.930229, 9.781056,3.787732,490.2084,576.4507, 0.40953488,-0.54846014,-0.5800946, 1.0264243, 0.03506901,-0.77060281,-0.21562087, 0.28941706,-0.36703730,-0.397323399, 0.012796115,-0.043284487,-0.47841255,-0.45018400
1997,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.688,0,30,4.180940,8.579165,10.267906,3.632155,505.4740,595.9451, 0.99178260, 1.33237122, 0.7408024, 1.6449470, 0.84743358,-0.34136728,-0.67167639, 0.78249272, 1.63345222,-0.116085400, 0.975134390, 1.266366000,-0.92474735, 0.62090042
1998,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.500,0,30,3.654102,7.966129,12.928103,4.719593,472.8158,565.1235, 0.40953488,-0.19504835,-0.5070196, 0.3217192,-0.43695338, 2.00401831, 2.51602047, 0.12647781, 0.20628229, 2.096889920,-0.038426091, 0.001320783, 2.27500241,-0.43437156
1999,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.125,0,30,3.208892,7.165568,12.745140,4.133763,460.6419,562.4886,-0.75186350,-1.48581274,-2.1365483,-0.1715345,-0.54675309, 1.84270742, 0.79872839,-1.09328289,-1.00364096, 1.818756033,-0.256160733,-1.651407774, 0.57209540,-0.34466116
2000,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.579,0,30,3.111482,7.757454,11.733089,4.170611,473.5040,572.6958, 0.65420280,-1.76822549,-0.9317747, 0.3496057,-0.12140288, 0.95042353, 0.90674499, 0.26982595,-1.22462110, 0.825236414, 0.506350231,-0.475810775, 0.69682926, 0.25059430
2001,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.375,0,30,3.353321,7.858793,11.344112,4.029704,444.0655,568.1998, 0.02240208,-1.06708143,-0.7255001,-0.8431673,-0.30875800, 0.60747902, 0.49369259,-0.38952737,-0.48145293, 0.396643439,-0.479200366,-0.304689485, 0.30282628, 0.20353958
2002,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.500,0,30,3.450323,8.021603,10.415453,3.570468,450.0140,538.2796, 0.40953488,-0.78584870,-0.3941050,-0.6021520,-1.55558243,-0.21128185,-0.85250251,-0.01454231,-0.17760461,-0.492178636,-0.065110787,-0.014424329,-1.02198722,-0.93258934
2003,common murre,Buldir,common murre_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.462,0,30,3.936491,8.418902, 9.755011,4.025416,445.8694,559.1517, 0.29184651, 0.62365829, 0.4145912,-0.7700798,-0.68580908,-0.79356576, 0.48112128,-0.12897355, 1.23510946,-1.128936476,-0.094112752, 0.747165219, 0.33535035, 0.01827466
