year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.51,0,25, 0.45959708,7.811767, 9.388979,5.571326,82.14826,135.2037, 0.97985332, 0.25650757, 0.08454867, 1.05321712, 0.445539464,-0.344438344, 0.01511417, 1.21417262, 0.22328509, 0.336177891,-0.41763759, 0.36260652, 0.8930422,-0.23888966
1994,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.27,0,25,-0.11791625,6.970865, 7.844167,5.580927,84.25581,145.5337,-0.34726179,-0.79008476,-0.82763420, 1.43608469, 1.965193249,-1.083206407, 0.02889521,-0.25973882,-0.71686637,-0.526613825, 0.23201877,-0.51034327, 0.6523140, 1.47920264
1995,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.43,0,25,-0.18665232,7.333225, 7.811703,4.699172,84.68673,137.9868, 0.53748162,-0.91465097,-0.43455780, 1.51436674, 0.854971756,-1.098731572,-1.23669338, 0.49929177,-0.75048322,-0.657282185, 0.55808351,-0.08789101,-0.8421494, 0.54743145
1996,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.23,0,25, 0.71487193,7.447839,10.225622,4.997936,77.03571,128.4560,-0.56844764, 0.71912669,-0.31022867, 0.12444656,-0.547128559, 0.055665570,-0.80787619,-0.71126675, 0.95875225, 0.390852222,-0.60306009, 0.05595675,-0.6165724,-0.69620678
1997,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.31,0,25, 0.13186869,8.284006, 8.058931,4.625524,83.37508,127.7320,-0.12607593,-0.33741469, 0.59681705, 1.27608600,-0.653634407,-0.980500790,-1.34240095,-0.35244079,-0.03782282,-0.742696415, 0.75834982, 0.97266390,-1.3287027,-0.66423877
1998,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.19,0,25, 0.16685912,6.897685, 9.899870,5.729010,83.35860,128.8322,-0.78963349,-0.27400366,-0.90701699, 1.27309308,-0.491785067,-0.100116992, 0.24144021,-1.07846055, 0.07006299, 0.049185565, 0.94612126,-0.53136592, 0.1031674,-0.38390379
1999,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.25,0,25,-0.45069171,6.009112, 8.359048,6.218940,77.58140,126.2771,-0.45785471,-1.39315352,-1.87091139, 0.22357907,-0.867668708,-0.836977309, 0.94463993,-0.78806046,-1.02010362,-0.767296110, 0.06836549,-1.50531334, 0.6800306,-0.66129000
2000,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.44,0,25, 0.09203733,7.203956,10.540979,5.905807,77.60702,132.1907, 0.59277808,-0.40959863,-0.57478493, 0.22823345, 0.002286946, 0.206477302, 0.49519790, 0.24227719,-0.02305700, 0.205417600, 0.22577201,-0.22909710, 0.1298867, 0.28717485
2001,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.25,0,25, 0.63012906,7.283729,14.984493,6.773712,65.49873,124.2551,-0.45785471, 0.56555233,-0.48824893,-1.97141537,-1.165118645, 2.331478077, 1.74090809,-0.80756721, 0.95009416, 2.268557935,-1.84013078,-0.17232854, 1.3005295,-0.82170975
2002,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.66,0,25, 0.34239785,8.122048,11.574189,5.708736,71.34272,125.3177, 1.80930026, 0.04411452, 0.42113091,-0.90976875,-1.008806798, 0.700584469, 0.21234015, 1.48145968, 0.41116503, 0.584684345,-0.66374423, 0.69742665,-0.2774712,-0.62686514
2003,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.36,0,25, 0.96285951,8.444818,12.314556,5.139648,72.36703,127.7777, 0.15040638, 1.16853951, 0.77126085,-0.72368748,-0.646905556, 1.054646814,-0.60447530,-0.13447875, 1.50260718, 0.894647167,-0.38192915, 0.99807471,-1.1180848,-0.24641935
2004,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.46,0,25, 0.61588930,9.078537,10.556966,5.217491,72.52266,136.2866, 0.70337100, 0.53974648, 1.45869813,-0.69541458, 0.604845045, 0.214122651,-0.49274687, 0.48252486, 0.82533978, 0.018903941,-0.27692854, 1.62617291,-1.0045200, 1.00388759
2005,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.34,0,25, 0.68294403,8.491729,12.545285,6.046062,74.51623,132.0373, 0.03981345, 0.66126569, 0.82214870,-0.33325461,-0.020274438, 1.164987002, 0.69650634,-0.09591017, 0.88289310, 0.943429686, 0.14295302, 0.92042718, 0.2122041, 0.35733621
2006,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.32,0,25,-0.12972129,7.219642,10.116415,5.939631,70.09561,130.1273,-0.07077947,-0.81147831,-0.55776836,-1.13632438,-0.301250618, 0.003440162, 0.54374488,-0.10029704,-0.66930832,-0.235575300,-0.62140126,-0.53854340, 0.1125481, 0.03493993
2007,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.38,0,25,-0.24814189,7.769601, 9.156946,5.501010,77.55329,143.5854, 0.26099930,-1.02608477, 0.03880796, 0.21847250, 1.678580809,-0.455402319,-0.08581059, 0.35877132,-0.97886372,-0.702995468, 0.75310500,-0.03087782,-0.4382673, 1.95336303
2009,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.33,0,25,-0.44789882,6.605929, 6.777709,6.317197,76.01623,126.3847,-0.01548301,-1.38809213,-1.22350377,-0.06075659,-0.851840528,-1.593213584, 1.08566826, 0.23066212,-1.45131154,-1.840503962, 0.47457917,-1.39195750, 0.8375862,-0.65845485
2011,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.15,0,25, 0.06474563,6.482137,10.595822,7.146625,71.91680,122.4099,-1.01081934,-0.45905772,-1.35778955,-0.80547821,-1.436566592, 0.232704683, 2.27615241,-0.59521756,-0.64820912,-0.005402463,-0.28844529,-1.63486845, 2.1580796,-1.34456568
2013,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.39,0,25,-0.39841127,7.182307, 6.935692,5.868866,77.59307,131.4221, 0.31629577,-1.29840885,-0.59826828, 0.22569839,-0.110772969,-1.517661887, 0.44217659, 0.92243773,-1.62898377,-1.737705344, 0.70542236,-0.99382956, 0.4797475,-0.14014504
2014,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.38,0,25, 0.61074965,8.626793, 9.618002,4.975569,81.17947,140.7646, 0.26099930, 0.53043219, 0.96866151, 0.87722105, 1.263613633,-0.234913429,-0.83997947, 1.07876498, 0.04294224,-0.428012737, 1.30062996, 0.44476063,-0.6211302, 1.09288036
2016,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.00,1,25, 1.39138156,9.691738,10.869082,4.419928,79.59109,145.3147,-1.84026628, 1.94512401, 2.12387824, 0.58866929, 1.932981206, 0.363384382,-1.63749455,-0.78979335, 1.28522749, 0.206109681, 0.93675702, 1.46178054,-1.2117324, 1.60089851
2017,common murre,Cape Peirce,common murre_Cape Peirce,Arctic,Eastern Bering Sea,0.00,1,25, 0.65072099,8.594311,10.486352,4.958528,71.83281,131.2979,-1.84026628, 0.60286984, 0.93342612,-0.82073606,-0.129044843, 0.180353496,-0.86443754,-0.53600257,-0.24492477, 0.067783862,-0.56697560, 0.12327439,-0.2061279,-0.64246518
