year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.58,0,23,6.937716,12.22849,5.201312,3.099405,391.6475,544.4894,-0.53814414, 0.33933252, 0.17649154, 0.66227266, 0.5251509,-1.58998182,-0.68627913,-1.10849539, 0.01268139,-0.326397663,-0.60913373, 0.02879367, 0.43569320,-0.43630458
1994,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.76,0,23,6.561114,11.85936,5.766699,2.817444,400.6467,555.2324, 0.39015450,-0.20450668,-0.24912757, 1.04169252, 0.8918980,-1.04077457,-1.66180065,-0.07215441,-0.37098335,-0.125683731, 0.11252665,-0.27648559,-0.84247570, 0.22492443
1995,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.80,0,23,6.007896,11.29089,6.558243,3.278675,380.3327,524.2221, 0.59644309,-1.00339253,-0.90457623, 0.18522633,-0.1667374,-0.27188057,-0.06604445, 0.23587272,-1.02982778, 0.329790876,-0.43566215,-0.82826336, 0.48070419,-0.57054541
1996,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.78,0,23,6.856438,11.58552,6.056473,3.050780,383.6632,521.7827, 0.49329879, 0.22196078,-0.56486754, 0.32564414,-0.2500140,-0.75929278,-0.85451075, 0.22816318, 0.31543389,-0.435966783,-0.02093011,-0.40155273,-0.55026735,-0.42197263
1997,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.88,0,23,7.122328,13.21589,5.968181,2.914159,384.8531,548.3987, 1.00902026, 0.60592462, 1.31497453, 0.37581230, 0.6586063,-0.84505817,-1.32718945, 0.83301561, 0.79917303,-0.765003692, 0.26958915, 1.54862233,-1.23538020, 0.68718077
1998,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.62,0,23,7.008949,11.60833,8.710856,3.809042,403.6171,545.6296,-0.33185555, 0.44219790,-0.53855895, 1.16692720, 0.5640747, 1.81913301, 1.76891272,-0.42503302, 0.71508856, 1.690989891, 1.26709202,-0.25124714, 1.67835888, 0.76186599
1999,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.81,0,23,5.772573,11.07948,7.900799,3.686701,356.4857,495.4623, 0.64801523,-1.34321541,-1.14833179,-0.82019111,-1.1485405, 1.03225650, 1.34563868, 0.63136115,-1.01081557, 0.730989726,-0.54760147,-0.82402491, 1.10279285,-0.81284868
2003,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.71,0,23,7.088684,12.24030,7.326793,3.328640,374.4932,521.2137, 0.13229377, 0.55734009, 0.19010634,-0.06097215,-0.2694387, 0.47467609, 0.10682516, 0.18585928, 0.92911606, 0.035359588, 0.35007918, 0.53473933,-0.25824160, 0.17283746
2004,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.70,0,23,6.750586,13.10842,7.332474,3.212350,372.0720,558.9494, 0.08072162, 0.06910359, 1.19105343,-0.16305574, 1.0187907, 0.48019460,-0.29551401, 0.19820294, 0.46012264,-0.062097698, 0.35249414, 1.53934357,-0.75273061, 1.53633489
2005,common murre,East Amatuli,common murre_East Amatuli,Cold Temperate Northeast Pacific,Gulf of Alaska,0.69,0,23,7.572811,13.11116,5.789230,3.243164,389.1651,541.8887, 0.02914947, 1.25645375, 1.19421415, 0.55761297, 0.4363689,-1.01888763,-0.18890176, 0.20424280, 1.64658282,-1.629081787, 1.14369825, 1.52949247,-0.70819714, 0.99786478
