year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1998,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.7200,0,24,2.0038258,11.14949, 8.290375,1.922185,179.99728,202.1835,-0.1640056,-0.0434171,-1.47164095, 3.031708797, 2.91323117,-1.50754740, 0.12729305,-0.51500713, 0.089634745,-0.77046840, 1.1616314,-1.2493730395, 0.00511054, 1.0176690032
1999,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.6300,0,24,1.7980615,12.30566, 8.724329,1.885960,153.78423,182.4510,-1.5970640,-0.3622948, 0.24222556, 1.962681806, 1.99171782,-1.10862980,-0.03275734,-1.84365329,-0.185365364,-0.46130875, 0.5975405, 0.4211895530,-0.03507512, 0.6298746780
2005,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.7790,0,24,1.8528482,12.27960,10.905962,1.778458, 98.75905,131.8317, 0.7754439,-0.2773906, 0.20359506,-0.281368350,-0.37222257, 0.89686647,-0.50772727, 0.62579351,-0.068685331, 1.45395420,-1.1958088, 0.3423592275,-0.41109870,-1.2597014441
2006,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.7740,0,24,1.1270574,12.27119, 8.773314,1.907765,104.34897,143.9770, 0.6958295,-1.4021651, 0.19112451,-0.053398985, 0.19496731,-1.06359973, 0.06358275, 0.63564466,-1.173785959,-0.59722071,-0.5713739, 0.2927929315, 0.23823928,-0.2775020531
2007,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.8554,0,24,2.5542944,12.62395,10.407432,1.878140, 98.69534,131.5037, 1.9919513, 0.8096567, 0.71405540,-0.283966498,-0.38753755, 0.43858597,-0.06731001, 2.01375853, 1.045608014, 0.81378088,-0.4597111, 0.7817321655, 0.16445610,-0.5043521349
2008,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.7980,0,24,3.1350788,12.90332,11.385640,1.743681, 81.97917,117.9435, 1.0779784, 1.7097114, 1.12817983,-0.965689635,-1.02080496, 1.33781728,-0.66138280, 1.17430440, 1.941133078, 1.62135270,-0.8534393, 1.1649690142,-0.39342549,-0.8413195299
2009,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.7161,0,24,2.2434186,11.74507, 9.353836,1.749297, 84.47804,123.6441,-0.2261048, 0.3278853,-0.58877223,-0.863779843,-0.75458483,-0.52994681,-0.63656850,-0.06273349, 0.542675475,-0.33854626,-0.5177698,-0.5797665354,-0.35333838,-0.3381541289
2010,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.6734,0,24,1.0543012,11.77904, 8.118239,1.825172,107.99039,140.5518,-0.9060114,-1.5149170,-0.53841947, 0.095106535, 0.03500863,-1.66578599,-0.30133338,-0.68306819,-1.328860158,-1.56699571, 0.6206409,-0.5540931777,-0.02374883, 0.6290298559
2011,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.7084,0,24,0.9331094,12.16702, 8.630581,2.271269,104.45190,134.2343,-0.3487109,-1.7027308, 0.03671587,-0.049201243,-0.26001775,-1.19480846, 1.66962758,-0.07366916,-1.557509034,-1.18910382, 0.6016223,-0.0005331547, 1.92064817, 0.4522392466
2012,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.6916,0,24,1.9761372,11.53108,11.033770,1.921637, 91.48964,119.9956,-0.6162151,-0.0863268,-0.90599083,-0.577831109,-0.92497216, 1.01435544, 0.12486988,-0.29654829, 0.005958055, 0.92649904, 0.1440462,-0.9617110834, 0.32840814,-0.1538341441
2013,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.6972,0,24,1.2989042,12.55127, 9.509523,1.775837, 92.89069,127.7125,-0.5270471,-1.1358502, 0.60631641,-0.520693180,-0.56458776,-0.38682964,-0.51930896,-0.17022848,-1.108604061,-0.56872246, 0.2180026, 0.5352290039,-0.38417141, 0.2060765233
2014,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.6699,0,24,2.5067381,12.44633,10.897831,1.720293, 94.79865,135.3195,-0.9617415, 0.7359575, 0.45075622,-0.442882283,-0.20933868, 0.88939176,-0.76471457,-0.57524455, 0.686063093, 0.61298713, 0.2583967, 0.3674057541,-0.71889613, 0.5014971327
2015,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.6975,0,24,2.5058995,10.76998,10.612167,2.182089,102.66243,130.7573,-0.5222702, 0.7346579,-2.03422423,-0.122179810,-0.42239591, 0.62679171, 1.27560851,-0.11356836, 0.595521108, 0.25539989, 0.4874471,-2.1267336711, 1.21118947, 0.1692566777
2016,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.6299,0,24,2.9562510,13.18075, 9.915114,1.571297, 99.01290,142.5153,-1.5986563, 1.4325780, 1.53943079,-0.271015939, 0.12670508,-0.01398399,-1.42301391,-1.17522296, 1.192097013,-0.48083839, 0.1927236, 1.4408664589,-1.61858882, 0.5398196872
2017,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.6768,0,24,2.4300150,11.55147,10.628495,1.814048,105.51193,135.6057,-0.8518736, 0.6170579,-0.87576062,-0.005970918,-0.19597604, 0.64180128,-0.35048299,-0.42118214, 0.263130935, 0.07900891, 0.2576460,-0.9772757581,-0.69813215,-0.0207541582
2018,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.7000,0,24,1.9252909,13.21482,10.844808,1.750182, 96.89120,142.4052,-0.4824630,-0.1651245, 1.58993557,-0.357543371, 0.12156409, 0.84064963,-0.63265872,-0.05198678,-0.644599270, 0.18144391,-0.3482844, 1.4885737056,-1.15330052,-0.0004615018
2019,common murre,Karlso,common murre_Karlso,Northern European Seas,Baltic Sea,0.8000,0,24,2.2400805,11.94829,10.784132,2.490055, 98.44990,134.0044, 1.1098242, 0.3227121,-0.28752690,-0.293975973,-0.27075590, 0.78487228, 2.63627666, 1.53261174,-0.294412340, 0.02877782,-0.5933102,-0.3856313943, 1.92172385,-0.7493837095
