year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.75,0,50,13.50487,15.06160, 2.334423, 4.497644,547.9956,602.8948, 0.22182940, 0.67634480, 0.994348549, 0.1002026, 0.5500864,-1.76651935,-2.70703389, 0.08300293,-0.36216522,-0.500286765,-0.47526383, 0.175723009,-1.331828794,-0.07761080
1994,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.82,0,50,13.42719,14.28639, 3.024335, 7.230266,559.8822,557.2432, 0.55221362, 0.57742407,-0.195401884, 0.3845602,-0.4438142,-1.47306756,-1.30634772, 0.40921603,-0.21033271,-0.439080797,-0.13565407,-0.830068153,-0.164491917,-1.01109106
1995,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.83,0,50,13.56591,14.71976, 2.320260, 7.406997,566.4088,614.3856, 0.59941136, 0.75407959, 0.469708109, 0.5406917, 0.8002574,-1.77254352,-1.21575917, 0.45543012, 0.19657192,-0.954621371, 0.07441132, 0.004482542,-0.291944945, 0.29194447
1996,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.61,0,50,13.88724,14.47082, 5.389369,11.023178,601.8436,610.0773,-0.43893903, 1.16331731, 0.087654987, 1.3883769, 0.7064596,-0.46710827, 0.63782147,-0.58071647, 0.81555459, 0.150930453, 0.97471221,-0.222648449, 1.358901834, 0.25565435
1997,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.75,0,50,12.99463,15.38816,10.455032, 9.517093,601.6389,656.0828, 0.22182940, 0.02653309, 1.495534370, 1.3834801, 1.7080639, 1.68755422,-0.13416662, 0.08544320,-0.13198881, 2.121890717, 1.02111274, 1.325634499, 0.399487597, 1.31331008
1998,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.39,0,50,13.73647,15.11936, 3.950307, 6.158233,578.1135,641.1515,-1.47728941, 0.97130178, 1.083000030, 0.8206962, 1.3829868,-1.07920857,-1.85584986,-1.60509692, 0.98151655,-0.812393099, 0.50830794, 1.038985153,-1.494314083, 1.04282807
1999,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.82,0,50,11.84938,13.12683,10.827609,13.408616,492.3853,492.9860, 0.55221362,-1.43200042,-1.975024463,-1.2301271,-1.8427836, 1.84602840, 1.86054864, 0.43617226,-1.27355312, 1.961504048,-1.49385445,-1.907672915, 2.065273694,-2.12980362
2000,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.82,0,50,12.75827,14.56208, 5.585514, 9.978216,523.0887,603.0010, 0.55221362,-0.27447881, 0.227724211,-0.4956278, 0.5523971,-0.38367876, 0.10219556, 0.45112587, 0.01169687,-0.403361751,-0.71201256, 0.391923616, 0.165417606, 0.31705958
2001,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.81,0,50,12.02048,14.06774, 7.255745, 9.995104,491.1775,534.6595, 0.50501587,-1.21408829,-0.530974047,-1.2590199,-0.9354921, 0.32674820, 0.11085166, 0.42206918,-0.82068836, 0.188087775,-1.42938041,-0.284445355, 0.047878421,-1.12060347
2002,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.77,0,50,12.10341,13.56715, 7.569933,11.215901,529.5372,554.8152, 0.31622489,-1.10847480,-1.299247648,-0.3413665,-0.4966746, 0.46038695, 0.73660752, 0.25460671,-0.62835477, 0.218930288,-0.46702087,-0.984908237, 0.562746695,-0.63301612
2003,common murre,SE Farallon,common murre_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.72,0,50,13.40286,14.40741, 6.108588,10.294463,590.3416,606.5201, 0.08023617, 0.54643830,-0.009655743, 1.1132209, 0.6290143,-0.16119125, 0.26429712, 0.04313394, 1.09277428,-0.489262955, 1.03095436, 0.357975818,-0.005143566, 0.53998627
