year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1997,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.77,0,32, 9.646684,13.01234,12.16761,5.127990,145.1741,219.5922,-0.34824128,-0.55890127,-0.20312937, 0.7021630,-0.14269224,-1.4258376,-0.2766208,-0.57148783,-0.29483323,-1.00656698, 1.3151821616, 0.154020771, 0.01871351, 0.1915369322
1998,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.74,0,32, 9.952050,12.99739,13.19637,4.639662,141.5620,217.6622,-0.75102637, 0.68395732,-0.24642125,-0.9753403,-0.34013878,-0.4765506,-0.7555263,-1.00070072, 0.84997444,-0.08923281,-0.5187747589, 0.053598301,-0.55818916,-0.0604322719
1999,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.85,0,32, 9.631118,12.89682,14.49197,6.268133,142.9276,218.9184, 0.72585230,-0.62225252,-0.53754364,-0.3411627,-0.21162888, 0.7189634, 0.8415227, 0.45154688,-0.54370851, 1.07344803,-0.0266616066,-0.291131482, 0.95102677, 0.0170032712
2000,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.86,0,32, 9.531805,12.82115,13.88805,5.999039,142.0442,215.9276, 0.86011400,-1.02646517,-0.75656144,-0.7513871,-0.51759502, 0.1616949, 0.5776213, 0.56297423,-1.02481643, 0.48246602,-0.5645612298,-0.560233471, 0.60945637,-0.3365889043
2001,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.81,0,32, 9.516155,13.03292,15.15596,4.398315,142.3725,223.7653, 0.18880551,-1.09015928,-0.14355094,-0.5989237, 0.28423059, 1.3316623,-0.9922165,-0.12937187,-1.15482801, 1.61783947,-0.5253837989, 0.006216042,-1.02788632, 0.4210589755
2002,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.89,0,32,10.110524,12.70601,12.45137,6.395472,142.5539,207.0870, 1.26289909, 1.32895682,-1.08986556,-0.5146799,-1.42201212,-1.1640058, 0.9664044, 0.92548082, 1.20854844,-0.91330299,-0.5400368229,-0.983136372, 0.87339373,-1.3259131466
2003,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.90,0,32,10.038272,13.32662,12.76761,5.063537,143.8967,216.9330, 1.39716079, 1.03488590, 0.70662292, 0.1089111,-0.41473801,-0.8721872,-0.3398296, 1.04229835, 0.86931570,-0.65783916,-0.0009532656, 0.773837516,-0.48001699,-0.3559201351
2004,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.86,0,32, 9.889358,13.17135,12.85099,5.979198,142.5074,219.5971, 0.86011400, 0.42879978, 0.25714655,-0.5362979,-0.14219122,-0.7952502, 0.5581631, 0.48960412, 0.22864557,-0.61813723,-0.7162805120, 0.288369745, 0.38096302,-0.1172061289
2005,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.81,0,32, 9.771419,13.09940,14.66739,4.791111,146.1416,229.6730, 0.18880551,-0.05122103, 0.04889788, 1.1514750, 0.88860617, 0.8808320,-0.6069998,-0.19555508,-0.27538142, 1.01982939, 0.9157633481, 0.047652882,-0.81104847, 0.8832067920
2006,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.81,0,32, 9.827890,13.23326,12.35351,6.430259,143.2420,227.2454, 0.18880551, 0.17861810, 0.43638347,-0.1951230, 0.64025232,-1.2543052, 1.0005203,-0.20760907,-0.05897066,-1.15430369,-0.4721744057, 0.406193482, 0.77978714, 0.6079167872
2007,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.80,0,32,10.291372,13.45572,12.59955,4.645101,146.0790,226.7767, 0.05454381, 2.06502074, 1.08032102, 1.1223950, 0.59230493,-1.0272728,-0.7501916,-0.35212803, 1.82458143,-0.96714758, 0.8183930221, 1.024709234,-0.97744515, 0.5364815531
2008,common murre,Skomer,common murre_Skomer,Northern European Seas,Celtic Seas,0.75,0,32, 9.987999,13.38790,13.55170,4.218277,141.1921,226.9826,-0.61676467, 0.83027381, 0.88402492,-1.1471164, 0.61336391,-0.1486699,-1.1687804,-1.03189705, 0.59756177,-0.12930138,-1.4636796285, 0.806514532,-1.39239024, 0.5375009984
