year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1996,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.5049505,0,34,2.3884148, 8.660397, 9.488168,4.126750,89.35049,139.0928, 0.20296984, 0.3483086,-0.3939624,-0.02521336,-0.54974618,-0.1609669,-1.21724037, 0.56060403,-0.16539445,-0.43304498, 0.22993124,-0.37509391,-0.61504029, 0.27960098
1997,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.3827160,0,34,2.3557924, 9.377136, 7.360556,4.211231,93.75854,136.8444,-0.56294701, 0.3112780, 0.2945597, 0.86792089,-0.85394661,-1.4602930,-1.06018163,-0.31528000, 0.02598293,-1.63977953, 1.07639880, 0.40969449,-0.66892352,-0.12251019
1998,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.1527778,0,34,1.5898185, 8.401742,10.134385,4.962998,93.05333,139.4667,-2.00373235,-0.5582009,-0.6424337, 0.72503545,-0.49915990, 0.2336763, 0.33741866,-1.85240246,-0.64014311, 0.13738138, 0.89018489,-0.44438352, 0.53935888, 0.13788308
1999,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.5135135,0,34,0.8595611, 7.377144, 8.613336,5.349032,91.65019,133.8030, 0.25662542,-1.3871370,-1.6266939, 0.44073961,-1.26544766,-0.6952241, 1.05508973, 0.32524825,-1.29078163,-0.71772721, 0.56589879,-1.35907937, 1.08933618,-0.71928080
2000,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.6013514,0,34,1.7030328, 8.649584, 9.749620,5.065142,89.19492,145.1714, 0.80701430,-0.4296881,-0.4043488,-0.05673335, 0.27267321,-0.0012989, 0.52731372, 0.80656014,-0.18009032, 0.04058980, 0.03177377,-0.08052079, 0.41549050, 0.73148126
2001,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.6666667,0,34,2.1960577, 8.379544,13.187927,5.608180,80.96599,134.2382, 1.21627784, 0.1299585,-0.6637577,-1.72403068,-1.20656840, 2.0984652, 1.53686711, 1.16037674, 0.50774348, 2.19534589,-1.66883741,-0.29706730, 1.30059832,-0.83160187
2002,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.5230769,0,34,2.3235277, 9.462961,11.392094,4.749642,81.63704,137.7320, 0.31654942, 0.2746533, 0.3770061,-1.58806763,-0.73385370, 1.0017553,-0.05922921, 0.21883145, 0.75557027, 1.14422798,-1.56285000, 0.77320803,-0.39831945,-0.43921136
2003,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.5826772,0,34,2.8590833, 9.732002,10.944957,4.234243,83.30711,140.5133, 0.69000249, 0.8825779, 0.6354554,-1.24968737,-0.35755443, 0.7286897,-1.01740096, 0.56409772, 1.44157161, 0.90735459,-1.25110717, 1.04781790,-1.43768857,-0.13971898
2004,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.4656489,0,34,2.6924762,10.560967, 9.393195,4.646996,86.88633,149.8467,-0.04329289, 0.6934574, 1.4317839,-0.52448568, 0.90523720,-0.2189667,-0.25005722,-0.18375441, 1.30547265,-0.01350962,-0.54920471, 1.84695602,-0.72991809, 1.04978307
2005,common murre,St. Paul,common murre_St. Paul,Arctic,Eastern Bering Sea,0.2968750,0,34,2.4528111, 9.981129,11.590014,4.995389,86.37588,145.5680,-1.10082409, 0.4214066, 0.8747738,-0.62791174, 0.32633428, 1.1226245, 0.39763557,-1.24221230, 1.06138827, 1.34547394,-0.67259178, 1.27940452,-0.12017445, 0.40110787
