year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.920,0,24,1.4211396,10.20121,7.848949,4.838271,178.3025,294.5540, 0.8085550,-0.92667751,-2.14261799,-2.04423244,-2.9415973, 0.24150313, 0.93775258, 0.77448737, 0.21976357, 0.87438427,-1.81355374,-0.44408367, 1.00977470,-2.26100044
1995,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.470,0,24,1.6040033,10.76454,6.860955,4.344139,189.5785,317.0935,-0.7722549,-0.47180777,-0.96467427,-0.90536330,-1.1184169,-1.10621957,-0.42307569,-0.84883382, 0.55963810,-0.53987529,-0.79511653, 0.47016571,-0.39238684,-0.56745882
1999,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.780,0,24,1.1066960,10.88748,6.255301,4.270511,208.6746,346.6590, 0.3167475,-1.70884967,-0.70761297, 1.02332782, 1.2730918,-1.93239209,-0.62584716, 0.20457187,-0.79334616,-1.43259837, 1.02916766, 0.47768288,-0.63086624, 1.70407724
2000,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.800,0,24,1.5911525,11.16315,7.929648,4.226787,202.3152,329.8162, 0.3870057,-0.50377389,-0.13115945, 0.38103177,-0.0892986, 0.35158506,-0.74626209, 0.24614796, 0.29484014, 0.78481451, 0.29848967, 0.81874248,-0.78136378, 0.23138036
2001,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.900,0,24,0.8729059,10.30568,6.905707,4.706697,218.2068,349.0352, 0.7382968,-2.29039783,-1.92417892, 1.98608221, 1.4653001,-1.04517370, 0.57540074, 0.57567150,-1.60962041,-0.67852222, 1.83118316,-1.19552070, 0.51584178, 1.68533873
2002,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.020,1,24,2.0144531,10.86865,6.513374,4.107006,219.4303,345.7922,-2.3530648, 0.54917797,-0.74697860, 2.10964952, 1.2029774,-1.58035477,-1.07613679,-2.53054312, 1.11117165,-1.28029496, 1.89841852,-0.22541389,-1.15452768, 1.33204193
2003,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.860,0,24,1.5674270,10.86742,8.161990,4.576368,207.5861,337.9377, 0.5977803,-0.56279051,-0.74955076, 0.91339076, 0.5676415, 0.66852299, 0.21647582, 0.41236364,-0.12052771, 0.90197744, 0.66185279,-0.42092934, 0.12487832, 0.61539808
2004,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.820,0,24,1.7405946,11.03773,8.669067,4.334920,192.3678,327.6485, 0.4572639,-0.13203966,-0.39342213,-0.62364321,-0.2646367, 1.36022725,-0.44846683, 0.27082334, 0.18954513, 1.52706263,-0.89946314,-0.24359380,-0.54764560,-0.28852188
2006,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.870,0,24,1.6201456,11.24629,8.319591,5.326318,192.0588,322.2793, 0.6329095,-0.43165409, 0.04268765,-0.65486063,-0.6989397, 0.88350677, 2.28182327, 0.45235960,-0.23169445, 0.98370938,-0.93893754, 0.02787311, 2.18068856,-0.78480047
2007,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.920,0,24,1.7150502,11.37085,7.914772,4.529057,201.8533,328.0623, 0.8085550,-0.19558084, 0.30314938, 0.33438228,-0.2311673, 0.33129206, 0.08618278, 0.64081042,-0.11819346, 0.36484820, 0.05807339, 0.13784216,-0.01128255,-0.36933750
2008,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.750,0,24,2.2002791,11.76952,7.645544,4.713114,191.3866,320.9066, 0.2113601, 1.01141647, 1.13679433,-0.72274876,-0.8099776,-0.03596067, 0.59307222, 0.06333541, 0.96528445,-0.06906469,-0.97526464, 0.83514466, 0.50490161,-0.99079105
2009,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.630,0,24,2.1675881,11.55091,7.843114,5.046766,196.0264,336.1566,-0.2101892, 0.93009833, 0.67966356,-0.25412870, 0.4235713, 0.23354380, 1.51194204,-0.33157949, 0.75949977, 0.13376591,-0.46682657, 0.25582163, 1.43869148, 0.20978076
2010,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.870,0,24,1.6143919,11.39360,7.565243,4.313616,198.7059,327.3861, 0.6329095,-0.44596618, 0.35072754, 0.01649529,-0.2858632,-0.14550009,-0.50713577, 0.54506811,-0.74197841,-0.31196556,-0.14035959,-0.18115643,-0.55984095,-0.52296469
2011,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.870,0,24,1.9484111,11.63871,7.551853,4.035100,201.8099,326.0691, 0.6329095, 0.38489977, 0.86326055, 0.33000160,-0.3923907,-0.16376585,-1.27416335, 0.58553166,-0.03747326,-0.39693258, 0.24501471, 0.23748475,-1.30069782,-0.64313695
2012,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.740,0,24,1.7773263,11.14338,8.095490,4.454045,196.7495,328.4982, 0.1762310,-0.04067009,-0.17250758,-0.18109497,-0.1959081, 0.57780978,-0.12039783, 0.17623135,-0.59035105, 0.27792807,-0.17818887,-0.87802501,-0.11513625,-0.45063288
2015,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.120,0,24,1.9143940,11.48648,6.702722,4.433123,192.3209,333.2111,-2.0017737, 0.30028287, 0.54493278,-0.62838397, 0.1853117,-1.32206482,-0.17801569,-1.94748074,-0.37765315,-1.68867520,-0.52155990,-0.22617606,-0.13533273,-0.06372546
2016,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.840,0,24,2.0350828,11.66596,7.612417,4.581022,198.3401,341.0410, 0.5275221, 0.60049391, 0.92024744,-0.02044969, 0.8186606,-0.08115030, 0.22929406, 0.64302238,-0.20664431,-0.51450306, 0.20631735, 0.09769739, 0.31502373, 0.58497723
2017,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.900,0,24,2.6020164,12.04983,8.015356,3.949083,189.6862,335.2186, 0.7382968, 2.01072999, 1.72293903,-0.89448638, 0.3476949, 0.46849868,-1.51105367, 0.92191885, 1.07344244,-0.03161015,-0.53175138, 0.86309798,-1.37665197, 0.13903145
2018,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.000,1,24,2.1113368,11.70015,7.774019,4.137958,191.8178,328.0639,-2.4233231, 0.79017439, 0.99173907,-0.67919277,-0.2310350, 0.13929127,-0.99089526,-2.16466460,-0.27820961,-0.42758733,-0.16446481, 0.10875723,-0.80219618,-0.40501237
2019,common murre,Talan,common murre_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.966,0,24,2.2491309,11.40596,9.253023,5.031357,203.6339,342.9735, 0.9701489, 1.13293434, 0.37656134, 0.51422355, 0.9749818, 2.15680106, 1.46950662, 1.31075831,-0.06749326, 1.52313899, 1.19696945,-0.51541107, 1.71812841, 0.84535673
