year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1998,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.50,0,22, 7.544871,14.92727, 6.376430,1.1386123,353.4460,528.3116, 0.74203228,-0.1430434,-0.40553818, 1.26060719, 1.533322664,-1.25300999,-0.51527321, 0.21349777,-0.35061225,-0.65342834, 1.19596611,-0.18840534,-0.34158371, 1.37979175
1999,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,2.19,0,22, 8.711075,16.52861, 7.932611,1.1694232,304.5707,502.3028, 2.26420119, 0.9027775, 1.82124845,-0.30775015, 0.468628104,-0.51301826,-0.34681588, 1.85314371, 0.86999811, 0.07542300,-0.44547348, 2.07121740,-0.12264639, 0.26263166
2000,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,0.82,0,22, 8.485558,15.10498, 6.343917,1.0417597,330.0532,499.5862,-0.75807622, 0.7005400,-0.15842527, 0.50995540, 0.357418437,-1.26847060,-1.04481112,-1.06172773, 0.81929681,-0.69806413, 0.31103560, 0.11635247,-0.78021492, 0.10901959
2001,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.08,0,22, 6.526587,14.43745,10.824750,1.2708048,299.2270,462.7988,-0.18450532,-1.0562134,-1.08667190,-0.47922414,-1.148510801, 0.86224634, 0.20748480,-0.39082194,-0.80917342, 1.40772364,-0.72745463,-0.79511269, 0.50245444,-1.42924892
2002,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,0.96,0,22, 7.953709,14.64220, 7.725902,1.2032267,340.0362,499.7182,-0.44923035, 0.2235913,-0.80195079, 0.83030109, 0.362824540,-0.61131209,-0.16199609,-0.56828312, 0.57566128,-0.09765837, 0.54464570,-0.50163741, 0.15329371, 0.05981027
2003,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.18,0,22, 6.582814,14.71524,10.422633,1.3725990,307.5965,487.2535, 0.03609887,-1.0057910,-0.70037984,-0.21065628,-0.147433642, 0.67103252, 0.76404050,-0.00576112,-0.57194419, 1.14596828,-0.52185080,-0.39933962, 1.08959718,-0.46266093
2004,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.19,0,22, 6.217816,14.10347, 8.819127,1.2504557,311.7690,479.7565, 0.05815929,-1.3331115,-1.55109142,-0.07676330,-0.454329539,-0.09146357, 0.09622634, 0.08342102,-0.84074101, 0.33785984,-0.40161116,-1.25735166, 0.42199662,-0.77170671
2005,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.34,0,22, 7.351859,14.83883, 7.891534,1.1595069,268.2796,478.1876, 0.38906557,-0.3161320,-0.52852064,-1.47229084,-0.518554556,-0.53255068,-0.40103267, 0.47137797, 0.21150914,-0.15573403,-1.79890626,-0.25010866,-0.08510205,-0.82801849
2006,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,0.35,0,22, 7.501077,15.52320, 5.169998,1.1465589,326.4444,510.4915,-1.79491591,-0.1823166, 0.42314005, 0.39415312, 0.803838002,-1.82669015,-0.47182526,-1.66562392, 0.35734194,-1.50927464, 0.07765592, 0.67819694,-0.17578760, 0.51235044
2007,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.25,0,22, 5.850154,13.90221, 6.575596,1.0055084,327.1019,491.8012, 0.19052180,-1.6628206,-1.83096555, 0.41525328, 0.038731630,-1.15830326,-1.24301398, 0.35672233,-1.13439780,-0.90718329, 0.12076009,-1.60729106,-0.97692255,-0.22471644
2008,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,0.89,0,22, 6.865760,14.86355,10.520484,1.5399415,315.2291,467.4043,-0.60365328,-0.7520520,-0.49415114, 0.03426553,-0.959980523, 0.71756207, 1.67897987,-0.41061528,-0.25811813, 0.89549211,-0.22633788,-0.30988636, 1.90507180,-1.18532597
2009,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,0.53,0,22, 6.631797,15.74335, 9.481214,1.0666962,351.5716,516.7121,-1.39782837,-0.9618641, 0.72927849, 1.20045906, 1.058484779, 0.22337056,-0.90847184,-1.18802394,-0.52567222, 0.32121627, 0.98563121, 0.86610624,-0.73243269, 0.88130509
2010,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.21,0,22, 8.031579,15.81344,10.266804,1.4300602,289.2314,499.5718, 0.10228012, 0.2934234, 0.82675056,-0.79997228, 0.356829516, 0.59693274, 1.07820786, 0.31877991, 0.64862016, 0.60779973,-0.95713878, 0.90811396, 1.19414095, 0.23787871
2011,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,0.61,0,22, 6.721267,14.45121,10.134565,0.9816255,344.9001,501.2600,-1.22134502,-0.8816298,-1.06753381, 0.98637815, 0.425938582, 0.53405060,-1.37359305,-1.00822094,-0.63068134, 0.45104448, 0.89875877,-1.04966206,-1.32781929, 0.37527978
2012,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.78,0,22, 8.594907,16.38440, 5.138933,0.9785039,402.4825,546.1068, 1.35972401, 0.7986008, 1.62070117, 2.83413693, 2.261789447,-1.84146244,-1.39066020, 1.55940132, 0.92204773,-2.02523607, 2.82795046, 1.56705395,-1.42509905, 2.28948579
2013,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.59,0,22, 7.920617,15.98224,10.036747,1.1501911,308.3492,507.8639, 0.94057605, 0.1939155, 1.06146901,-0.18650052, 0.696275111, 0.48753654,-0.45196640, 1.11673553, 0.16660789, 0.19610101,-0.09936829, 0.92827551,-0.57667114, 0.81238972
2014,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.79,0,22, 8.589840,15.44180, 8.515191,1.2355282,299.7608,443.2473, 1.38178443, 0.7940571, 0.30994760,-0.46209367,-1.948874163,-0.23599050, 0.01461117, 1.52435502, 0.59274171,-0.64198232,-0.26975697, 0.08918051,-0.21041274,-1.73427816
2015,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.69,0,22, 8.123328,15.15791,12.331510,1.4109313,283.0451,490.9453, 1.16118024, 0.3757017,-0.08482134,-0.99848231, 0.003695301, 1.57873752, 0.97362092, 1.26009089,-0.02287459, 1.05129500,-0.68905535,-0.40118934, 0.63822457, 0.32683583
2016,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,0.89,0,22, 9.547746,15.70990,10.611285,1.2434394,283.4862,480.3618,-0.60365328, 1.6530820, 0.68277057,-0.98433032,-0.429549962, 0.76073984, 0.05786511,-0.55847365, 1.03399172, 0.10495225,-0.54592733, 0.26277435,-0.39795696, 0.01219821
2017,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,0.85,0,22, 8.455105,16.00325,10.895820,1.7088457,294.6548,490.3871,-0.69189496, 0.6732298, 1.09068494,-0.62594044,-0.019156156, 0.89604112, 2.60245736,-0.71051739,-0.18962766, 0.10501405,-0.04667562, 0.55903318, 2.01615630, 0.55126280
2018,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,0.91,0,22,10.300817,15.73684,11.857845,1.2883533,276.1979,459.4395,-0.55953245, 2.3284155, 0.72022178,-1.21820154,-1.286026372, 1.35350148, 0.30343010,-0.65202801, 1.19853772, 0.42034054,-0.48618913, 0.06888718,-0.42340324,-0.57687351
2019,common tern,Country,common tern_Country,Cold Temperate Northwest Atlantic,Scotian Shelf,1.00,0,22, 6.988079,14.80457,10.379497,1.3302567,294.1137,455.3030,-0.36098868,-0.6423603,-0.57616272,-0.64330396,-1.455360400, 0.65052020, 0.53253566,-0.53742843,-2.06251159,-0.43166900, 0.25334183,-1.35520749,-0.34488324,-0.59741050
