year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.96,0,26,7.010416,14.08212,10.221717,1.576079,240.5656,404.4483, 1.2074579,-0.19649306,-1.2205838,-0.5651174,-0.967185948, 0.04556359,-0.9896531, 0.57440343, 0.331779621, 0.89077349,-0.878466267,-0.37430110,-0.65113880,-1.093079312
1994,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.71,0,26,7.600019,15.94582, 8.678271,1.684019,263.2906,437.6275, 0.5122873, 0.51931205, 0.8141133, 0.2289514, 0.469288487,-0.58701587, 0.6909320,-0.02516192, 1.042893349, 0.19116036,-0.103665855, 1.56609889, 0.99254225, 0.363531363
1995,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,2.12,0,26,7.095984,14.82091, 7.150649,1.594918,245.4538,419.1977, 1.6523671,-0.09260931,-0.4140077,-0.3943120,-0.328619540,-1.21311008,-0.6963387, 1.20575988, 0.420656235,-0.50284881,-0.739854490, 0.24650447,-0.43061417,-0.415493467
1996,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.25,0,26,6.189171,13.32231, 8.903028,1.593507,294.3211,443.1671,-0.7668267,-1.19352326,-2.0500973, 1.3132400, 0.709124923,-0.49489976,-0.7182950,-1.12735511,-0.696197829, 0.14656525, 0.961115322,-1.47823473,-0.48743780, 0.639881148
1997,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.88,0,26,6.120979,14.86803, 8.959858,1.742857,276.2363,429.2607, 0.9850033,-1.27631161,-0.3625622, 0.6813096, 0.107055383,-0.47160769, 1.6070163, 0.70579030,-0.800550673, 0.10017976, 0.328945803, 0.12347434, 1.80402456, 0.054188716
1998,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.57,0,26,6.470577,14.53794, 5.857116,1.538922,345.4819,483.3374, 0.1229917,-0.85188321,-0.7229396, 3.1009280, 2.448274198,-1.74326294,-1.5681693,-0.07966905,-0.403311134,-1.24203435, 2.754668300,-0.31990528,-1.40399168, 2.410531594
1999,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.35,0,26,7.981829,16.66242, 9.021659,1.536332,252.2195,441.4256,-0.4887584, 0.98284718, 1.5964571,-0.1578997, 0.633726400,-0.44627879,-1.6084839,-0.61963023, 1.398606033,-0.01649035,-0.491712261, 1.91931298,-1.47611851, 0.609854815
2003,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.48,0,26,6.507307,14.70350, 9.967725,1.712588,240.6604,387.4123,-0.1272697,-0.80729037,-0.5421936,-0.5618061,-1.704749222,-0.05853479, 1.1357395,-0.19111582,-0.429969116, 0.29893221,-0.876828439,-0.29669253, 1.23731107,-1.716002832
2004,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.13,0,26,5.692171,13.73124, 8.076677,1.629872,241.6388,399.8332,-1.1005086,-1.79690368,-1.6036537,-0.5276154,-1.166994705,-0.83357843,-0.1521153,-1.10209225,-1.463644389,-0.54931418,-0.817504359,-1.43268363,-0.08031919,-1.166883385
2005,common tern,Jenny,common tern_Jenny,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.00,0,26,6.559267,14.22002, 7.999765,1.712318,252.0658,426.6697,-1.4619973,-0.74420912,-1.0700288,-0.1632718,-0.005122207,-0.86510102, 1.1315343,-1.40608179,-0.460636169,-0.65492082,-0.421684358,-0.97076610, 1.17457329, 0.005100999
