year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2002,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.22,0,18,7.284132,15.23741, 8.069766,1.709675,287.0049,427.2091, 0.92459236, 0.010903321,-0.1061407, 1.51781324, 0.20477026,-1.05491480, 0.96757757, 1.34938466, 1.41774740, 0.05049718, 0.9832499, 1.32701874, 0.05873545, 0.79285301
2003,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.88,0,18,6.507307,14.70350, 9.967725,1.712588,240.6604,387.4123,-0.05101199,-0.913974194,-0.7739486,-0.47635660,-1.67326504,-0.28277756, 1.01936545, 0.38364118, 0.20493006, 0.60426128,-0.9581306, 0.34166893, 0.36816121,-1.20874885
2004,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.31,0,18,5.692171,13.73124, 8.076677,1.629872,241.6388,399.8332,-1.68658400,-1.884464815,-1.9900267,-0.43425327,-1.08711581,-1.05210327,-0.45110112,-1.25328929,-1.03054499,-0.36687670,-0.8613442,-1.16402570,-0.87292658,-0.73596987
2005,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.61,0,18,6.559267,14.22002, 7.999765,1.712318,252.0658,426.6697,-0.82575663,-0.852111891,-1.3786712, 0.01440862, 0.17931830,-1.08339330, 1.01456397,-0.40503971,-0.24022111,-0.58341812,-0.3561053,-0.81436144, 0.79385817, 0.42729033
2006,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.70,0,18,6.985619,15.50908, 8.202014,1.626663,270.8152,444.3229,-0.56750842,-0.344502583, 0.2336536, 0.82118365, 1.01238540,-1.00111299,-0.50814476,-0.17058862, 0.04831455,-0.66982832, 0.5091406, 0.56419733,-0.55599002, 1.16737981
2007,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.48,0,18,6.002214,14.05066,12.769679,1.656194,247.5972,394.7174,-1.19878182,-1.515331468,-1.5905077,-0.17787079,-1.32853163, 0.85712775, 0.01683261,-0.83687849,-1.31863260, 1.03628278,-0.4295492,-1.46580466, 0.11358877,-1.25631851
2008,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.87,0,18,6.695195,15.08752,11.238202,1.707321,260.3081,424.4977,-0.07970624,-0.690277076,-0.2936245, 0.36906895, 0.07681953, 0.23408428, 0.92572571, 0.23596131,-0.66674107, 0.27767055, 0.1796491,-0.34683690, 1.13882417, 0.07644767
2009,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.73,0,18,7.185699,15.46684,11.743560,1.589702,271.0802,421.7356,-0.48142568,-0.106289373, 0.1808221, 0.83258390,-0.05352752, 0.43967665,-1.16521114,-0.22321325,-0.23296084, 0.36425504, 0.7073164,-0.02238043,-0.86402949,-0.11628804
2010,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.61,0,18,7.940039,16.32511,10.325856,1.669052,269.1486,450.1198,-0.82575663, 0.791817767, 1.2543253, 0.74946867, 1.28594610,-0.13708082, 0.24541376,-0.63621865, 0.53789422,-0.31494944, 0.6902474, 0.92905791, 0.60641950, 1.17099323
2011,common tern,Matinicius Rock,common tern_Matinicius Rock,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.06,0,18,7.185270,15.05609,10.155502,1.541799,275.2444,448.4713, 0.46548443,-0.106800263,-0.3329396, 1.01176622, 1.20815113,-0.20638501,-2.01679094, 0.57512863,-0.46502050,-0.47013976, 1.0204850,-0.75234656,-1.62422025, 1.05120223
