year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2003,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,2.09,0,17,6.507307,14.70350, 9.967725,1.712588,240.6604,387.4123, 1.76722771,-0.886066268,-0.7571633,-0.40575311,-1.61372846,-0.3467690, 1.07598852, 1.608774403, 0.92697674, 0.63454070,-0.45870391, 1.01338642, 0.3991477,-0.76644697
2004,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.45,0,17,5.692171,13.73124, 8.076677,1.629872,241.6388,399.8332, 0.15418765,-1.827583951,-1.9373465,-0.36161793,-1.04433618,-1.1204176,-0.39407739, 0.013395182,-0.45365572,-0.34877520,-0.49366286,-0.61831532,-0.8493737,-0.40912036
2005,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.67,0,17,6.559267,14.22002, 7.999765,1.712318,252.0658,426.6697,-1.81170491,-0.826050796,-1.3440363, 0.10869577, 0.18589287,-1.1518835, 1.07118835,-1.934407384, 0.15125954,-0.57250761,-0.08530069,-0.43048376, 0.8100488, 0.63027411
2006,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.13,0,17,6.985619,15.50908, 8.202014,1.626663,270.8152,444.3229,-0.65233237,-0.333595610, 0.2206976, 0.95440466, 0.99514408,-1.0691408,-0.45110548,-0.756515681, 0.28959372,-0.66463081, 0.71559926, 0.77481145,-0.5454763, 1.26992184
2007,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.71,0,17,6.002214,14.05066,12.769679,1.656194,247.5972,394.7174, 0.80948517,-1.469470677,-1.5496200,-0.09286277,-1.27885035, 0.7995415, 0.07372885, 0.724250198,-1.15790549, 1.04658642,-0.35933452,-1.30890481, 0.1187389,-1.15244498
2008,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.62,0,17,6.695195,15.08752,11.238202,1.707321,260.3081,424.4977,-1.93772367,-0.669047383,-0.2910169, 0.48047153, 0.08632436, 0.1729971, 0.98237429,-2.003581146,-0.62660945, 0.27997759, 0.20347604,-0.31766037, 1.1393774, 0.08558845
2009,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.68,0,17,7.185699,15.46684,11.743560,1.589702,271.0802,421.7356, 0.73387392,-0.102493995, 0.1694255, 0.96635508,-0.04029631, 0.3797447,-1.10799284, 0.687823105,-0.28668644, 0.36406148, 0.69597844,-0.07853671,-0.8663846,-0.14694240
2010,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,2.09,0,17,7.940039,16.32511,10.325856,1.669052,269.1486,450.1198, 1.76722771, 0.768801136, 1.2112421, 0.87922882, 1.26088417,-0.2002536, 0.30224771, 1.741412718, 0.40047520,-0.32119984, 0.63261363, 0.78800120, 0.6010731, 1.06955899
2011,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.60,0,17,7.185270,15.05609,10.155502,1.541799,275.2444,448.4713, 0.53224391,-0.102989633,-0.3291716, 1.15418449, 1.18531322,-0.2699472,-1.95934060, 0.527093922,-0.61295219,-0.47875574, 0.94847334,-0.88165125,-1.6306859, 0.93054005
2012,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.42,0,17,8.603332,16.84704, 8.010881,1.579598,283.1779,450.1324, 0.07857640, 1.534933023, 1.8447892, 1.51203202, 1.26146064,-1.1473358,-1.28756611, 0.094520568, 0.92583073,-1.42660587, 1.36436751, 1.20911075,-0.9564699, 0.96447058
2013,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.15,0,17,8.049997,15.90381,13.990462,1.687818,227.9867,425.8042,-0.60192487, 0.895807204, 0.6998495,-0.97740855, 0.14621726, 1.2989774, 0.63576687,-0.564457377, 0.23006205, 0.96664641,-1.04988382, 0.02701216, 0.9419166,-0.17175860
2014,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.42,0,17,7.883171,15.83335,11.630489,1.673011,222.0249,388.5823, 0.07857640, 0.703115921, 0.6143127,-1.24631739,-1.56009571, 0.3334862, 0.37260469, 0.137996388, 0.02322479,-0.03450498,-1.22646084,-0.04964346, 0.6264200,-1.87782627
2015,common tern,Outer Green,common tern_Outer Green,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.36,0,17,8.008930,15.85832,14.378958,1.667864,219.1717,414.6071,-0.07264611, 0.848372768, 0.6446326,-1.37501437,-0.36707395, 1.4579156, 0.28113661, 0.009155542, 0.19683254, 1.07166505,-1.24568340, 0.03559758, 0.4552297,-0.66332811
