year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2000,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.39,0,19,8.114362,14.93392, 9.289500,1.502793,239.0440,390.4586,-1.607738514, 0.96029090,-0.46458943,-0.53516599,-1.40491649,-0.473604730,-2.466590e+00,-0.27886113, 1.5184341, 0.63092379,-1.2311327, 0.687104850,-1.78036360,-0.72127681
2001,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.44,0,19,6.899811,14.98228, 7.841023,1.618488,304.1014,422.4969,-1.513805452,-0.47919802,-0.40287485, 2.03660206, 0.12929466,-1.055352881,-5.444567e-01,-0.44278963, 0.0316123,-0.13558558, 1.4313475, 0.541260283,-0.02660933, 0.69778814
2002,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.55,0,19,7.284132,15.23741, 8.069766,1.709675,287.0049,427.2091, 0.571508525,-0.02369953,-0.07725962, 1.36076631, 0.35494311,-0.963483105, 9.705024e-01, 1.40411136, 0.4371868,-0.21752953, 0.8438623, 0.673362217, 1.33622955, 0.81520561
2003,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.10,0,19,6.507307,14.70350, 9.967725,1.712588,240.6604,387.4123,-0.273889034,-0.94439378,-0.75867373,-0.47126996,-1.55079283,-0.201211128, 1.018901e+00, 0.33974936,-0.5360226, 0.38187622,-0.9021851,-0.187519355, 1.24876633,-1.19184610
2004,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.71,0,19,5.692171,13.73124, 8.076677,1.629872,241.6388,399.8332,-1.006566917,-1.91049483,-1.99952861,-0.43258979,-0.95599802,-0.960707497,-3.553280e-01,-0.59244439,-1.5572299,-0.52953887,-0.7798776,-1.593795843,-0.24506578,-0.69145184
2005,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.09,0,19,6.559267,14.22002, 7.999765,1.712318,252.0658,426.6697,-0.292675646,-0.88281128,-1.37571710,-0.02040582, 0.32911574,-0.991597749, 1.014414e+00,-0.05862043,-0.5872438,-0.70140034,-0.2864280,-1.121360108, 1.02133104, 0.50617659
2006,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.40,0,19,6.985619,15.50908, 8.202014,1.626663,270.8152,444.3229,-1.588951902,-0.37749792, 0.26945773, 0.72077535, 1.17447040,-0.910368698,-4.086383e-01,-1.51551544,-0.1422189,-0.75019502, 0.5336572, 0.386484796,-0.48880719, 1.27096115
2007,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,2.03,0,19,6.002214,14.05066,12.769679,1.656194,247.5972,394.7174, 1.473265920,-1.54303109,-1.59186966,-0.19705217,-1.20097468, 0.924130096, 8.198088e-02, 1.40553219,-1.3706317, 0.96522755,-0.3076279,-1.598126674,-0.06901590,-1.17813882
2008,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.07,0,19,6.695195,15.08752,11.238202,1.707321,260.3081,424.4977,-0.330248871,-0.72170845,-0.26856333, 0.30541929, 0.22510513, 0.309046988, 9.313896e-01,-0.51970423,-0.6147798, 0.24201572, 0.2690244,-0.384058588, 0.72582342, 0.18120131
2009,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.79,0,19,7.185699,15.46684,11.743560,1.589702,271.0802,421.7356,-0.856274018,-0.14036216, 0.21554981, 0.73124872, 0.09283549, 0.512012589,-1.022702e+00,-1.14800244,-0.1014954, 0.34780010, 0.7666730, 0.004862156,-1.26657865,-0.01089279
2010,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,2.08,0,19,7.940039,16.32511,10.325856,1.669052,269.1486,450.1198, 1.567198982, 0.75368280, 1.31092493, 0.65489107, 1.45206606,-0.057375893, 2.956021e-01, 1.19264606, 0.7218966,-0.30782211, 0.7597729, 1.019090723, 0.02967256, 1.29542855
2012,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,2.05,0,19,8.603332,16.84704, 8.010881,1.579598,283.1779,450.1324, 1.510839145, 1.53981867, 1.97704189, 1.20948121, 1.45266825,-0.987133207,-1.190568e+00, 1.07291028, 1.4347884,-1.31286565, 1.3814590, 1.618106976,-1.46229152, 1.25003672
2013,common tern,Pond,common tern_Pond,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.25,0,19,8.049997,15.90381,13.990462,1.687818,227.9867,425.8042, 0.007910153, 0.88400505, 0.77324222,-0.97227007, 0.28767006, 1.414429839, 6.073783e-01,-0.47394610, 0.7031395, 1.02435867,-0.7355579, 0.361252437, 0.34611935, 0.04595973
