year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.30,0,27,7.010416,14.08212,10.221717,1.576079,240.5656,404.4483,-0.057171984,-0.362945654,-1.3754907,-0.62280542,-1.05599785, 0.06080840,-0.79829715,-0.6861793, 0.2727412, 0.89553041,-0.85193625,-0.42050526,-0.50983544,-1.15169572
1994,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.87,0,27,7.600019,15.94582, 8.678271,1.684019,263.2906,437.6275, 1.100560696, 0.403703512, 0.7974607, 0.13372798, 0.44061429,-0.56803222, 0.78721244, 0.4742652, 0.9902216, 0.20423207,-0.14410267, 1.62740423, 1.07405411, 0.34934564
1995,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,2.31,0,27,7.095984,14.82091, 7.150649,1.594918,245.4538,419.1977, 1.994249081,-0.251682980,-0.5141091,-0.46007388,-0.39069799,-1.19042593,-0.52157640, 1.3764953, 0.2848335,-0.48200027,-0.77724649, 0.19651972,-0.23955435,-0.47700665
1996,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.54,0,27,6.189171,13.32231, 8.903028,1.593507,294.3211,443.1671, 0.430294408,-1.430795482,-2.2613682, 1.16676261, 0.69049143,-0.47646056,-0.54229057,-0.1730877,-0.9451136, 0.16674553, 0.81960589,-1.66432685,-0.26828771, 0.60967354
1997,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,2.11,0,27,6.120979,14.86803, 8.959858,1.742857,276.2363,429.2607, 1.588027088,-1.519464341,-0.4591680, 0.56470334, 0.06321637,-0.45330616, 1.65147121, 1.0048466,-1.0854501, 0.12329943, 0.19692036, 0.03001315, 1.91425529,-0.01157997
1998,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.33,0,27,6.470577,14.53794, 5.857116,1.538922,345.4819,483.3374, 0.003761315,-1.064888545,-0.8440324, 2.86994711, 2.50244983,-1.71744536,-1.34408508,-0.5533876,-0.6833749,-1.20882119, 2.49089571,-0.45698430,-1.09571936, 2.43420580
1999,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.47,0,27,7.981829,16.66242, 9.021659,1.536332,252.2195,441.4256, 0.288116710, 0.900163820, 1.6329635,-0.23483670, 0.61193636,-0.42812697,-1.38211898,-0.2371707, 1.2283440, 0.01113484,-0.61579866, 1.92360587,-1.15137120, 0.55077541
2000,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.10,0,27,8.114362,14.93392, 9.289500,1.502793,239.0440,390.4586,-0.463393977, 1.072494732,-0.3823439,-0.67346068,-1.68703071,-0.31900142,-1.87477142,-0.9509900, 1.3465084, 0.04951711,-1.04697536,-0.18238010,-1.66484115,-1.74057780
2001,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.20,0,27,6.899811,14.98228, 7.841023,1.618488,304.1014,422.4969,-0.260282981,-0.506763583,-0.3259645, 1.49235618,-0.24187916,-0.90914947,-0.17535573,-0.7043576,-0.2877494,-0.61275515, 1.13564664,-0.21095196, 0.01055744,-0.28728162
2005,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.02,0,27,6.559267,14.22002, 7.999765,1.712318,252.0658,426.6697,-0.625882775,-0.949566303,-1.2147058,-0.23995492,-0.05365751,-0.84447377, 1.20288857,-1.0206060,-0.7863845,-0.62158460,-0.57050147,-1.17891726, 1.36158505,-0.09038457
2006,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.00,0,27,6.985619,15.50908, 8.202014,1.626663,270.8152,444.3229,-0.666504974,-0.395188755, 0.2882457, 0.38423148, 0.74262507,-0.76207185,-0.05527453,-1.0060470,-0.2886724,-0.61406875, 0.08920577, 0.25053742, 0.07300569, 0.71510418
2007,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.79,0,27,6.002214,14.05066,12.769679,1.656194,247.5972,394.7174, 0.938071899,-1.673891167,-1.4121722,-0.38871782,-1.49492754, 1.09891539, 0.37849664, 0.6595411,-1.6248731, 1.17065150,-0.63886484,-1.51765011, 0.47316103,-1.51271148
2008,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.00,0,27,6.695195,15.08752,11.238202,1.707321,260.3081,424.4977,-0.666504974,-0.772820947,-0.2032641, 0.03443899,-0.15163040, 0.47495106, 1.12948449,-0.8781945,-0.7821342, 0.46903923,-0.16147150,-0.37078433, 1.18733345,-0.15914661
2009,common tern,Stratton,common tern_Stratton,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,1.74,0,27,7.185699,15.46684,11.743560,1.589702,271.0802,421.7356, 0.836516401,-0.135027931, 0.2389981, 0.39305164,-0.27622190, 0.68084729,-0.59818643, 0.6974980,-0.2035055, 0.59590661, 0.26073554, 0.01516270,-0.58035247,-0.27293963
