year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8500000,0,33,3.688806,7.291046, 7.972107,3.794608,501.1323,576.8784, 0.86030223,-0.1281112, 0.06898942, 1.3002324, 1.00469358,-2.323392843,-0.89677466,-0.016318336,-0.63920507,-1.165111183,-0.56972615, 0.1015869,-1.085158314,-0.39486202
1994,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7719298,0,33,3.681065,6.786975, 9.535872,4.370963,496.6567,582.0727, 0.50908997,-0.1491491,-1.03739906, 1.1400104, 1.18266746,-0.933995506, 0.58285618,-0.223242048,-0.46773608,-0.006996914,-0.34188067,-0.9340468, 0.402980448, 0.10571717
1995,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8125000,0,33,3.532203,6.895464, 9.781056,4.205133,490.2084,546.8878, 0.69160196,-0.5537225,-0.79927584, 0.9091661,-0.02289107,-0.716150314, 0.15713469, 0.092691225,-0.69875505,-0.003107223,-0.21446638,-0.6343391,-0.013412768,-0.80356615
1996,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6545455,0,33,4.282414,7.568446, 9.198836,4.191680,511.3745,598.8743,-0.01898401, 1.4851843, 0.67785594, 1.6668980, 1.75835160,-1.233449664, 0.12259612,-0.495340709, 1.49475386,-0.717034508, 0.87171530, 0.8952068,-0.037802725, 1.24762163
1997,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.9016393,0,33,4.180940,7.682434,10.267906,3.959584,505.4740,572.0685, 1.09261079, 1.2093993, 0.92804896, 1.4556624, 0.83988926,-0.283586598,-0.47324483, 0.727940883, 1.35461848, 0.053528191, 0.95912061, 1.1886437,-0.622674719, 0.57277428
1998,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8666667,0,33,3.654102,7.003548,12.928103,5.133992,472.8158,537.3007, 0.93528012,-0.2224286,-0.56204148, 0.2865233,-0.35138155, 2.079984520, 2.54172001, 0.671429753, 0.03948777, 2.255126509, 0.05881362,-0.2673733, 2.404079425,-0.40121165
2000,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7419355,0,33,3.111482,6.708110,11.733089,4.526046,473.5040,546.5398, 0.37415522,-1.6971504,-1.21050162, 0.3111625,-0.03481668, 1.018220436, 0.98098870, 0.200257137,-1.33748926, 1.048717191, 0.32247603,-0.8909302, 0.855957772, 0.10630801
2001,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6779661,0,33,3.353321,6.934089,11.344112,4.260073,444.0655,540.2306, 0.08637784,-1.0398866,-0.71449736,-0.7427132,-0.25099217, 0.672616822, 0.29817772,-0.008435209,-0.60143308, 0.575795911,-0.52218528,-0.3791931, 0.186576797, 0.05475718
2002,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7014925,0,33,3.450323,7.200885,10.415453,3.764972,450.0140,517.9924, 0.19221560,-0.7762544,-0.12890529,-0.5297639,-1.01295228,-0.152492520,-0.97285760, 0.165620336,-0.27796102,-0.359303530,-0.12983039, 0.2129615,-1.070208185,-0.56890837
2003,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.1176471,0,33,3.936491,7.310664, 9.755011,4.324627,445.8694,530.4479,-2.43431475, 0.5450403, 0.11204855,-0.6781367,-0.58618195,-0.739291309, 0.46390211,-2.403559478, 1.08422124,-1.038764852,-0.12860653, 0.4513075, 0.381622222,-0.03017360
2004,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.4888889,0,33,3.796661,7.369355,11.850057,4.151689,423.6984,528.6025,-0.76421886, 0.1650151, 0.24086917,-1.4718408,-0.64941065, 1.122146496, 0.01993018,-0.686980304, 0.72613111, 0.747337987,-0.80252283, 0.5683500,-0.046458669,-0.00776796
2005,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8219178,0,33,4.010238,7.437267,10.584323,4.014177,473.6917,534.0975, 0.73396961, 0.7454699, 0.38993000, 0.3178812,-0.46113281,-0.002452357,-0.33309342, 0.846824200, 1.30956855,-0.435268265, 1.07717817, 0.6964624,-0.382770890, 0.23981411
2006,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.4864865,0,33,3.591107,7.429326,11.725459,3.668275,446.7421,552.6269,-0.77502649,-0.3936351, 0.37250104,-0.6468941, 0.17375050, 1.011441006,-1.22110032,-0.637423111, 0.15449383, 0.537945265, 0.17257304, 0.6489146,-1.253246049, 0.90767155
2007,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8787879,0,33,3.486184,7.496841, 9.651678,3.627410,431.2627,521.1143, 0.98980950,-0.6787929, 0.52068989,-1.2010458,-0.90598529,-0.831102229,-1.32600864, 1.141294413,-0.16558615,-1.327950234,-0.35121742, 0.7578144,-1.339802294,-0.16542023
2008,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8133333,0,33,3.311293,7.251758,11.079422,3.857964,432.0619,512.0620, 0.69535085,-1.1541077,-0.01724518,-1.1724339,-1.21614650, 0.437440562,-0.73412529, 0.849850047,-0.69477553,-0.065432142,-0.32205307, 0.1714199,-0.728746526,-0.49526754
2009,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8877551,0,33,3.497748,7.005364,11.024960,4.265546,444.7810,526.5899, 1.03015011,-0.6473644,-0.55805558,-0.7171016,-0.71836974, 0.389051678, 0.31222699, 1.176796339,-0.26085926,-0.102518157, 0.10402283,-0.4270202, 0.337598532,-0.04350699
2010,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6899225,0,33,3.267454,6.567484,11.533866,4.656671,428.4347,514.7834, 0.14016569,-1.2732519,-1.51916147,-1.3022859,-1.12290389, 0.841212380, 1.31633161, 0.268091693,-0.97852624, 0.378272980,-0.54022667,-1.4549262, 1.362516263,-0.52038745
2011,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.5841584,0,33,3.852823,6.885520,10.479784,4.680352,451.3354,542.3465,-0.33563234, 0.3176513,-0.82110333,-0.4824571,-0.17849395,-0.095334419, 1.37712593,-0.237293802, 0.50164511,-0.512315817, 0.19072802,-0.8328384, 1.444944047, 0.32534607
2012,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6826923,0,33,3.026571,6.296367,12.433108,4.083912,412.4957,475.3216, 0.10763950,-1.9279192,-2.11423784,-1.8728904,-2.47500599, 1.640183607,-0.15406651, 0.165523315,-1.87360967, 1.286487779,-1.31838822,-2.2111137,-0.063794583,-2.09617251
2013,crested auklet,Buldir,crested auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.5000000,0,33,3.573360,7.254399,10.299480,4.081045,452.6767,531.9002,-0.71423360,-0.4418670,-0.01144916,-0.4344413,-0.53642170,-0.255533850,-0.16142642,-0.707671751,-0.53619423,-0.528616542,-0.02843093,-0.2026360,-0.047880337,-0.30892486
