year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.7215,0,29,-0.637907132,6.955285,6.134773,7.455234,153.3411,243.3155, 1.13578336,-0.60591547,-1.47514808,-1.78729690,-2.807953704,-1.14896239, 2.16694929, 0.31727250, 0.074973376,-0.150423520,-1.30237138,-0.07906853, 1.73470830,-2.20928822
1994,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.0800,0,29,-0.686858440,6.790303,6.499306,6.525905,158.9968,263.7345,-0.86013080,-0.82066572,-1.76850460,-1.13505996,-0.809749475,-0.74476671, 0.64389224,-1.65348753,-0.131878748, 0.159487160,-0.81923930,-0.56874560, 0.27226680,-0.35628887
1996,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.5780,0,29,-0.270664439,8.231689,7.333315,5.356955,163.3507,266.7823, 0.68930840, 1.00518465, 0.79444191,-0.63294610,-0.511490306, 0.17998766,-1.27187121,-0.07178351, 1.691898722, 0.990457785,-0.46837018, 1.80779525,-1.58592694,-0.19026590
1999,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.6623,0,29,-0.929437014,7.080465,5.574315,5.696090,178.8316,286.1454, 0.95159299,-1.88486216,-1.25256356, 1.15237028, 1.383382406,-1.77040158,-0.71607088, 0.22987658,-1.210191999,-1.053213962, 1.18356155,-0.41570098,-0.97560273, 1.58533928
2000,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.9062,0,29,-0.687946963,7.568575,6.767698,6.328871,170.2824,273.8487, 1.71044485,-0.82544108,-0.38465048, 0.16644255, 0.180027781,-0.44717135, 0.32097814, 1.03521461,-0.172785844, 0.177235019, 0.08210927, 0.28563622, 0.11292431, 0.27568581
2001,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.6415,0,29,-0.964593831,6.419921,5.421739,6.408248,185.0402,292.8700, 0.88687746,-2.03909573,-2.42708643, 1.86836731, 2.041442387,-1.93957860, 0.45106843, 0.26524409,-1.418426435,-1.407452241, 1.68636958,-1.91346072, 0.29144677, 2.04377025
2002,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.6779,0,29,-0.553628675,8.024912,5.833587,5.554642,188.5659,292.3356, 1.00012964,-0.23618441, 0.42676809, 2.27496925, 1.989151798,-1.48291948,-0.94788652, 0.43920382, 0.342527937,-1.042571876, 2.01316718, 0.79364769,-1.06212185, 1.91111817
2003,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.7968,0,29,-0.629150047,7.378240,7.744237,5.850866,180.6371,279.6375, 1.37006603,-0.56749798,-0.72308751, 1.36059021, 0.746519318, 0.63562073,-0.46241268, 0.87695844,-0.040713612, 0.984690824, 1.03684390,-0.49303912,-0.53430752, 0.60109288
2004,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.4559,0,29,-0.510482530,7.764819,8.528411,5.683965,165.7557,267.2859, 0.30941578,-0.04690151,-0.03570685,-0.35559295,-0.462212202, 1.50511740,-0.73594248,-0.10876290, 0.417983874, 1.763411231,-0.72342340, 0.06742522,-0.76854269,-0.66206278
2006,crested auklet,Talan,crested auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.7605,0,29,-0.573270238,7.560103,7.444517,7.167679,164.4357,263.4766, 1.25712498,-0.32235229,-0.39971389,-0.50781909,-0.834992935, 0.30328909, 1.69568161, 0.92098590, 0.070663097, 0.471307916,-0.90187358,-0.41358325, 1.69933020,-1.07629897
